"Championnat Régional de Slalom - Sauveterre De Bearn - Qualification - 2016-04-17","Qualification","2016-04-17","Régional","154"
"Erwan Marchais","K1H","112.11","-","221.03",""
"Vincent Ablin","K1H","113.11","174.25","231.42",""
"Robin Vandenbossche","K1H","113.8","210.79","238.59",""
"Anatole Delassus","K1H","114.19","230.49","242.65",""
"Edouard Lecomte","K1H","114.36","217.19","244.41",""
"Valentin Courtiade","K1H","116.2","332.02","263.53",""
"Luc Sarramea","K1H","119.25","293.68","295.23",""
"Hugo Mouffle","K1H","119.99","252.64","302.92",""
"Guillaume Fletcher","K1H","120.2","359.23","305.11",""
"Flavien San Augustin","K1H","121.39","227.8","317.47",""
"Nicolas Saurat","K1H","123.06","372.92","334.83",""
"Antoine Laye","K1H","123.56","313.85","340.03",""
"Olivier Cain","K1H","124.41","230.55","348.86",""
"Gaetan Coat","K1H","125.02","284.71","355.2",""
"Theau Le Loch","K1H","125.43","301.65","359.46",""
"Jonathan Suc","K1H","128.12","-","387.42",""
"Clement Ravoteur","K1H","128.91","381.11","395.63",""
"Florian Giraud","K1H","128.96","401.86","396.15",""
"Manuel Legros","K1H","129.16","364.65","398.23",""
"Jean Christophe Erdois","K1H","129.54","342.67","402.18",""
"Antonin Maystre","K1H","130.59","438.35","413.09",""
"Paul Luquet","K1H","133.23","363.82","440.53",""
"Fabien Paleau","K1H","133.59","399.26","444.27",""
"Nicolas Corbin","K1H","133.85","349.28","446.97",""
"Swann Collin","K1H","135.46","494.09","463.7",""
"Sebastien Martel","K1H","136.05","345.65","469.84",""
"Maxime Garcia","K1H","137.45","303.06","484.39",""
"Ludovic Gaignon","K1H","137.46","-","484.49",""
"Jean Bernard Lacave","K1H","138.58","403.13","496.13",""
"Theo Ducasse","K1H","139.82","379.01","509.02",""
"Marc Sarramea","K1H","140.16","469.24","512.55",""
"Pierre Gaydier","K1H","142.42","485.77","536.04",""
"Leam Auffret","K1H","142.62","524.88","538.12",""
"Alois Bertrand","K1H","144.34","441.16","555.99",""
"Loic Gueydon","K1H","146.52","-","578.65",""
"Baptiste Riviere","K1H","148.06","518.6","594.65",""
"Baptiste Lauroua","K1H","148.51","411.13","599.33",""
"Robin Genty","K1H","152.66","526.92","642.46",""
"Bruno Oteiza","K1H","154.16","-","658.05",""
"Steeve Fillastre","K1H","154.26","663.12","659.09",""
"Leo Dujourd'hui","K1H","156.96","-","687.15",""
"Jean Yves Courtiade","K1H","158.07","623.77","698.69",""
"Jerome Muller","K1H","158.54","462.89","703.57",""
"Alexandre Dubrous","K1H","158.76","591.2","705.86",""
"Franck Le Coz","K1H","160.52","488.93","724.15",""
"Thomas Bisetto","K1H","161.32","588.1","732.46",""
"Loan Jioux","K1H","162.91","623.02","748.99",""
"Lucas Mauer","K1H","163.32","562.39","753.25",""
"Simon Metra","K1H","166.22","497.12","783.39",""
"Jean Luc Pessoni","K1H","173.17","655.42","855.62",""
"Compton Cruickshank","K1H","174.49","630.49","869.34",""
"Daniel Lafitte","K1H","182.32","802.75","950.72",""
"Tom Gonzales","K1H","183.9","740.84","967.14",""
"Robin Mougel","K1H","187","479.6","999.36",""
"Eric Vidou","K1H","194.18","417.12","1073.98",""
"Thomas Therasse","K1H","208","-","1217.61",""
"Bastien Darmayan","K1H","237.18","729.03","1520.87",""
"David Acero Blondin","K1H","Des","-","-",""
"Nicolas Peyroux","K1H","Abs","-","-",""
"Matthieu Desbons","K1H","Abs","-","-",""
"Jean Dayraut","K1H","Abs","-","-",""
"Kevin Richard-lubon","K1H","Abs","-","-",""
"Jeanmichel Bibes","K1H","Abs","-","-",""
"Mathieu Desnos","K1H","Abs","-","-",""
"Tomy Dandonneau","K1HM","136.62","-","475.76",""
"Adrien Mesmoudi","K1HM","138.63","-","496.65",""
"Baptiste Delemotte","K1HM","148.54","-","599.64",""
"Angus Cruickshank","K1HM","148.84","600.03","602.76",""
"Julien Doumecq","K1HM","150.28","-","617.73",""
"Fantin Delage-garez","K1HM","151.36","647.03","628.95",""
"Cedric Landreau","K1HM","153.34","-","649.53",""
"Loris Shayam Affre","K1HM","155.7","566.18","674.06",""
"Gedeon Cothias-faure","K1HM","155.84","-","675.51",""
"Maxime Reubrez","K1HM","162.28","674.38","742.44",""
"Paul Gobert","K1HM","164.76","-","768.22",""
"Julien Coric","K1HM","166.32","884.86","784.43",""
"Julian Luce","K1HM","179.54","-","921.82",""
"Axel Poletto","K1HM","184.91","-","977.63",""
"Leo Metro","K1HM","229.33","-","1439.29",""
"Gabin Allard","K1HM","264.38","979.14","1803.56",""
"Matt Vidou","K1HM","322.86","843.54","2411.34",""
"Remy Noulin","K1HM","350.49","-","2698.5",""
"FranÇois Binh-cirlot","K1HM","Abs","-","-",""
