"Sélectif Régional - Les Pont-Gras - Corneville sur Risle - 2012-09-02","Course 3","2012-09-02","Régional","102"
"Guillaume Doutreix","K1H","99.24","130.64","204.23",""
"Mathieu Godin","K1H","99.84","-","211.02",""
"Erwan Chevalier","K1H","101.56","242.08","230.48",""
"Bertrand Avril","K1H","101.79","147.31","233.08",""
"Xavier Chantry","K1H","103.03","186.14","247.11",""
"Robin Pilard","K1H","103.09","178.83","247.79",""
"Thibault Joncret","K1H","104.67","226.81","265.67",""
"Yves Lecointe","K1H","105.25","203.2","272.23",""
"Nathan Aubert","K1H","106.67","294.12","288.29",""
"David Breton","K1H","106.74","208.89","289.09",""
"Edouard Gracias","K1H","106.74","158.51","289.09",""
"Philippe Valeri","K1H","108.81","266.52","312.51",""
"Mederic Larrive","K1H","110.32","237.78","329.59",""
"Jeremy Grippon","K1H","111.65","279.09","344.64",""
"Josselin Laurain","K1H","112.38","265.94","352.9",""
"Damien Jacques","K1H","113.29","264.57","363.19",""
"Maxime Pilard","K1H","116.73","312.48","402.11",""
"Matthieu Rousseau","K1H","118.7","355.61","424.4",""
"Jeremy Lecache","K1H","119.9","-","437.97",""
"Raphael Lemonnier","K1H","120.96","259.03","449.97",""
"Romain Bouillon","K1H","124.38","443.85","488.66",""
"Sylvain Barrois","K1H","127.87","372.36","528.14",""
"Denis Martin","K1H","128.95","424.17","540.36",""
"Lucas Richard","K1H","135.84","550.39","618.32",""
"Alexandre Mauger","K1H","144.95","-","721.38",""
"Laurent Ernou","K1H","154.2","769.45","826.03",""
"Simon Boulan","K1H","Nt","-","-",""
"Jean Noel Degraeve","K1H","Nt","-","-",""
"Jacky Bachelot","K1H","Nt","-","-",""
"Quentin Mannier","K1H","Nt","-","-",""
"Nicolas Dupres","K1H","Nt","-","-",""
