"Compétition Régionale de Slalom - Parc Des Eaux Vives De Huningue - Course n°2 | Finale - 2015-11-22","Course n°2 | Finale","2015-11-22","Régional","182"
"Axelle Armanini","K1D","107.07","214.51","318.1","Course n°2 | Finale A"
"Meryl Steinmann","K1D","108.03","282.78","329.5","Course n°2 | Finale A"
"Oceane Vienet","K1D","108.29","266.4","332.59","Course n°2 | Finale A"
"Auregane Philip","K1D","108.85","301.34","339.24","Course n°2 | Finale A"
"Camille Hurez","K1D","110.38","286.51","357.42","Course n°2 | Finale A"
"Thais Francois","K1D","110.58","305.88","359.8","Course n°2 | Finale A"
"Alicia Gallot","K1D","110.96","289.15","364.31","Course n°2 | Finale A"
"Celia Grandadam","K1D","111.08","328.29","365.74","Course n°2 | Finale A"
"Alexane Galmiche","K1D","113.58","252.57","395.44","Course n°2 | Finale A"
"Floriane Carisey","K1D","116.86","366.6","434.41","Course n°2 | Finale A"
"Anais Mouhoub","K1D","122.11","428.1","496.79","Course n°2 | Finale A"
"Lolita Seguy","K1DM","113.11","-","-","Course n°2 | Finale A"
"Margot Perrin","K1DM","120.78","526.61","480.98","Course n°2 | Finale A"
"Jeanne Bernard","K1DM","144.98","641.92","768.5","Course n°2 | Finale A"
"Marie Hilger","K1DM","162.78","353.29","979.98","Course n°2 | Finale A"
"Manuel Munsch","K1H","82.36","188.11","151.73","Course n°2 | Finale A"
"Maxime Bottex","K1H","83.21","89.24","163.14","Course n°2 | Finale A"
"Julien Haberland","K1H","84.05","151.83","174.42","Course n°2 | Finale A"
"Maxime Di Lauro","K1H","86.84","222.21","211.87","Course n°2 | Finale A"
"Loic Bertoia","K1H","88.18","167.1","229.86","Course n°2 | Finale A"
"GÉrÔme Martin","K1H","89.07","-","241.81","Course n°2 | Finale A"
"Nicolas Vuille","K1H","90.25","-","257.65","Course n°2 | Finale A"
"Charlie Barbier","K1H","90.5","117.49","261.01","Course n°2 | Finale A"
"Luke Meysner","K1H","90.62","206.98","262.62","Course n°2 | Finale A"
"Joris Schaffner","K1H","90.81","271.25","265.17","Course n°2 | Finale A"
"Pierre Grapotte","K1H","90.85","240.96","265.71","Course n°2 | Finale A"
"Lucas Galmiche","K1H","91.91","197.81","279.94","Course n°2 | Finale A"
"Simon Hene","K1H","92.13","243.43","282.89","Course n°2 | Finale A"
"Damien Ganthier","K1H","92.31","194.45","285.31","Course n°2 | Finale A"
"Guilhem Douillet","K1H","92.8","271.71","291.89","Course n°2 | Finale A"
"Paul Frommer","K1H","92.94","334.78","293.77","Course n°2 | Finale A"
"Hugo Simon","K1H","93.96","217.25","307.46","Course n°2 | Finale A"
"Anthony Ulrich","K1H","94.6","305.05","316.05","Course n°2 | Finale A"
"Yann Zaepffel","K1H","94.74","258.9","317.93","Course n°2 | Finale A"
"Alexis Caspar","K1H","95.41","306.04","326.93","Course n°2 | Finale A"
"George Meysner","K1H","95.78","-","331.9","Course n°2 | Finale A"
"Benoit Lecoester","K1H","96.22","261.93","337.8","Course n°2 | Finale A"
"Florent Tamburini","K1H","96.87","371.12","346.53","Course n°2 | Finale A"
"Charles Fernandes De Oliveira","K1H","97.05","261.13","348.95","Course n°2 | Finale A"
"Jan Rohrer","K1H","97.63","369.94","356.73","Course n°2 | Finale A"
"Arnaud Jamet","K1H","98.32","378.59","366","Course n°2 | Finale A"
"Loic Thielen","K1H","98.86","318.32","373.25","Course n°2 | Finale A"
"Yann Becker","K1H","99.53","332.4","382.24","Course n°2 | Finale A"
"Patrice Campioni","K1H","99.91","301.18","387.34","Course n°2 | Finale A"
"Thibaut Chariot","K1H","100.1","388.61","389.89","Course n°2 | Finale A"
"Benjamin Hene","K1H","100.15","388.57","390.56","Course n°2 | Finale A"
"Felix Rochlitz","K1H","100.22","360.04","391.5","Course n°2 | Finale A"
"Kyle Gelb","K1H","100.51","408.54","395.4","Course n°2 | Finale A"
"Jules Silvin","K1H","101.74","284.76","411.91","Course n°2 | Finale A"
"Christophe Billaud","K1H","102.97","333.24","428.42","Course n°2 | Finale A"
"Thomas Michel","K1H","103.49","391.26","435.41","Course n°2 | Finale A"
"Raphael Ricci Miege","K1H","106.93","328.11","481.59","Course n°2 | Finale A"
"Damien Burteaux","K1H","108.5","357.11","502.67","Course n°2 | Finale A"
"William Pawlus","K1H","109.73","501.79","519.18","Course n°2 | Finale A"
"Laurent Starck","K1H","137.45","183.45","891.33","Course n°2 | Finale A"
"Jeremy Poux","K1H","Abs","-","-","Course n°2 | Finale A"
"Thomas L'huillier","K1HM","97.18","342.22","350.69","Course n°2 | Finale A"
"Corentin Monasse","K1HM","98.63","329","370.16","Course n°2 | Finale A"
"Jean Charles Hacquart","K1HM","102.14","-","-","Course n°2 | Finale A"
"Guerlain Robin","K1HM","106.01","432.39","469.24","Course n°2 | Finale A"
"Hugo Courtin","K1HM","111.67","722.71","545.22","Course n°2 | Finale A"
"Titouan Auriol","K1HM","113.57","483.45","570.73","Course n°2 | Finale A"
"Maxime Aubertin","K1HM","121.58","523","678.27","Course n°2 | Finale A"
"Armand Lombardot","K1HM","122.27","511.85","687.53","Course n°2 | Finale A"
"Simon Munch","K1HM","124.27","-","714.38","Course n°2 | Finale A"
"Bairaun Catteau","K1HM","126.96","619.62","750.5","Course n°2 | Finale A"
"Marceau Schneider","K1HM","171.21","-","1344.57","Course n°2 | Finale A"
"Auregane Philip","C1D","120.91","383.31","403.73","Course n°2 | Finale B"
"Thais Francois","C1D","136.5","462.68","578.15","Course n°2 | Finale B"
"Anais Mouhoub","C1D","159.8","701.61","838.83","Course n°2 | Finale B"
"Liam Jegou","C1H","92.05","100.54","227.97","Course n°2 | Finale B"
"Antonin Dreit","C1H","111.29","396.95","473.97","Course n°2 | Finale B"
"Simon Clerc","C1H","111.75","392.48","479.86","Course n°2 | Finale B"
"Vincent Idriss Achaoui","C1H","117.29","577.7","550.69","Course n°2 | Finale B"
"Olivier Urbain","C1H","121.92","387.04","609.89","Course n°2 | Finale B"
"Jean-baptiste Wolff","C1H","123.47","-","629.7","Course n°2 | Finale B"
"Kyle Gelb","C1H","134.17","566.34","766.52","Course n°2 | Finale B"
"Guilhem Douillet","C1H","145.28","-","908.57","Course n°2 | Finale B"
"Loric Bertrand Delorme","C1H","146.81","636.54","928.13","Course n°2 | Finale B"
"Nicolas Gallais","C1H","201.59","713.27","1628.55","Course n°2 | Finale B"
"Benjamin Hene","C1H","Abs","-","-","Course n°2 | Finale B"
"Alexis Pacholak","C1H","Abs","-","-","Course n°2 | Finale B"
"Marvin Tulpin","C1HM","126.01","569.02","662.19","Course n°2 | Finale B"
"Victor Henry","C1HM","277.77","1587.06","2602.59","Course n°2 | Finale B"
"Pierre-louis Gstalter","C1HM","Abd","-","-","Course n°2 | Finale B"
"Bairaun Catteau","C1HM","Abs","-","-","Course n°2 | Finale B"
"GÉrÔme Martin-Nicolas Vuille","C2H","122.49","-","546","Course n°2 | Finale B"
"Jean-baptiste Wolff-Charlie Barbier","C2H","131.03","-","650.22","Course n°2 | Finale B"
"Yann Becker-Vincent Idriss Achaoui","C2H","141.59","734.78","779.1","Course n°2 | Finale B"
"Zoe Bruchon","K1D","112.69","317.6","389.87","Course n°2 | Finale B"
"Athenais Reby","K1D","113.01","313.13","393.67","Course n°2 | Finale B"
"Jade Robin","K1D","118.81","345.46","462.58","Course n°2 | Finale B"
"Clotilde Lecoester","K1D","124.26","471.95","527.33","Course n°2 | Finale B"
"Tifenn Primet","K1D","125","411.67","536.11","Course n°2 | Finale B"
"Julie Rufet","K1D","128.96","455.93","583.17","Course n°2 | Finale B"
"Marlene Dumoulin","K1D","129.52","480.47","589.82","Course n°2 | Finale B"
"Clara Trenchant","K1D","133.68","532.37","639.25","Course n°2 | Finale B"
"Julie Munch","K1D","137.36","517","682.97","Course n°2 | Finale B"
"Justine Clerc","K1D","141.94","622.71","737.39","Course n°2 | Finale B"
"Maude Dominique","K1D","149.24","692.12","824.11","Course n°2 | Finale B"
"Emma Vaubourg","K1D","186.84","445.33","1270.83","Course n°2 | Finale B"
"Eva Guillaumot","K1D","368.1","-","3424.34","Course n°2 | Finale B"
"Agathe Niazi","K1D","386.02","-","3637.25","Course n°2 | Finale B"
"Lucine Tellier","K1DM","137.37","1446.83","683.08","Course n°2 | Finale B"
"Eva Klipfel","K1DM","143.13","-","-","Course n°2 | Finale B"
"MaÏa Gombert","K1DM","190.71","-","-","Course n°2 | Finale B"
"Benjamin Dodane","K1H","96.75","313.63","349.92","Course n°2 | Finale B"
"Nikolas Stanik","K1H","99.85","-","391.54","Course n°2 | Finale B"
"Olivier Urbain","K1H","100.08","304.27","394.62","Course n°2 | Finale B"
"Dyclan Plessis","K1H","101.71","395.83","416.51","Course n°2 | Finale B"
"Leo Peter","K1H","102.17","450.14","422.68","Course n°2 | Finale B"
"Marc Jegou","K1H","102.21","428.08","423.22","Course n°2 | Finale B"
"Eliot Wendling","K1H","105.4","477.49","466.05","Course n°2 | Finale B"
"Pierre Hubschwerlin","K1H","107.16","-","489.68","Course n°2 | Finale B"
"Rafael Pawlus","K1H","107.18","464.56","489.94","Course n°2 | Finale B"
"Christophe Godinat","K1H","107.76","443.91","497.73","Course n°2 | Finale B"
"Loic Joly","K1H","107.83","313.8","498.67","Course n°2 | Finale B"
"Hugo Gondeaux","K1H","114.3","482.3","585.53","Course n°2 | Finale B"
"Guillaume Schneider","K1H","114.84","1045.22","592.78","Course n°2 | Finale B"
"Loric Bertrand Delorme","K1H","115","547.23","594.93","Course n°2 | Finale B"
"Yanis Delacour","K1H","115.94","427.27","607.55","Course n°2 | Finale B"
"Alexis Pacholak","K1H","122.69","397.78","698.17","Course n°2 | Finale B"
"Augustin Jaujay","K1H","124.27","454.44","719.38","Course n°2 | Finale B"
"Jean- Nicolas Veigel","K1H","124.56","694.07","723.28","Course n°2 | Finale B"
"Yael Leleu","K1H","131.71","599.17","819.27","Course n°2 | Finale B"
"Julien Carisey","K1H","132.99","519.82","836.45","Course n°2 | Finale B"
"David Pierson","K1H","140.27","631.45","934.19","Course n°2 | Finale B"
"Alexandre L'huillier","K1H","141.72","501.45","953.65","Course n°2 | Finale B"
"Alexandre Lambert","K1H","148.48","663.94","1044.41","Course n°2 | Finale B"
"Louis Pein","K1H","155.84","409.4","1143.22","Course n°2 | Finale B"
"Ludovic Mazimann","K1H","170.14","1092.14","1335.2","Course n°2 | Finale B"
"Nicolas Gallais","K1H","173.64","550.98","1382.19","Course n°2 | Finale B"
"Anthony Ferreira","K1H","177.29","984.93","1431.19","Course n°2 | Finale B"
"Quentin Decotte","K1H","180.26","-","1471.07","Course n°2 | Finale B"
"Michel Bert","K1H","241.73","-","2296.32","Course n°2 | Finale B"
"Charles Billon","K1H","Abd","-","-","Course n°2 | Finale B"
"Jules Bernardet","K1H","Abs","-","-","Course n°2 | Finale B"
"Loic Petel","K1HM","116.68","-","-","Course n°2 | Finale B"
"Pierre-louis Gstalter","K1HM","119.12","937.98","650.24","Course n°2 | Finale B"
"Irenee Jaujay","K1HM","121.25","634.25","678.84","Course n°2 | Finale B"
"Lars Bingert","K1HM","123.43","846.27","708.11","Course n°2 | Finale B"
"Victor Henry","K1HM","125.55","718.67","736.57","Course n°2 | Finale B"
"Anatole Fuchs","K1HM","143.27","1604.12","974.46","Course n°2 | Finale B"
"Antoine Paumier","K1HM","159.38","-","-","Course n°2 | Finale B"
"Loic Trenchant","K1HM","167.2","-","-","Course n°2 | Finale B"
"Louis Gasser","K1HM","174.96","1352.13","1399.91","Course n°2 | Finale B"
"Alexis Sevrez","K1HM","257.68","2646.65","2510.45","Course n°2 | Finale B"
