"SLALOM SELECTIF REGIONAL - Pont D'ouilly - 2005-11-19","Course 1","2005-11-19","Régional","110"
"Thomas Goubert","K1H","278.64","-","597",""
"Gouello Jeremy","K1H","278.67","-","597",""
"Damien Jacques","K1H","278.92","841","598",""
"Henry Théophile","K1H","282.77","845","621",""
"Laville Hugo","K1H","286.83","-","645",""
"Piquet Landry","K1H","289.36","-","661",""
"Sifer Marwan","K1H","294.76","-","692",""
"Demutrecy Julien","K1H","294.99","-","695",""
"Bizeul Charlie","K1H","296.95","-","706",""
"Droit Pierre-Marie","K1H","302.63","-","740",""
"Frechon Camille","K1H","304.45","-","750",""
"Leroyer Julien","K1H","304.67","1401","752",""
"Tristan Robin","K1H","305.98","-","760",""
"Nacfer Thomas","K1H","314.73","-","812",""
"Mace Leopold","K1H","315.05","-","814",""
"Peyrucq Yoann","K1H","317.82","-","830",""
"Colin Maxime","K1H","318.92","901","837",""
"Romain Laporte","K1H","328.68","705","895",""
"Maxime Dubuisson","K1H","331.13","-","910",""
"Desmonts Alexis","K1H","343.74","-","985",""
"Tesson Vincent","K1H","351.80","-","1033",""
"Gana Alban","K1H","368.92","1548","1135",""
"Legrand Thomas","K1H","394.07","-","1285",""
"Lecornu Benoit","K1H","400.54","-","1324",""
"Legrand Sebastien","K1H","405.80","-","1355",""
"Alexandre Lallee","K1H","533.95","-","2119",""
