"CompÈtition RÈgionale de Slalom - Saint-pierre De Boeuf - Course n∞1 | Finale - 2015-10-10","Course n∞1 | Finale","2015-10-10","RÈgional","365"
"Marie-amelie Jullien","K1D","121.61","285.34","301.6","Course n∞1 | Finale A"
"Coralie Yebenes","K1D","121.69","355.85","302.43","Course n∞1 | Finale A"
"Carine Chapuis","K1D","123.79","288.87","324.01","Course n∞1 | Finale A"
"Sabine Kleinhenz","K1D","125","294.12","336.44","Course n∞1 | Finale A"
"Louise Bichet","K1D","125.47","248.58","341.27","Course n∞1 | Finale A"
"Zoe Bruchon","K1D","125.76","324.21","344.25","Course n∞1 | Finale A"
"Fanny Mino-vercellio","K1D","126.68","285.24","353.71","Course n∞1 | Finale A"
"Raphaelle Hovine","K1D","126.77","276.25","354.63","Course n∞1 | Finale A"
"Tiphanie Borlet","K1D","133.42","401.52","422.97","Course n∞1 | Finale A"
"Elise Escourrou","K1D","133.68","-","425.64","Course n∞1 | Finale A"
"Eva Pietracha","K1DM","122.49","323.24","310.65","Course n∞1 | Finale A"
"Laurene Roisin","K1DM","128.06","328.24","367.88","Course n∞1 | Finale A"
"Louane Chenal","K1DM","132.25","418.62","410.94","Course n∞1 | Finale A"
"Elena Hugues","K1DM","133.68","334.77","425.64","Course n∞1 | Finale A"
"Solene Grenier","K1DM","137.21","-","-","Course n∞1 | Finale A"
"Marion Pasquali","K1DM","137.27","578.79","462.53","Course n∞1 | Finale A"
"Lea Ferraris","K1DM","140.89","433.66","499.73","Course n∞1 | Finale A"
"Solen Friconneau","K1DM","145.28","-","-","Course n∞1 | Finale A"
"Nicolas Abbal","K1H","93.75","66.78","140.55","Course n∞1 | Finale A"
"Benjamin Travostino","K1H","93.76","55.13","140.67","Course n∞1 | Finale A"
"Martin Daviet","K1H","94.35","64.54","147.52","Course n∞1 | Finale A"
"Romain Faurie","K1H","95.32","93.09","158.78","Course n∞1 | Finale A"
"Kevin Schultz","K1H","95.82","74.81","164.59","Course n∞1 | Finale A"
"Titouan Dupras","K1H","96.4","126.2","171.32","Course n∞1 | Finale A"
"William Desnos","K1H","96.87","85.44","176.78","Course n∞1 | Finale A"
"Thomas Durand","K1H","97.4","131.74","182.94","Course n∞1 | Finale A"
"Renaud Doby","K1H","97.49","39.19","183.98","Course n∞1 | Finale A"
"Maxime Bottex","K1H","97.93","89.24","189.09","Course n∞1 | Finale A"
"Nicolas Caussanel","K1H","98.28","145.86","193.15","Course n∞1 | Finale A"
"Louis Masson","K1H","99.37","181.57","205.81","Course n∞1 | Finale A"
"Boris Chenal","K1H","99.71","68.19","209.76","Course n∞1 | Finale A"
"Sebastien Nouvel","K1H","100.2","145.95","215.45","Course n∞1 | Finale A"
"Gregoire Guerin","K1H","100.75","168.82","221.84","Course n∞1 | Finale A"
"Benjamin Jacon","K1H","101.39","113.46","229.27","Course n∞1 | Finale A"
"Minhyeong Song","K1H","101.61","-","231.82","Course n∞1 | Finale A"
"Matthieu Le Gall","K1H","101.75","165.78","233.45","Course n∞1 | Finale A"
"Bertrand Bercon","K1H","102.48","239.43","241.93","Course n∞1 | Finale A"
"Leo Fournier","K1H","102.61","184.19","243.44","Course n∞1 | Finale A"
"Antoine Gaillard","K1H","102.97","163.41","247.62","Course n∞1 | Finale A"
"Davy Egraz","K1H","103.09","183.12","249.01","Course n∞1 | Finale A"
"Maxime Le Morvan","K1H","103.13","-","249.47","Course n∞1 | Finale A"
"Emeric Bussonnais","K1H","103.25","284.3","250.87","Course n∞1 | Finale A"
"Pierre Grapotte","K1H","103.42","292.63","252.84","Course n∞1 | Finale A"
"Christophe Augu","K1H","103.44","147.32","253.07","Course n∞1 | Finale A"
"Jules Cresp","K1H","103.62","299.82","255.16","Course n∞1 | Finale A"
"Nizar Samlal","K1H","104.02","-","259.81","Course n∞1 | Finale A"
"Alexandre Lismonde","K1H","104.29","232.04","262.94","Course n∞1 | Finale A"
"Vincent Gerdeaux","K1H","104.95","258.65","270.61","Course n∞1 | Finale A"
"Paul Cornut-chauvinc","K1H","104.96","127.45","270.72","Course n∞1 | Finale A"
"Maxime Gaillard","K1H","105.03","286.92","271.54","Course n∞1 | Finale A"
"Yann Zaepffel","K1H","105.14","259.61","272.81","Course n∞1 | Finale A"
"Baptiste Granger","K1H","105.37","275.41","275.49","Course n∞1 | Finale A"
"Mathieu Monier","K1H","105.73","199.37","279.67","Course n∞1 | Finale A"
"Corentin Douady","K1H","106.04","195.54","283.27","Course n∞1 | Finale A"
"Julien Coudert","K1H","106.14","-","284.43","Course n∞1 | Finale A"
"Luc Doye","K1H","106.36","218.17","286.98","Course n∞1 | Finale A"
"Jeremy Wagner","K1H","106.48","-","288.37","Course n∞1 | Finale A"
"Adrien Maire","K1H","106.49","158.57","288.49","Course n∞1 | Finale A"
"Antoine Roux","K1H","106.59","130.06","289.65","Course n∞1 | Finale A"
"Raphael Lassechere","K1H","106.74","252.01","291.39","Course n∞1 | Finale A"
"Mathieu Lions","K1H","106.76","333.06","291.63","Course n∞1 | Finale A"
"Alexandre Bordas","K1H","106.87","303.98","292.9","Course n∞1 | Finale A"
"Kawan Thomas","K1H","107.17","285.78","296.39","Course n∞1 | Finale A"
"Lilian Querry","K1H","107.87","261.33","304.52","Course n∞1 | Finale A"
"Alexandre Marin","K1H","107.91","279.45","304.98","Course n∞1 | Finale A"
"Flavien San Augustin","K1H","107.92","270.27","305.1","Course n∞1 | Finale A"
"Thibaud Lacour","K1H","108.49","-","311.72","Course n∞1 | Finale A"
"Antoine Dubost","K1H","108.92","-","316.71","Course n∞1 | Finale A"
"Nicolas Detheve","K1H","109.37","-","321.93","Course n∞1 | Finale A"
"Julien Beltrami","K1H","109.4","-","322.28","Course n∞1 | Finale A"
"Lucien Goulet","K1H","109.51","419.85","323.56","Course n∞1 | Finale A"
"Erwan Cadio","K1H","109.57","227.15","324.26","Course n∞1 | Finale A"
"Stephane Boulanger","K1H","109.59","-","324.49","Course n∞1 | Finale A"
"Tom Benini","K1H","109.9","384.78","328.09","Course n∞1 | Finale A"
"Emeric Vibert","K1H","109.93","271.33","328.44","Course n∞1 | Finale A"
"Hafiz Ali Hassan","K1H","109.98","-","329.02","Course n∞1 | Finale A"
"Jeonghyeon Lee","K1H","110.04","-","329.71","Course n∞1 | Finale A"
"Sebastien Lepaulard","K1H","110.33","271.19","333.08","Course n∞1 | Finale A"
"Jules Silvin","K1H","110.35","295.68","333.31","Course n∞1 | Finale A"
"Raphael Ricci Miege","K1H","110.61","340.11","336.33","Course n∞1 | Finale A"
"Cedric Mace","K1H","110.82","-","338.77","Course n∞1 | Finale A"
"Valentin Vibert","K1H","110.96","257.28","340.4","Course n∞1 | Finale A"
"Jules Bernardet","K1H","111.01","273.21","340.98","Course n∞1 | Finale A"
"Samuel Bonella","K1H","111.31","259.32","344.46","Course n∞1 | Finale A"
"Jean Philippe Roche","K1H","111.32","300.61","344.58","Course n∞1 | Finale A"
"Teo Bouvier","K1H","111.44","354.47","345.97","Course n∞1 | Finale A"
"Thomas Thieblemont","K1H","111.44","304.87","345.97","Course n∞1 | Finale A"
"Sebastien De Kerleau","K1H","112.07","204.67","353.29","Course n∞1 | Finale A"
"Olivier Hardonniere","K1H","112.31","320.99","356.07","Course n∞1 | Finale A"
"Quentin Robin","K1H","112.96","387.2","363.62","Course n∞1 | Finale A"
"Julien Signarbieux","K1H","113.6","303.59","371.05","Course n∞1 | Finale A"
"Pierre Labarelle","K1H","113.6","-","371.05","Course n∞1 | Finale A"
"Victor Paulais","K1H","113.85","295.08","373.96","Course n∞1 | Finale A"
"Florent Iraundegui","K1H","114.07","244.47","376.51","Course n∞1 | Finale A"
"Raphael Olla","K1H","114.47","337.69","381.16","Course n∞1 | Finale A"
"Maxence Merpillat","K1H","114.51","329.98","381.62","Course n∞1 | Finale A"
"Lucas Barriere","K1H","115.09","397.15","388.36","Course n∞1 | Finale A"
"Loic Joly","K1H","115.86","309.83","397.3","Course n∞1 | Finale A"
"Matteo Licoine","K1H","119.25","370.12","436.66","Course n∞1 | Finale A"
"Jae Hyeong Bak","K1H","123.54","-","486.48","Course n∞1 | Finale A"
"Henri Bergognon","K1HM","105.53","-","277.34","Course n∞1 | Finale A"
"Gael Adisson","K1HM","109.93","363.09","328.44","Course n∞1 | Finale A"
"Lucas Augu","K1HM","112.39","-","-","Course n∞1 | Finale A"
"Djendy Simeant","K1HM","116.8","-","-","Course n∞1 | Finale A"
"Adrien Fischer","K1HM","119.14","377.64","435.39","Course n∞1 | Finale A"
"Maxime Melmont","K1HM","119.52","564.48","439.8","Course n∞1 | Finale A"
"Etienne Wiche","K1HM","120.18","-","-","Course n∞1 | Finale A"
"Thijs Duvillard","K1HM","125","-","503.43","Course n∞1 | Finale A"
"Florian Sauvage","K1HM","126.66","-","522.71","Course n∞1 | Finale A"
"Yanis Clerc","K1HM","128.92","-","548.95","Course n∞1 | Finale A"
"Guillaume Belet","K1HM","129.46","-","-","Course n∞1 | Finale A"
"Zacharie Trinquet","K1HM","129.53","760.57","556.04","Course n∞1 | Finale A"
"Nino Chailan","K1HM","132.8","-","594.01","Course n∞1 | Finale A"
"Tino Forgues","K1HM","134.46","543.34","613.28","Course n∞1 | Finale A"
"Armand Lombardot","K1HM","136.55","-","637.55","Course n∞1 | Finale A"
"Batiste Ansaldi","K1HM","160.59","-","-","Course n∞1 | Finale A"
"Lucas Dominguez","K1HM","171.39","-","-","Course n∞1 | Finale A"
"Yazid Koraichi","K1HM","185.16","-","-","Course n∞1 | Finale A"
"Tifenn Primet","C1D","134.1","378.31","354.57","Course n∞1 | Finale B"
"Margot Blanc","C1D","173.19","-","732.84","Course n∞1 | Finale B"
"Chloe Faverjon","C1D","238.65","-","1366.28","Course n∞1 | Finale B"
"Fanny Margot","C1D","Abd","-","-","Course n∞1 | Finale B"
"Hind Jamili","C1D","Dsq","-","-","Course n∞1 | Finale B"
"Heloise Pinon","C1D","Abd","-","-","Course n∞1 | Finale B"
"Stephane Abadie","C1H","115.14","240.67","330.27","Course n∞1 | Finale B"
"Alexandre Pons","C1H","117.45","-","355.81","Course n∞1 | Finale B"
"Nicolas Eymaron","C1H","118.26","275.17","364.78","Course n∞1 | Finale B"
"Nil Georgel","C1H","119.22","315.78","375.39","Course n∞1 | Finale B"
"Beomsoo Kim","C1H","121.6","-","401.72","Course n∞1 | Finale B"
"Olivier Barriere","C1H","121.81","317.32","404.04","Course n∞1 | Finale B"
"Francis Gaillard","C1H","122.15","433.21","407.79","Course n∞1 | Finale B"
"Yechan Oh","C1H","124.96","-","438.88","Course n∞1 | Finale B"
"Jean Baptiste Lismonde","C1H","125.97","461.88","450.04","Course n∞1 | Finale B"
"Jules Silvin","C1H","126.08","493.28","451.25","Course n∞1 | Finale B"
"David Besancon","C1H","126.73","374.94","458.44","Course n∞1 | Finale B"
"Thomas Thieblemont","C1H","128.83","423.49","481.67","Course n∞1 | Finale B"
"Raphael Olla","C1H","129.7","-","491.29","Course n∞1 | Finale B"
"Guillaume Gonseth","C1H","131.46","364.69","510.76","Course n∞1 | Finale B"
"Guillaume Carbon","C1H","131.92","553.17","515.84","Course n∞1 | Finale B"
"Lucas Barriere","C1H","135.82","-","558.97","Course n∞1 | Finale B"
"Eric Archambault","C1H","137.06","-","572.68","Course n∞1 | Finale B"
"Lucas Di Martino","C1H","139.37","369.79","598.23","Course n∞1 | Finale B"
"Kawan Thomas","C1H","141.22","490.88","618.69","Course n∞1 | Finale B"
"Paul Gaillard","C1H","142.55","514.85","633.4","Course n∞1 | Finale B"
"Boris Rostaing","C1H","143.14","609.08","639.93","Course n∞1 | Finale B"
"Cedric Mace","C1H","153.14","-","750.52","Course n∞1 | Finale B"
"Loic Burlet","C1H","161.84","694.5","846.73","Course n∞1 | Finale B"
"Arthur Tebib","C1H","226.35","-","1560.16","Course n∞1 | Finale B"
"Adrien Maire","C1H","Abs","-","-","Course n∞1 | Finale B"
"Axel Kournwsky","C1H","Abs","-","-","Course n∞1 | Finale B"
"Arthur Viallard","C1HM","155.71","-","778.94","Course n∞1 | Finale B"
"Antonin Dustou","C1HM","165.27","1924.29","884.67","Course n∞1 | Finale B"
"Enki Georgel","C1HM","185.83","-","-","Course n∞1 | Finale B"
"Vincent Sophian","C1HM","192.71","1141.37","1188.13","Course n∞1 | Finale B"
"Emeric Vibert-Valentin Vibert","C2H","137.61","386.46","509.59","Course n∞1 | Finale B"
"Eric Archambault-Loic Burlet","C2H","140.84","-","543.69","Course n∞1 | Finale B"
"Teo Bouvier-Hugo Martin -laemle","C2H","147.43","655.67","613.26","Course n∞1 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","158.1","-","725.89","Course n∞1 | Finale B"
"Yechan Oh-Beomsoo Kim","C2H","Abs","-","-","Course n∞1 | Finale B"
"Pierre Courtois-Enzo Briffa","C2H","Abd","-","-","Course n∞1 | Finale B"
"Tom Mazouat-Enzo Mazouat","C2H","Abd","-","-","Course n∞1 | Finale B"
"Davy Egraz-Fanny Mino-vercellio","C2M","142.76","406.57","438.38","Course n∞1 | Finale B"
"Tiphanie Borlet-Matthieu Le Gall","C2M","159.45","550.53","599.88","Course n∞1 | Finale B"
"Jean Baptiste Lismonde-Patricia Raspaut","C2M","311.33","-","2069.6","Course n∞1 | Finale B"
"Annaelle Meheut","K1D","105.25","166.51","138.49","Course n∞1 | Finale B"
"Angele Hug","K1D","112.84","264.29","216.48","Course n∞1 | Finale B"
"Meryl Steinmann","K1D","120.42","357.12","294.37","Course n∞1 | Finale B"
"Lucie Adisson","K1D","130.1","385.81","393.86","Course n∞1 | Finale B"
"Coline Charel","K1D","132.64","420.82","419.96","Course n∞1 | Finale B"
"Juliette Rousset","K1D","133.41","524.95","427.87","Course n∞1 | Finale B"
"Julie Fauroux","K1D","133.62","335.7","430.03","Course n∞1 | Finale B"
"Estelle Friconneau","K1D","133.67","-","430.54","Course n∞1 | Finale B"
"Amelie Perier","K1D","136.25","363.59","457.05","Course n∞1 | Finale B"
"Chloe Faverjon","K1D","139.33","804.6","488.7","Course n∞1 | Finale B"
"Tifenn Primet","K1D","140.51","422.37","500.83","Course n∞1 | Finale B"
"Sarah Monod","K1D","141.37","486.09","509.66","Course n∞1 | Finale B"
"Aurelie Le Fee","K1D","141.38","629.25","509.77","Course n∞1 | Finale B"
"Carla Cerrutti - Bozzola","K1D","142.69","427.93","523.23","Course n∞1 | Finale B"
"Annie Ughetto","K1D","146.71","-","564.54","Course n∞1 | Finale B"
"Emma Miton","K1D","151.04","-","609.04","Course n∞1 | Finale B"
"Lorene Scalbert","K1D","153.82","430.79","637.61","Course n∞1 | Finale B"
"Laure Castel","K1D","156.25","-","662.57","Course n∞1 | Finale B"
"Juliette Ribault","K1D","157.41","585.46","674.5","Course n∞1 | Finale B"
"Emilie Armani","K1D","168.07","505.46","784.05","Course n∞1 | Finale B"
"Elise Carbon","K1D","189.03","-","999.43","Course n∞1 | Finale B"
"Margot Blanc","K1D","220.32","1123.26","1320.97","Course n∞1 | Finale B"
"Christelle Channac","K1D","231.02","501.29","1430.93","Course n∞1 | Finale B"
"Lison Soullier","K1D","321.39","-","2359.6","Course n∞1 | Finale B"
"Marine Brenet","K1D","463.93","-","3824.39","Course n∞1 | Finale B"
"Amandine Cr…gut","K1D","Abd","-","-","Course n∞1 | Finale B"
"Barbara Lassechere","K1D","Abs","-","-","Course n∞1 | Finale B"
"Marie Hilger","K1DM","134.26","563.29","436.6","Course n∞1 | Finale B"
"Marie Juquelier","K1DM","141.6","453.25","512.03","Course n∞1 | Finale B"
"Victoire Guerin","K1DM","164.23","-","744.58","Course n∞1 | Finale B"
"Camille Berson","K1DM","210.21","-","1217.09","Course n∞1 | Finale B"
"Elke Saragas","K1DM","251.23","2679.39","1638.61","Course n∞1 | Finale B"
"Lea Hubert","K1DM","331.15","-","2459.9","Course n∞1 | Finale B"
"Clara Jannic","K1DM","440.96","-","3588.34","Course n∞1 | Finale B"
"Carla Voineau","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Quentin Sablayrolles","K1H","107.27","282.85","302.55","Course n∞1 | Finale B"
"Pierrealain Clerc","K1H","107.39","328.1","303.94","Course n∞1 | Finale B"
"Benjamin Dodane","K1H","109.83","345.58","332.28","Course n∞1 | Finale B"
"Bertrand Dubiez","K1H","110.43","-","339.24","Course n∞1 | Finale B"
"Thomas Denais","K1H","110.59","304.36","341.1","Course n∞1 | Finale B"
"Sebastien Routhier","K1H","112.96","337.54","368.62","Course n∞1 | Finale B"
"Francis Gaillard","K1H","113.15","436.16","370.83","Course n∞1 | Finale B"
"Pascal Hunault","K1H","113.16","324.65","370.94","Course n∞1 | Finale B"
"Benjamin Harreau","K1H","114.3","340.52","384.18","Course n∞1 | Finale B"
"Nayl Tazi-sidqui","K1H","115.07","399.37","393.12","Course n∞1 | Finale B"
"Cyril Audoit","K1H","116.33","369.67","407.76","Course n∞1 | Finale B"
"Alexis Mercoirol","K1H","117.13","457.22","417.04","Course n∞1 | Finale B"
"Antonin Barraud","K1H","117.46","300.14","420.88","Course n∞1 | Finale B"
"Xavier Le Gallic","K1H","117.65","-","423.08","Course n∞1 | Finale B"
"Emmanuel Triomphe","K1H","117.65","335.92","423.08","Course n∞1 | Finale B"
"Olivier Barriere","K1H","118.29","339.59","430.52","Course n∞1 | Finale B"
"Kilian Godart","K1H","118.35","-","431.21","Course n∞1 | Finale B"
"Yanis Delacour","K1H","118.93","467.15","437.95","Course n∞1 | Finale B"
"Victorien Lombard","K1H","119.32","385.5","442.48","Course n∞1 | Finale B"
"Stephane Abadie","K1H","119.34","-","442.71","Course n∞1 | Finale B"
"Valentin Bonnot","K1H","119.6","559.2","445.73","Course n∞1 | Finale B"
"Pierre Louis Debuigne","K1H","121.8","433.31","471.27","Course n∞1 | Finale B"
"Gauthier Vanden  Abeele","K1H","122.09","359.53","474.64","Course n∞1 | Finale B"
"Adrien Jacquemet","K1H","122.31","514.35","477.2","Course n∞1 | Finale B"
"Yann Leruste","K1H","122.48","602.3","479.17","Course n∞1 | Finale B"
"Hugo Martin -laemle","K1H","122.93","480.84","484.4","Course n∞1 | Finale B"
"Nathan Pavot","K1H","123.33","470.75","489.04","Course n∞1 | Finale B"
"Xavier Rat","K1H","123.33","382.53","489.04","Course n∞1 | Finale B"
"Florent Cossou","K1H","123.81","-","494.61","Course n∞1 | Finale B"
"Paul Gaillard","K1H","124.44","410.57","501.93","Course n∞1 | Finale B"
"Oscar Lombardot","K1H","125","651.8","508.43","Course n∞1 | Finale B"
"Loic Bouvier","K1H","125.33","559.01","512.26","Course n∞1 | Finale B"
"Thomas Courtois","K1H","125.37","448.82","512.73","Course n∞1 | Finale B"
"Erwan Degreve","K1H","125.81","535.62","517.84","Course n∞1 | Finale B"
"Arthur Lagleyze","K1H","128.05","472.29","543.85","Course n∞1 | Finale B"
"Djimy Kar","K1H","130.43","373.22","571.49","Course n∞1 | Finale B"
"Kilian Hervault","K1H","130.57","-","573.11","Course n∞1 | Finale B"
"Flavien Portier","K1H","130.58","475.29","573.23","Course n∞1 | Finale B"
"Yves Masson","K1H","130.6","-","573.46","Course n∞1 | Finale B"
"Francois Lecuit","K1H","130.83","569.31","576.13","Course n∞1 | Finale B"
"Gilles Lovera","K1H","132.76","432.02","598.54","Course n∞1 | Finale B"
"Dominique Polard","K1H","135.47","551.24","630.01","Course n∞1 | Finale B"
"Marc Jungling","K1H","136.98","-","647.55","Course n∞1 | Finale B"
"Arthur Tebib","K1H","140.63","705","689.93","Course n∞1 | Finale B"
"Alexei Evlachev","K1H","141.52","775","700.27","Course n∞1 | Finale B"
"Philippe Bigard","K1H","142.75","651.54","714.55","Course n∞1 | Finale B"
"Enzo Mazouat","K1H","143.66","649.29","725.12","Course n∞1 | Finale B"
"Tom Mazouat","K1H","143.84","695.55","727.21","Course n∞1 | Finale B"
"Pascal Genereux","K1H","144.55","-","735.45","Course n∞1 | Finale B"
"Pierre Courtois","K1H","146.07","530.41","753.1","Course n∞1 | Finale B"
"Louis Scalbert","K1H","148.32","479.85","779.23","Course n∞1 | Finale B"
"Paul Badache","K1H","148.51","579.85","781.44","Course n∞1 | Finale B"
"Olivier Mercier","K1H","154.59","580.44","852.04","Course n∞1 | Finale B"
"Jerome Burignat","K1H","154.7","619.57","853.32","Course n∞1 | Finale B"
"Hugo Polard","K1H","156.31","483.84","872.01","Course n∞1 | Finale B"
"Fabien Bezut","K1H","158.45","1645.42","896.86","Course n∞1 | Finale B"
"Boris Rostaing","K1H","170.53","346.48","1037.14","Course n∞1 | Finale B"
"Yasin Gulay","K1H","174.31","-","1081.03","Course n∞1 | Finale B"
"Jeremie Devillers","K1H","179.46","387.58","1140.83","Course n∞1 | Finale B"
"Jules Azelie","K1H","179.74","-","1144.08","Course n∞1 | Finale B"
"Hugo Nerisson","K1H","182.24","782.77","1173.12","Course n∞1 | Finale B"
"Anton Gille","K1H","182.74","554.39","1178.92","Course n∞1 | Finale B"
"Remy Beal","K1H","182.96","1607.96","1181.48","Course n∞1 | Finale B"
"Fabien Leist","K1H","184.34","367.32","1197.5","Course n∞1 | Finale B"
"Marc Le Morvan","K1H","192.03","-","1286.8","Course n∞1 | Finale B"
"Enzo Briffa","K1H","194.85","612.66","1319.54","Course n∞1 | Finale B"
"Lucas Maurin","K1H","196.87","538.33","1343","Course n∞1 | Finale B"
"Seraphin Margot","K1H","205.38","554.05","1441.82","Course n∞1 | Finale B"
"Thomas Galbrun","K1H","213.81","-","1539.71","Course n∞1 | Finale B"
