"CHAMPIONNAT REGIONAL SLALOM - LE FIER - Argonnay - 2004-04-04","Course 1","2004-04-04","Régional","125"
"Valla Camille","K1D","295.82","378","580",""
"Lucie Beaudet","K1D","296.62","1445","585",""
"Lutinier Michelle","K1D","299.15","548","599",""
"Sirerol Gaelle","K1D","308.64","620","655",""
"Pallud Renaud","K1H","191.47","40","78",""
"Mathieu Doby","K1H","194.44","43","97",""
"Alonso Remy","K1H","197.06","68","114",""
"Damien Boudet","K1H","199.00","78","127",""
"Piquard Charles","K1H","199.44","77","129",""
"Benjamin Buys","K1H","203.96","121","159",""
"Renaud Doby","K1H","204.97","119","165",""
"Wadel Florian","K1H","205.04","179","166",""
"Colliex Olivier","K1H","205.14","97","166",""
"Benoit Fer","K1H","205.95","149","172",""
"Hafiz Ali Hassan","K1H","206.96","196","178",""
"Luc Doye","K1H","207.74","160","183",""
"Andy Pajani","K1H","208.34","214","187",""
"Yann Gudefin","K1H","208.78","199","190",""
"Hugo Hager","K1H","209.47","233","195",""
"Bertrand Bercon","K1H","209.83","159","197",""
"Guillaume Provost","K1H","211.08","156","205",""
"Renaud Metereau","K1H","211.95","198","210",""
"Olivier Hardonniere","K1H","211.98","177","211",""
"Julien Beltrami","K1H","212.45","168","214",""
"Sebastien Lepaulard","K1H","212.97","189","217",""
"Bertrand Dubiez","K1H","214.89","207","229",""
"Froissard Jonathan","K1H","215.27","327","232",""
"Lebourgeois Alexis","K1H","215.27","225","232",""
"Bertrand Lamy","K1H","216.57","159","240",""
"Remi Wolf","K1H","217.11","219","244",""
"Boris Lutinier","K1H","217.28","210","245",""
"Beltrami Denis","K1H","217.81","239","248",""
"Bersinger Sylvain","K1H","218.02","281","250",""
"Delfs Yann","K1H","219.08","227","257",""
"Alain Ferry","K1H","220.02","262","263",""
"Daumas Jeremy","K1H","221.01","258","270",""
"Pascal Hunault","K1H","221.29","223","271",""
"Adrien Roussel","K1H","221.39","301","272",""
"Pascal Ferry","K1H","221.48","222","272",""
"Berthiaud Gregory","K1H","222.85","-","282",""
"Jeremiah Mosch","K1H","222.91","260","282",""
"Jeremy Vibert","K1H","224.06","259","289",""
"Palix Lorin","K1H","224.36","230","291",""
"Martelet Romain","K1H","224.55","292","292",""
"Keller Paco","K1H","225.70","299","300",""
"Olivier Bourgey","K1H","228.33","309","316",""
"Ballini Yoann","K1H","229.54","295","325",""
"Etienne Daille","K1H","230.08","279","328",""
"Guillaume Gery","K1H","231.83","-","339",""
"Felix Balas","K1H","232.40","-","343",""
"Bonnetain Quentin","K1H","234.27","317","356",""
"Sebastien Swieton","K1H","236.00","357","366",""
"Cottet Gaydon Francois","K1H","240.97","456","399",""
"Philippe Jules","K1H","242.20","435","407",""
"Martin Moreau","K1H","242.91","394","412",""
"Descharrieres Bruno","K1H","243.10","408","413",""
"Baude Francois","K1H","243.51","409","415",""
"Vaucher Dimitri","K1H","243.73","469","417",""
"Chassain Nathael","K1H","244.17","420","419",""
"Laurent Wolf","K1H","249.13","507","451",""
"Francony Bastien","K1H","249.42","1296","454",""
"Bessiere Florian","K1H","250.52","407","461",""
"Antoine Vinay","K1H","251.14","531","464",""
"Yoann Aupee","K1H","251.93","494","470",""
"Baptista Julien","K1H","253.14","609","477",""
"Thomas Burnoud","K1H","258.43","487","512",""
"Favre Stephane","K1H","259.21","474","517",""
"Pradeau Xavier","K1H","260.81","988","528",""
"Balhat Youcef","K1H","269.51","530","584",""
"Bernard Justin","K1H","270.34","-","590",""
"Vallet Florian","K1H","281.33","1023","660",""
"Tissot Fabien","K1H","282.75","-","670",""
"Godefroy Thierry","K1H","283.17","-","672",""
"Lhermitte Mathieu","K1H","288.23","-","705",""
"Biard Adrien","K1H","288.74","374","709",""
"Descotes Vincent","K1H","289.10","590","710",""
"Boch Joffrey","K1H","304.66","-","812",""
"Gosset Christopher","K1H","363.22","-","1191",""
"Cnapelynck Aurélien","K1H","445.63","2279","1725",""
"Schifano Jordane","K1H","482.18","-","1962",""
"Koecklin Paul","K1H","489.49","-","2009",""
"Jeremy Pitton","K1H","554.65","-","2432",""
