"Coupe Régionale - Epinal - 2013-05-19","Course 3","2013-05-19","Régional","208"
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","Nt","-","-",""
"Emilien Kempf-Silvere Desongins","C2H","Nt","-","-",""
"Gauthier Klauss-Matthieu Peche","C2H","Nt","-","-",""
"Claire Haab-Pierre Marie Roussel","C2M","119.84","181.3","254.12",""
"Julian Othenin-girard-Charlotte Abba","C2M","129","269.77","354.33",""
"Anne-lise Moisan-ehrwein-Clement Travert","C2M","135.46","-","425",""
"Brigitte Marechal-Philippe Thevenin","C2M","144.29","455.29","521.59",""
"Cyril Gagneret-Hind Jamili","C2M","172.45","818.16","829.62",""
"Erwan Guenier-Caroline Scherer","C2M","242.01","410.87","1590.52",""
"Christine Poix-Emmanuel Del Rey","C2M","Nt","-","-",""
"Caroline Bourry","K1D","106.67","56.7","161.69",""
"Melanie Ragaru","K1D","106.88","46","164.09",""
"Anne-sophie Biazizzo","K1D","109.93","84.79","198.92",""
"Lea Martin","K1D","112.28","205.97","225.78",""
"Claire Haab","K1D","113.11","121.44","235.24",""
"Charlotte Abba","K1D","114.51","158.7","251.24",""
"Angelique Guilcher","K1D","114.75","97.52","253.99",""
"Sarah Michel","K1D","121.35","-","329.38",""
"Brigitte Marechal","K1D","122.37","307.78","341.02",""
"Ophelia Lopes Marques","K1D","123.09","202.56","349.25",""
"Laurene Cougnet","K1D","124.15","208.3","361.36",""
"Azenor Philip","K1D","125.11","200.82","372.33",""
"Axelle Armanini","K1D","126.76","181.57","391.17",""
"Caroline Scherer","K1D","127.45","186.31","399.06",""
"Zelie Wendling","K1D","127.47","209.92","399.28",""
"Alicia Gallot","K1D","132.02","232.36","451.26",""
"Anne-lise Moisan-ehrwein","K1D","136.51","330.7","502.54",""
"Carla Menigoz","K1D","141.87","391.72","563.78",""
"Camille Hurez","K1D","142.56","418.45","571.66",""
"Sarah Rothenbuhler","K1D","142.59","349.47","572",""
"Margaux Bandel","K1D","147.83","308.9","631.86",""
"Hind Jamili","K1D","170.59","232.7","891.85",""
"Manon Bucher","K1D","180.11","683.8","1000.58",""
"Stassy Legendre","K1D","227.34","594.05","1540.09",""
"Manon Louis","K1D","292","922.23","2278.69",""
"Claire Marie Peltier","K1D","375.14","-","3228.38",""
"Manon Piette","K1D","443.01","-","4003.65",""
"Beatrice Favre","K1D","Nt","-","-",""
"Martin Daviet","K1H","90","30.62","104.92",""
"Mathieu Biazizzo","K1H","90.28","3.59","108.54",""
"Emmanuel Walczak","K1H","92.72","24.17","140.03",""
"Florient Tagnon","K1H","93.87","72.38","154.87",""
"Jerome Olhagaray","K1H","94.05","51.95","157.2",""
"Bertrand Gutierrez","K1H","94.79","32","166.75",""
"Clement Travert","K1H","95.8","63.91","179.78",""
"Pierre Marie Roussel","K1H","97.86","38.18","206.37",""
"Laurent Starck","K1H","98.87","89.97","219.41",""
"Lucas Ferraina","K1H","98.96","132.48","220.57",""
"Maxime Bottex","K1H","98.97","75.98","220.7",""
"Robin Pilard","K1H","100.44","114.47","239.67",""
"Remi Thomas","K1H","100.57","86.93","241.36",""
"Otello Willmann Rosso","K1H","101.92","158.07","258.78",""
"Louison Tanet","K1H","102.06","-","260.59",""
"Julien Arribe","K1H","102.58","87.15","267.29",""
"Gauthier Klauss","K1H","102.96","-","272.2",""
"Adrien Maire","K1H","102.96","155.54","272.2",""
"Axel Kournwsky","K1H","103.55","145.6","279.82",""
"Paul Aubert","K1H","105.12","-","300.09",""
"Arthur Favennec","K1H","105.65","176.14","306.93",""
"Felix Jeanningros","K1H","105.95","92.97","310.79",""
"Louis Masson","K1H","106.45","233.42","317.26",""
"Lucas Galmiche","K1H","106.71","194.43","320.61",""
"Mael Othenin Girard","K1H","106.97","346.86","323.96",""
"Philippe Devillers","K1H","107.27","197.03","327.83",""
"Matthieu Peche","K1H","107.64","-","332.61",""
"Erwan Rouch","K1H","107.92","215.61","336.22",""
"Hugo Simon","K1H","108.58","217.06","344.75",""
"Florent Tamburini","K1H","108.84","242.89","348.1",""
"Quentin Robert","K1H","109.04","249.22","350.69",""
"Valentin Serrurier","K1H","109.42","202.32","355.59",""
"Erwan Guenier","K1H","110.59","215.36","370.7",""
"Victor Beau","K1H","111.09","323.01","377.15",""
"Fabien Fritsch","K1H","111.54","230.77","382.96",""
"Yoni Beghoura","K1H","111.94","-","388.12",""
"Emmanuel Triomphe","K1H","112.03","228.53","389.28",""
"Alexandre Marin","K1H","113.27","244.14","405.29",""
"Pierre Francois","K1H","113.44","201.5","407.48",""
"Patrick Gass","K1H","113.59","219.57","409.42",""
"Billel Khenchouche","K1H","113.82","117.88","412.39",""
"Mathieu Chossat","K1H","116.16","303.27","442.59",""
"Dylan Hirtz","K1H","116.87","231.4","451.76",""
"Vincent Cedolini","K1H","117.16","335.34","455.49",""
"Romain Pergaud","K1H","118","311.8","466.34",""
"Patrick Thevenin","K1H","120.47","-","498.22",""
"Jean Guyot","K1H","121.85","307.68","516.03",""
"Mickael Dubois","K1H","123.01","376.78","531.01",""
"Jocelyn Racape","K1H","123.47","358.78","536.95",""
"Lucas Latimier","K1H","123.64","344.92","539.14",""
"Baptiste Maes","K1H","123.87","440.58","542.11",""
"Philippe Potier","K1H","124.65","422.65","552.18",""
"Lucas Vancon","K1H","124.71","-","552.94",""
"Foulques Gidoin","K1H","124.78","572.13","553.85",""
"Quentin Gerard","K1H","125.18","-","559.01",""
"Mathurin Garnier","K1H","126.21","-","572.32",""
"Maxime Pilard","K1H","127.19","296.74","584.96",""
"Yohan Wantz","K1H","127.6","-","590.25",""
"Vincent Idriss Achaoui","K1H","127.97","454.27","595.03",""
"Valentin Bonnot","K1H","133.2","415.23","662.54",""
"Kyle Gelb","K1H","133.71","493.97","669.12",""
"Guillaume Goury","K1H","136.47","403.7","704.74",""
"Gaspard Lefevre","K1H","138.79","-","734.69",""
"Oscar Imbault","K1H","145.21","550.31","817.56",""
"Cyril Gagneret","K1H","146.11","378.33","829.18",""
"Youcef Ould-braham","K1H","149.21","702.07","869.2",""
"Dimitry Dijoux","K1H","153.82","-","928.7",""
"Antoine Luchier","K1H","157.36","996.9","974.4",""
"Nicolas Castagnetti","K1H","157.54","635.98","976.72",""
"Robin Jullien","K1H","161.04","-","1021.9",""
"Christophe Harding","K1H","163.82","172.96","1057.78",""
"Bertrand Bourguignon","K1H","178.05","-","1241.45",""
"Louis Collin","K1H","223.16","968.28","1823.72",""
"Hugo Thiery","K1H","228.53","744.24","1893.05",""
"Antonin Gerastre","K1H","360.53","-","3596.88",""
"Anice Benhacine","K1H","Nt","-","-",""
"Gaetan Consigny","K1H","Nt","-","-",""
"Christophe Simonin","K1H","Nt","-","-",""
"Alexandre Diemert","K1H","Nt","-","-",""
"Enrique Billet","K1H","Nt","-","-",""
"Andre Kempf","K1H","Nt","-","-",""
"Paul Frommer","K1H","Nt","-","-",""
"Nicolas Abel","K1H","Nt","-","-",""
"Vincent Herrenberger","K1H","Nt","-","-",""
"Marcantoine Hacquart","K1H","Nt","-","-",""
"Anthony Ulrich","K1H","Nt","-","-",""
"Vincent Morabito","K1H","Nt","-","-",""
"Florent Bronchain","K1H","Nt","-","-",""
"Yann Becker","K1H","Nt","-","-",""
"Emilien Kempf","K1H","Nt","-","-",""
"Louis Savart","K1H","Nt","-","-",""
"Liam Jegou","K1H","Nt","-","-",""
"Silvere Desongins","K1H","Nt","-","-",""
