"Sélectif Régional - Porcieu - Course 1 | Finale - 2014-10-18","Course 1 | Finale","2014-10-18","Régional","157"
"Loic Bertoia","K1H","95.88","184.71","184.77","Course 1 | Finale A"
"Maxime Bottex","K1H","96.2","109.86","188.58","Course 1 | Finale A"
"Antoine Gaillard","K1H","98.45","157.87","215.37","Course 1 | Finale A"
"Sebastien De Kerleau","K1H","99.44","-","227.16","Course 1 | Finale A"
"Romain Guyomard","K1H","99.85","92.49","232.04","Course 1 | Finale A"
"Louis Masson","K1H","99.92","199.97","232.88","Course 1 | Finale A"
"Gregoire Guerin","K1H","100.12","166.98","235.26","Course 1 | Finale A"
"Emeric Vibert","K1H","101.1","262.04","246.93","Course 1 | Finale A"
"Erwan Cadio","K1H","101.47","206.29","251.33","Course 1 | Finale A"
"Adrien Maire","K1H","101.47","178.98","251.33","Course 1 | Finale A"
"Valentin Vibert","K1H","101.7","238.43","254.07","Course 1 | Finale A"
"Paul Cornut-chauvinc","K1H","102.55","184.06","264.19","Course 1 | Finale A"
"Bertrand Bercon","K1H","103.18","223.27","271.69","Course 1 | Finale A"
"Arnaud Gallois","K1H","103.2","206.49","271.93","Course 1 | Finale A"
"Thomas Girard","K1H","103.74","283.57","278.36","Course 1 | Finale A"
"Tristan Bronsard","K1H","103.82","192.24","279.31","Course 1 | Finale A"
"Jan Kaspar","K1H","104.38","274.17","285.98","Course 1 | Finale A"
"Mathieu Monier","K1H","105.06","214.15","294.08","Course 1 | Finale A"
"Alexandre Bordas","K1H","107.21","316.49","319.67","Course 1 | Finale A"
"Alain Ferry","K1H","110.5","280.31","358.85","Course 1 | Finale A"
"Alexandre Marin","K1H","110.76","270.09","361.94","Course 1 | Finale A"
"Corentin Talancieux","K1H","111.04","283.84","365.28","Course 1 | Finale A"
"Sebastien Lepaulard","K1H","113.83","272.31","398.49","Course 1 | Finale A"
"Loic Joly","K1H","114.92","319.83","411.47","Course 1 | Finale A"
"Maxime Gaillard","K1H","119.47","334.48","465.65","Course 1 | Finale A"
"Thomas Denais","K1H","120.94","271.83","483.15","Course 1 | Finale A"
"Yannick Grizaud","K1H","121.55","312.04","490.41","Course 1 | Finale A"
"Pascal Ferry","K1H","210.74","166.83","1552.34","Course 1 | Finale A"
"Dimitri Lotigie","K1HM","112.34","352.14","380.75","Course 1 | Finale A"
"Pierre Grapotte","K1HM","116.97","411.7","435.88","Course 1 | Finale A"
"Jimmy Ly","K1HM","117.67","-","-","Course 1 | Finale A"
"Samuel Bonella","K1HM","125.78","370.24","540.78","Course 1 | Finale A"
"Jules Cresp","K1HM","129.9","369.82","589.83","Course 1 | Finale A"
"Jules Silvin","K1HM","163.42","348.16","988.93","Course 1 | Finale A"
"Tom Benini","K1HM","171.97","441.43","1090.73","Course 1 | Finale A"
"Raphael Olla","K1HM","178.22","-","1165.15","Course 1 | Finale A"
"Matthieu Le Gall","C1H","111.13","-","308.34","Course 1 | Finale B"
"Guillaume Gonseth","C1H","115.7","412.88","360.16","Course 1 | Finale B"
"Alex Piotte","C1H","115.99","-","363.45","Course 1 | Finale B"
"Gregoire Guerin","C1H","123.32","575.44","446.57","Course 1 | Finale B"
"Loic Bertoia","C1H","124.07","439.48","455.07","Course 1 | Finale B"
"Jean Baptiste Lismonde","C1H","125.61","446.51","472.54","Course 1 | Finale B"
"Thomas Denais","C1H","126.33","-","480.7","Course 1 | Finale B"
"Louis Masson","C1H","128.03","563.29","499.97","Course 1 | Finale B"
"Loic Burlet","C1H","135.36","518.94","583.09","Course 1 | Finale B"
"Valentin Vibert","C1H","139.17","578.18","626.3","Course 1 | Finale B"
"Maxime Gaillard","C1H","142.58","871.76","664.96","Course 1 | Finale B"
"Alain Ferry","C1H","144.86","-","690.82","Course 1 | Finale B"
"Boris Chenal","C1H","217.31","293.78","1512.36","Course 1 | Finale B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","122.37","258.89","372.72","Course 1 | Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","147.08","604.99","640.18","Course 1 | Finale B"
"Victorien Lombard-Yannick Grizaud","C2H","221.41","-","1444.73","Course 1 | Finale B"
"Raphaelle Hovine","K1D","117.03","263.49","281.29","Course 1 | Finale B"
"Coline Bertin","K1D","145.07","432.04","576.75","Course 1 | Finale B"
"Sarah Monod","K1D","151.72","921.09","646.8","Course 1 | Finale B"
"Marie-amelie Jullien","K1D","155.72","364.21","688.95","Course 1 | Finale B"
"Emma Vieira Coelha","K1D","198.73","771.66","1142.13","Course 1 | Finale B"
"Juliette Rousset","K1D","223.91","752.63","1407.44","Course 1 | Finale B"
"Pauline Desmaris","K1D","225.59","-","1425.15","Course 1 | Finale B"
"Pavla Kasparova","K1D","Abd","-","-","Course 1 | Finale B"
"Lea Ferraris","K1DM","136.05","-","-","Course 1 | Finale B"
"Louane Chenal","K1DM","139.35","-","-","Course 1 | Finale B"
"Alice Evlachev","K1DM","207.76","-","1237.28","Course 1 | Finale B"
"Victoire Guerin","K1DM","Abd","-","-","Course 1 | Finale B"
"Emilie Armani","K1DM","Abd","-","-","Course 1 | Finale B"
"Yann Zaepffel","K1H","105.59","288.31","305.39","Course 1 | Finale B"
"Pascal Hunault","K1H","105.59","-","305.39","Course 1 | Finale B"
"Vincent Gerdeaux","K1H","106.37","196.66","314.67","Course 1 | Finale B"
"Jules Goutte-toquet","K1H","107.26","353.15","325.27","Course 1 | Finale B"
"William Gettliffe","K1H","107.78","246.86","331.46","Course 1 | Finale B"
"Emerick Billon","K1H","110.55","398.8","364.44","Course 1 | Finale B"
"Boris Rostaing","K1H","112.62","369.24","389.09","Course 1 | Finale B"
"Tomy Ly","K1H","113.92","-","404.57","Course 1 | Finale B"
"Adrien Kaiser","K1H","116.32","403.98","433.14","Course 1 | Finale B"
"Maxime Benay","K1H","116.61","-","436.59","Course 1 | Finale B"
"Sylvain Bonnet","K1H","122.1","426.29","501.96","Course 1 | Finale B"
"Benjamin Dodane","K1H","123.51","363.52","518.75","Course 1 | Finale B"
"Anselm Arnaud","K1H","123.88","413.7","523.15","Course 1 | Finale B"
"Martin Chiche","K1H","124.81","656.4","534.23","Course 1 | Finale B"
"Matthieu Rousseau","K1H","125.91","501.85","547.32","Course 1 | Finale B"
"Flavien Portier","K1H","126.28","435.03","551.73","Course 1 | Finale B"
"Adelin Constans","K1H","129.26","356.36","587.21","Course 1 | Finale B"
"Antoni Zaki","K1H","130.47","460","601.62","Course 1 | Finale B"
"Sebastien Routhier","K1H","131.64","485.72","615.55","Course 1 | Finale B"
"Jean Philippe Roche","K1H","132.94","353.65","631.03","Course 1 | Finale B"
"Adrien Jacquemet","K1H","133.13","591.73","633.29","Course 1 | Finale B"
"Emilien Senneret","K1H","136.34","656.89","671.51","Course 1 | Finale B"
"Baptiste Clerc","K1H","144.73","563.58","771.4","Course 1 | Finale B"
"Romain Gayral","K1H","145.99","596.24","786.4","Course 1 | Finale B"
"Francois Lecuit","K1H","148.18","576.08","812.48","Course 1 | Finale B"
"Victorien Lombard","K1H","162.75","395.14","985.96","Course 1 | Finale B"
"Olivier Mercier","K1H","166.32","688.89","1028.46","Course 1 | Finale B"
"Vincent Causse","K1H","175.96","573.29","1143.24","Course 1 | Finale B"
"Louis Burignat","K1H","178.84","435.15","1177.53","Course 1 | Finale B"
"Jerome Burignat","K1H","184.17","875.19","1240.99","Course 1 | Finale B"
"Mathias Guillot","K1H","232.41","406.1","1815.36","Course 1 | Finale B"
"Fabien Bezut","K1H","261.72","1412.5","2164.33","Course 1 | Finale B"
"Jean-louis Scotto","K1H","300.11","1811.32","2621.42","Course 1 | Finale B"
"Raphael Warot","K1H","313.65","601.43","2782.63","Course 1 | Finale B"
"Hugo Martin -laemle","K1HM","123.6","671.55","519.82","Course 1 | Finale B"
"Paul Gaillard","K1HM","139.7","585.57","711.51","Course 1 | Finale B"
"Maxime Melmont","K1HM","146.02","-","-","Course 1 | Finale B"
"Charles Culine","K1HM","180.29","-","-","Course 1 | Finale B"
"Louis Mazoyer","K1HM","205.02","-","-","Course 1 | Finale B"
"Enzo Mazouat","K1HM","238.74","1033.97","1890.72","Course 1 | Finale B"
"Tom Mazouat","K1HM","254.3","1524.27","2075.99","Course 1 | Finale B"
