"Sélectif N2 - Cesson-Sévigné - 2005-03-20","Course 1","2005-03-20","Nationale 2","203"
"Allemandou Fabien- Darcillon Bastien","C2H","280.05","322","510",""
"Taburet Guillaume- Leclaire Pierre Louis","C2H","286.73","296","541",""
"Thomas Martin- Caillon Romain","C2H","295.74","357","583",""
"Lebreton Marie","K1D","213.55","156","171",""
"Poix Sophie","K1D","213.84","184","173",""
"Durand Veronique","K1D","215.41","224","180",""
"Laura Lyphout","K1D","215.61","197","181",""
"Aubert Laetitia","K1D","218.13","216","192",""
"Christelle Macaire","K1D","220.36","175","202",""
"Fanny Kerambrun","K1D","221.69","272","209",""
"Perrine Beguery","K1D","221.92","144","209",""
"Anne Sophie Le Bailly","K1D","222.01","214","209",""
"Zoe Anxionnaz","K1D","222.14","167","210",""
"Claire Jacquet","K1D","222.39","154","212",""
"Marie-francoise Prigent","K1D","224.94","231","223",""
"Frederique Merle","K1D","225.24","253","225",""
"Anais Bouchet","K1D","226.41","222","230",""
"Stephanie Le Mercier","K1D","226.91","210","232",""
"Thiebaut Charline","K1D","227.93","164","237",""
"Tharaud Anais","K1D","228.63","137","240",""
"Barthelme Anne-France","K1D","229.05","166","242",""
"Thiebaut Manon","K1D","230.57","227","249",""
"Vernier Perrine","K1D","232.17","182","256",""
"Melina Letellier","K1D","232.70","206","258",""
"Valerie Sibioude","K1D","234.62","208","267",""
"Melanie Jambeau","K1D","234.68","309","267",""
"Laura Fauste","K1D","235.15","250","270",""
"Clothilde Rocher","K1D","235.61","279","272",""
"Bernhard Cecile","K1D","236.50","250","276",""
"Larribau Myriam","K1D","236.51","243","276",""
"Defoix Angelique","K1D","237.39","278","280",""
"Harmony Thery","K1D","238.92","189","287",""
"Lyphout Virginie","K1D","239.30","223","289",""
"Elodie Le Nechet","K1D","240.27","284","293",""
"Erell Chardon Vivier","K1D","240.31","288","293",""
"Laurence Pessoni","K1D","240.49","238","294",""
"Oriane Rebours","K1D","241.53","292","299",""
"Pauline Soenen","K1D","244.29","302","311",""
"Beuvin Camille","K1D","246.05","278","319",""
"Arnaud Anais","K1D","260.63","260","386",""
"De Berchen Emilie","K1D","285.33","277","498",""
"Tifenn Van Delft","K1D","285.60","257","500",""
"Erwan Cadio","K1H","171.36","102","80",""
"Nicolas Veillard","K1H","171.58","118","82",""
"Benoit Guillaume","K1H","174.89","160","99",""
"Sullivan Porcher","K1H","175.39","118","101",""
"Dardilhac Anthony","K1H","176.85","108","108",""
"Aurelien Leroy","K1H","177.96","125","115",""
"Fontaine Damien","K1H","178.28","172","116",""
"Gregory Busson","K1H","178.30","79","116",""
"Bluy Alexandre","K1H","178.66","129","118",""
"Nicolas Coudert","K1H","178.79","78","119",""
"Quentin Bove","K1H","180.57","144","128",""
"Laurent Rigaud","K1H","180.77","174","129",""
"Benoit Letellier","K1H","181.30","126","132",""
"Lucien Delfour","K1H","181.33","158","132",""
"Yoann Hautecloche","K1H","181.36","164","132",""
"De Berchen Sebastien","K1H","182.67","134","139",""
"Sarazin Emmanuel","K1H","182.68","143","139",""
"Coiffe Florion","K1H","182.69","149","139",""
"Bourgeois Cedric","K1H","182.76","166","139",""
"Nicolas Labat","K1H","182.98","118","140",""
"Simon Despres","K1H","183.32","163","142",""
"Louis Philippe Rigal","K1H","183.35","142","142",""
"Paul Brier","K1H","183.39","193","142",""
"Mathieu Le Gal","K1H","183.57","83","144",""
"Thomas Masuy","K1H","183.64","113","144",""
"Michel Gombert","K1H","184.03","189","146",""
"Pierre Marie Roussel","K1H","184.37","172","148",""
"Thomas Bersinger","K1H","184.50","137","148",""
"Florian Gosselin","K1H","184.53","140","148",""
"Zoungrana Sebastien","K1H","184.55","196","148",""
"Fabien Tournadre","K1H","184.84","193","150",""
"Guigo Luc","K1H","184.95","213","151",""
"Jules Bevalot","K1H","185.51","162","153",""
"Riwal Le Berre","K1H","185.71","97","154",""
"Tirel Paul","K1H","186.17","183","156",""
"Maelstaf Jeremy","K1H","186.64","175","159",""
"Laurent Le Touze","K1H","187.03","115","161",""
"Julien Dosse","K1H","187.28","135","162",""
"Adrien Ferec","K1H","187.55","127","164",""
"Lemaire Maxime","K1H","187.62","156","165",""
"Jerome Olhagaray","K1H","187.74","160","165",""
"Menager Vincent","K1H","187.83","161","165",""
"Le Marec Hermann","K1H","188.53","184","169",""
"Frederic Leclerc","K1H","188.66","190","169",""
"Le Pesquer Yann","K1H","189.13","231","172",""
"Christophe Le Mercier","K1H","189.17","186","173",""
"Pierre Pans","K1H","189.21","115","173",""
"Jean-francois Souville","K1H","189.28","194","173",""
"Stephane Labouille","K1H","189.33","174","173",""
"Beaudoin Fabien","K1H","189.81","180","176",""
"Kevin Gouabault","K1H","190.13","192","177",""
"Florian Ordonneau","K1H","190.21","203","177",""
"Ronan Lucas","K1H","190.44","167","179",""
"Antoine Egreteau","K1H","190.62","154","180",""
"Goulwen Chapelier","K1H","190.65","155","180",""
"Jerome Le Hegarat","K1H","190.97","157","181",""
"Anthony Cadoret","K1H","191.12","194","182",""
"Julien Daumont","K1H","191.25","230","183",""
"Remy Faucon","K1H","191.50","185","185",""
"Vincent Reiter","K1H","191.56","153","185",""
"Berthe Christophe","K1H","191.74","172","185",""
"Frederic Tinchant","K1H","191.78","199","185",""
"Mikael Maupin","K1H","192.01","179","187",""
"Guillaume Bandelier","K1H","192.21","181","188",""
"Valadon Louis","K1H","192.44","210","189",""
"Herve Busson","K1H","192.83","140","191",""
"Yoann Rebours","K1H","193.04","-","192",""
"Franck Peyrical","K1H","193.53","204","195",""
"Nivel Cyril","K1H","193.64","134","195",""
"Childeric Thoreau","K1H","193.69","175","196",""
"Benjamin Thouvignon","K1H","194.00","132","197",""
"Antoine Lebastard","K1H","195.04","194","202",""
"Franck Delachair","K1H","195.70","194","206",""
"Dupont Eric","K1H","196.09","239","208",""
"David Beyer","K1H","196.37","213","209",""
"Courtille Arnaud","K1H","196.37","199","209",""
"Piton Romain","K1H","197.02","228","213",""
"Mathieu Bandelier","K1H","197.31","164","214",""
"Erwan Le Pen","K1H","197.64","244","216",""
"Richard Davy","K1H","197.97","224","217",""
"Jeremy Poux","K1H","198.39","219","220",""
"Ludovic Gloaguen","K1H","198.50","212","221",""
"Franck Dessaint","K1H","198.71","232","221",""
"Mathieu Godin","K1H","198.97","221","223",""
"Pascal Poitiers","K1H","199.23","196","224",""
"Fabrice Poueyto","K1H","199.46","174","226",""
"Kevine Cliquet","K1H","199.94","203","228",""
"Jerome Mainguy","K1H","200.01","-","228",""
"Emmanuel Cosse","K1H","200.14","238","229",""
"Thibaud Rottier","K1H","200.21","239","229",""
"Revelle Yohann","K1H","200.22","234","230",""
"Morvan Antoine","K1H","200.25","237","230",""
"Ricci Miege Raphael","K1H","201.15","225","234",""
"Jacques Precigout","K1H","202.14","217","239",""
"Paul Storez","K1H","203.06","238","244",""
"Borde Stephane","K1H","203.09","225","244",""
"Philippe Niquet","K1H","204.82","237","253",""
"Bastien Dantin","K1H","204.82","234","253",""
"Bertrand Dubiez","K1H","204.84","220","253",""
"Mickael Louchard","K1H","205.88","235","258",""
"Gwenael Marquer","K1H","208.57","229","272",""
"Jerome Talbot","K1H","212.62","224","293",""
"Christophe Gosselin","K1H","216.00","201","311",""
"Loic Froissard","K1H","217.40","261","318",""
"Clement Praille","K1H","220.26","235","332",""
"Oswald Besch","K1H","235.92","145","413",""
"Lionel Tinevez","K1H","240.86","184","438",""
"Alain Droniou","K1H","242.16","191","445",""
"Regnier Jeanmichel","K1H","248.61","-","478",""
"Arthur Georges","K1H","255.49","174","514",""
"Yves Lecointe","K1H","261.64","230","546",""
"Kermer Serge","K1H","286.10","-","672",""
"Jonathan Chapatte","K1H","301.74","154","752",""
