"Sélectif Régional - Les Pont-Gras - Corneville sur Risle - 2013-05-26","Course 3","2013-05-26","Régional","134"
"Nathan Aubert","C1H","139.65","-","815.07",""
"Corentin Desenclos","C1H","140.35","470.67","824.2",""
"David Breton","C1H","187.79","-","1442.13",""
"Chloe Gatuingt-Melina Letellier","C2D","152.27","-","662.11",""
"Catherine Boulan-Nadege Moalic","C2D","184.96","-","1019.79",""
"Anthony Mottais-Martin Mottais","C2H","102.39","-","269.12",""
"Benjamin Soroka-Edouard Gracias","C2H","107.07","154.3","327.3",""
"Stephane Broute-Xavier Jourdain","C2H","107.72","151.26","335.39",""
"Simon Boulan-Mehdi Rouich","C2H","111.71","236.45","385",""
"Thomas Postaire-Benoit Le Mazurier","C2H","122.09","430.05","514.06",""
"Damien Jacques-Teddy Poulard","C2H","124.43","245.46","543.15",""
"Victor Duhamel-Yves Lecointe","C2H","124.71","-","546.63",""
"Adam Collin -Maxence Nevo Pinto","C2H","130.43","-","617.75",""
"Jeremy Grippon-Nathan Aubert","C2H","132.1","445.8","638.52",""
"Charles Moalic-Mederic Larrive","C2H","144.21","875.08","789.09",""
"Sylvain Barrois-Matthieu Rousseau","C2H","148.25","-","839.33",""
"Romain Bouillon-Jeremy Lecache","C2H","166.4","927.39","1064.99",""
"Olivier Dulouard-Jean-francois Dulouard","C2H","Nt","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","114.48","196.42","322.94",""
"Emeric Bertrand-Marion Matura","C2M","118.91","-","374.28",""
"Catherine Boulan-Xavier Jourdain","C2M","120.83","203.37","396.53",""
"Adam Collin -Agathe Sananikone","C2M","142.94","-","652.81",""
"Nadege Moalic-Vincent Richard","C2M","144.68","507.56","672.97",""
"Catherine Boulan-Olivier Cornu","C2M","Nt","-","-",""
"Suzon Broute","K1D","100.46","88.87","211.95",""
"Marion Laurain","K1D","109.65","161.68","323.18",""
"Chloe Gatuingt","K1D","111.73","200.29","348.37",""
"Stephanie Bender","K1D","113.15","228.29","365.56",""
"Natacha Giraud","K1D","118.14","280.81","425.95",""
"Melina Letellier","K1D","119.05","220.36","436.96",""
"Catherine Boulan","K1D","120.65","396.01","456.33",""
"Alice Rietzmann","K1D","122.45","289","478.11",""
"Agathe Sananikone","K1D","124.02","350.75","497.11",""
"Jeanne Claude","K1D","133.33","-","609.8",""
"Dominique Badie-kallou","K1D","137.42","573.83","659.3",""
"Sandrine Arnal","K1D","148.64","-","795.11",""
"Pauline Ferreira De Abreu","K1D","151.73","622.35","832.49",""
"Marion Matura","K1D","Nt","-","-",""
"Benoit Letellier","K1H","83.24","40.1","134.51",""
"Xavier Jourdain","K1H","84.86","43.34","156.67",""
"Anthony Mottais","K1H","85.6","54.06","166.78",""
"Jules Bevalot","K1H","86.73","50.48","182.24",""
"Bastien Meslet","K1H","90.45","136.18","233.12",""
"Simon Boulan","K1H","90.73","113.5","236.95",""
"Mehdi Rouich","K1H","90.75","63.29","237.23",""
"Philippe Daumont","K1H","92.62","139.89","262.79",""
"Guillaume Doutreix","K1H","93.33","131.92","272.5",""
"Mathieu Godin","K1H","93.47","205.84","274.43",""
"Quentin Mannier","K1H","94.58","209.76","289.6",""
"Thomas Postaire","K1H","94.98","168.94","295.08",""
"Victor Duhamel","K1H","95.05","122.31","296.03",""
"Benoit Le Mazurier","K1H","95.77","290.77","305.88",""
"Edouard Gracias","K1H","95.78","134.01","306.02",""
"Stephane Broute","K1H","95.85","99.94","306.98",""
"Mederic Larrive","K1H","100","188.29","363.74",""
"Charles Moalic","K1H","100.95","264.15","376.73",""
"Charly Prevert","K1H","101.14","263.75","379.33",""
"Yves Lecointe","K1H","101.31","167.84","381.65",""
"Erwan Gautrelet","K1H","101.99","334.85","390.95",""
"Nathan Aubert","K1H","102.48","213.36","397.66",""
"Nathan Boudaillez","K1H","102.99","221.75","404.63",""
"Martin Rohaut","K1H","103.2","604.2","407.5",""
"Pierre Beuchet","K1H","103.96","308.07","417.9",""
"Jeremy Grippon","K1H","104.19","227.19","421.04",""
"Maxence Nevo Pinto","K1H","104.73","256.12","428.43",""
"Adam Collin","K1H","104.89","265.53","430.61",""
"Matthieu Rousseau","K1H","105.06","276.63","432.94",""
"Corentin Desenclos","K1H","105.42","314.56","437.86",""
"Philippe Valeri","K1H","105.46","291.52","438.41",""
"Son Bui","K1H","106.03","346.3","446.2",""
"Erwan Chevalier","K1H","106.66","224.53","454.82",""
"David Breton","K1H","107.08","197.54","460.56",""
"Esteban Lebrun","K1H","109.71","378.33","496.53",""
"Theo Deslances","K1H","111.25","366.75","517.6",""
"Samuel Bonvalet","K1H","111.46","420.99","520.48",""
"Sylvain Barrois","K1H","112.82","335.3","539.07",""
"Lucas Richard","K1H","113.52","445.73","548.64",""
"Louison Laumondais","K1H","114.71","383.34","564.93",""
"Thibault Joncret","K1H","115.52","204.48","576.01",""
"Romain Bouillon","K1H","116.1","421.97","583.93",""
"Jeremy Lecache","K1H","118.26","484.64","613.47",""
"Vincent Richard","K1H","119.27","435.81","627.29",""
"Isidore Dubuisson","K1H","122.27","651.4","668.32",""
"Steven Guillaume","K1H","123.41","-","683.91",""
"Jean Noel Degraeve","K1H","125.53","-","712.91",""
"Geoffroy Lauth","K1H","127.24","-","736.29",""
"Vladimir Bonhomme","K1H","132.75","1075.89","811.66",""
"Jean Paul Helluin","K1H","134.71","730.33","838.47",""
"Frederic Saheb","K1H","137.78","1083.37","880.45",""
"Sullivan Porcher","K1H","138.11","51.31","884.96",""
"Lilian Lepenant","K1H","139.4","1111.99","902.6",""
"Anthony Thuillier","K1H","141.87","56.59","936.38",""
"Leo Degraeve","K1H","163.21","298.69","1228.25",""
"Benoit Cerveaux","K1H","264.8","-","2617.7",""
"Jean-francois Dulouard","K1H","Nt","-","-",""
"Denis Martin","K1H","Nt","-","-",""
"Johann Sacleux","K1H","Nt","-","-",""
"Alexandre Marteau","K1H","Nt","-","-",""
"Maxime Pilard","K1H","Nt","-","-",""
"Olivier Dulouard","K1H","Nt","-","-",""
