"Slalom régional d'Orthez - Orthez - 2007-03-10","Course 1","2007-03-10","Régional","142"
"Boris Doye","K1H","241.60","181","233",""
"Baylacq Didier","K1H","242.13","-","235",""
"Thomas Dauvet","K1H","242.38","183","236",""
"Colin Molinier","K1H","243.76","189","243",""
"Damien Caillon","K1H","244.20","340","245",""
"Gregory Ponassie","K1H","244.25","222","246",""
"Duquet Guillaume","K1H","245.85","-","254",""
"Christophe Gosselin","K1H","246.07","230","255",""
"Heugas Jeremy","K1H","246.24","292","256",""
"Marc Darribere","K1H","247.26","236","262",""
"Nicolas Le Provost","K1H","248.17","272","266",""
"Gregoire Cayez","K1H","251.41","270","282",""
"Adrien Ponassie","K1H","251.47","189","282",""
"Benjamin Reig","K1H","252.62","-","289",""
"Francois Cauchi","K1H","253.04","270","291",""
"Frederic Descot","K1H","253.13","267","292",""
"Valerian Boulet","K1H","253.90","232","295",""
"Clerc Pierrealain","K1H","253.92","247","295",""
"Franck Guarderia","K1H","254.76","359","300",""
"Sylvain Colonnier","K1H","259.55","323","324",""
"Tuypens Vincent","K1H","260.77","-","330",""
"Peyre Maxime","K1H","261.10","348","332",""
"Christophe Lacave","K1H","262.49","394","340",""
"Tayeel Aymeric","K1H","264.61","288","350",""
"Mathieu Pouchet","K1H","266.70","346","361",""
"Jeancharles Bernis","K1H","268.64","311","371",""
"Jean-daniel Bost","K1H","270.03","338","378",""
"Colin Beziade","K1H","276.57","433","411",""
"Stanislas Pradeleix","K1H","278.37","430","421",""
"Saüt Bertrand","K1H","278.94","564","424",""
"Nicolas Caussanel","K1H","280.91","497","434",""
"Alain Minvielle","K1H","281.25","413","436",""
"Brice Dantin","K1H","285.88","522","460",""
"Herve Mars","K1H","288.67","415","474",""
"Yoan Dalla Longa","K1H","288.73","357","475",""
"Manuel Dolie","K1H","290.98","409","486",""
"Etienne Sahuguet","K1H","294.32","543","503",""
"Antoine Sudrie","K1H","294.62","-","505",""
"Baptiste Soulat","K1H","295.53","511","509",""
"Igor Verdy","K1H","296.54","584","514",""
"Guilhem Becvort","K1H","299.77","410","531",""
"Camille Arroyo","K1H","305.87","-","562",""
"Morgan Forget","K1H","310.92","699","588",""
"Sebastien Martel","K1H","314.98","-","609",""
"Patrick Parage","K1H","316.60","667","617",""
"Mazagot Christophe","K1H","319.65","-","633",""
"Pailhassar Pierre","K1H","325.30","601","662",""
"Nasser Belabdi","K1H","325.80","424","665",""
"Loic Pierre","K1H","326.20","460","667",""
"Valentin Lesseau","K1H","326.84","-","670",""
"Jean Luc Pessoni","K1H","339.74","621","736",""
"Walter Roore","K1H","346.55","1701","772",""
"Antony Alves","K1H","356.06","485","821",""
"Gahery Laurent","K1H","374.15","-","913",""
"Valentin Rouge","K1H","428.69","-","1194",""
"Dallet Antoine","K1H","456.02","2321","1334",""
"Lachaud Bandres Nicolas","K1H","463.62","-","1372",""
"Max Trouve","K1H","485.01","-","1482",""
"Mosca Charley","K1H","509.40","-","1608",""
"David Cabrol","K1H","545.32","-","1792",""
"Riols Romain","K1H","651.43","-","2337",""
