"Sélectif Régional - Corbeil Essonnes - Finale - 2014-11-16","Finale","2014-11-16","Régional","231"
"Natacha Giraud","K1D","126.23","366.08","403.91","Finale A"
"Lea Feuillard","K1D","131.86","299.25","465.65","Finale A"
"Lucie Robin","K1DM","130.72","458.6","453.15","Finale A"
"Sophie Dupas","K1DM","134.75","-","497.35","Finale A"
"Elina Gigan","K1DM","137.11","-","-","Finale A"
"Boglarka Bodor","K1DM","170.64","-","890.96","Finale A"
"Julie Bal","K1DM","180.36","-","-","Finale A"
"Louis Philippe Rigal","K1H","93.99","117.13","184.33","Finale A"
"Mathurin Madore","K1H","96.58","74.33","216.43","Finale A"
"Tristan Lejot","K1H","96.87","183.85","220.03","Finale A"
"Nicolas Feuillard","K1H","97.11","118.72","223","Finale A"
"Luca Dos Santos","K1H","98.44","227.4","239.48","Finale A"
"Romain Bertrand","K1H","98.71","167.17","242.83","Finale A"
"Bastien Meslet","K1H","101.37","211.81","275.79","Finale A"
"Xavier Chantry","K1H","101.75","292.4","280.5","Finale A"
"Thomas Durand","K1H","101.8","227.09","281.12","Finale A"
"Tom Maffeis","K1H","102.35","290.83","287.94","Finale A"
"Baptiste Podor","K1H","102.69","231.15","292.15","Finale A"
"Thomas Postaire","K1H","103.69","277.08","304.54","Finale A"
"Yohan Marck","K1H","103.75","278.21","305.29","Finale A"
"Axel Guilleret","K1H","103.84","351.44","306.4","Finale A"
"Corentin Desenclos","K1H","104.37","321.94","312.97","Finale A"
"Philippe Daumont","K1H","104.71","228.49","317.19","Finale A"
"Tom Barthelemy","K1H","105.14","244.35","322.51","Finale A"
"Julien Fougeron","K1H","105.44","243.9","326.23","Finale A"
"Francois Durand","K1H","105.99","252.66","333.05","Finale A"
"Guillaume Doutreix","K1H","106.2","229.44","335.65","Finale A"
"Edouard Gracias","K1H","107.47","262.71","351.39","Finale A"
"Gaetan Kieffert","K1H","108.11","-","359.32","Finale A"
"Nicolas Ducrocq","K1H","108.87","357.61","368.74","Finale A"
"Yoann Turowsky","K1H","109.14","350.87","372.09","Finale A"
"Matthieu Walfard","K1H","109.18","311.93","372.58","Finale A"
"Issam Chakir","K1H","109.42","390.69","375.56","Finale A"
"Teddy Poulard","K1H","109.91","366.76","381.63","Finale A"
"Martin Rohaut","K1H","110.28","344.57","386.21","Finale A"
"Florent Bernard","K1H","110.54","401.12","389.44","Finale A"
"Beranger Doulle","K1H","111.3","370.5","398.85","Finale A"
"Esteban Le Coz","K1H","111.34","370.42","399.35","Finale A"
"Erwan Gautrelet","K1H","112.14","386.53","409.26","Finale A"
"Lancelot Meillier","K1H","112.27","-","410.87","Finale A"
"Brayan Raoudi","K1H","113.79","513.39","429.71","Finale A"
"Vincent Amisse","K1H","115.5","477.31","450.9","Finale A"
"Theo Zilber","K1H","117.04","417.42","469.99","Finale A"
"David Mingasson","K1H","150.07","229.71","879.32","Finale A"
"Jules Guilbaud","K1H","150.75","175.3","887.75","Finale A"
"Son Bui","K1H","159.86","383.04","1000.65","Finale A"
"Vincent Delahaye","K1HM","103.7","-","304.67","Finale A"
"Andreas Dupuy","K1HM","110.58","376.07","389.93","Finale A"
"Michael Philibert","K1HM","112.68","-","415.96","Finale A"
"Alexis Pitres","K1HM","112.82","-","417.69","Finale A"
"Clement Font-boinel","K1HM","113.35","-","424.26","Finale A"
"Aaron Penning","K1HM","113.52","348.1","426.37","Finale A"
"Djimy Kar","K1HM","115.65","-","452.76","Finale A"
"Thibault Gigan","K1HM","115.99","426.26","456.98","Finale A"
"Louis Pein","K1HM","117.48","460.66","475.44","Finale A"
"Aymeric Theatre","K1HM","118.79","576.2","491.68","Finale A"
"Valentin Fleury","K1HM","119.88","530.41","505.18","Finale A"
"Samuel Gerard","K1HM","122.68","1111.84","539.88","Finale A"
"Lucas Correia","K1HM","124.51","664.81","562.56","Finale A"
"Alban Morel","K1HM","128.39","-","-","Finale A"
"Romain Bezies","K1HM","130.91","-","-","Finale A"
"Eden Quevremont","K1HM","168.88","-","-","Finale A"
"Lucie Cecile","C1D","133.1","550.86","399.11","Finale B"
"Emilie Delahaye","C1D","138.05","364.65","450.23","Finale B"
"Marion Laurain","C1D","142.64","-","497.63","Finale B"
"Natacha Giraud","C1D","153.13","570.41","605.96","Finale B"
"Lea Feuillard","C1D","157.64","764.28","652.54","Finale B"
"Alina Rassel","C1D","267.69","-","1789.06","Finale B"
"Adele Charlaigre","C1D","Abs","-","-","Finale B"
"Samuel Lhegu","C1H","107.67","444.24","295.33","Finale B"
"Alexy Wengler","C1H","112.1","391.09","347.62","Finale B"
"Lancelot Meillier","C1H","114.99","-","381.72","Finale B"
"Edouard Gracias","C1H","117.5","384.85","411.35","Finale B"
"Jules Guilbaud","C1H","118.36","-","421.5","Finale B"
"Nicolas Feuillard","C1H","119.09","307.8","430.11","Finale B"
"Erwan Gautrelet","C1H","120.57","442.67","447.59","Finale B"
"Son Bui","C1H","122.43","610.94","469.54","Finale B"
"Jacques Nardeau","C1H","123.51","480.64","482.29","Finale B"
"Hugo Lecomte","C1H","127.95","-","534.68","Finale B"
"Corentin Desenclos","C1H","127.98","-","535.04","Finale B"
"Gaetan Kieffert","C1H","138.62","-","660.62","Finale B"
"Damien Jacques","C1H","140.57","548.61","683.63","Finale B"
"Nicolas Castagnetti","C1H","151.88","826.42","817.13","Finale B"
"Axel Godard","C1H","167.27","995.55","998.77","Finale B"
"Paul Seguigne","C1H","229.88","-","1737.73","Finale B"
"Melvin Queudeville","C1H","262.16","-","2118.72","Finale B"
"Mickael Dubois","C1H","Des","-","-","Finale B"
"Matthis Fradin","C1HM","128.73","-","-","Finale B"
"Yohann Soulet","C1HM","138.51","-","659.32","Finale B"
"Angelino Castagnetti","C1HM","155.28","-","-","Finale B"
"LÉo Le Moigne","C1HM","183.73","-","1193.04","Finale B"
"Anthony Dubois","C1HM","208.31","-","-","Finale B"
"Lucas Correia","C1HM","209.87","-","1501.56","Finale B"
"Erhan Bayram","C1HM","218.5","-","1603.42","Finale B"
"Teddy Poulard-Lancelot Meillier","C2H","122.25","-","401.82","Finale B"
"Nicolas Ducrocq-Michael Philibert","C2H","129.01","485.9","477.99","Finale B"
"Axel Guilleret-Arthur Dupont","C2H","145.76","700.05","666.69","Finale B"
"Beranger Doulle-Brayan Raoudi","C2H","149.44","-","708.16","Finale B"
"Eloi Brunet-texier-Yoan Le Goff","C2HM","157.42","-","798.06","Finale B"
"Thibault Gigan-Valentin Fleury","C2HM","206.66","748.97","1352.81","Finale B"
"Erhan Bayram-Hippolyte Lavie","C2HM","Des","-","-","Finale B"
"Julien Fougeron-Lea Feuillard","C2M","131.93","383.53","387.02","Finale B"
"Emilie Delahaye-Martin Rohaut","C2M","135.91","466.13","428.12","Finale B"
"Alexy Wengler-Adele Charlaigre","C2M","155.04","-","625.69","Finale B"
"Marion Laurain","K1D","118.06","364.23","319.31","Finale B"
"Nelia Barbosa","K1D","131.63","-","468.14","Finale B"
"Sandrine Arnal","K1D","137.77","416.75","535.47","Finale B"
"Shererazade Ayadi","K1D","138.44","565.19","542.81","Finale B"
"Florence Marchal","K1D","138.84","637.77","547.2","Finale B"
"Agnes Gigan","K1D","140.11","482.25","561.13","Finale B"
"Claire Fournier","K1D","142.24","833.29","584.49","Finale B"
"Tessa Laura","K1D","147.96","-","647.22","Finale B"
"Clothilde Charbeaux","K1D","148.4","-","652.05","Finale B"
"Orlane Gauchet","K1D","154.5","736.45","718.95","Finale B"
"Stephanie Duval","K1D","155.24","1145.6","727.07","Finale B"
"Lea Lauer","K1D","206.8","1086.37","1292.53","Finale B"
"Elsa Prigent","K1D","268.54","-","1969.64","Finale B"
"Samuel Lhegu","K1H","94.06","87.45","190.2","Finale B"
"Jean-luc Mottais","K1H","111.42","-","405.34","Finale B"
"Guillaume Cochut","K1H","112.17","-","414.64","Finale B"
"Arthur Dupont","K1H","112.84","461.86","422.94","Finale B"
"Philippe Valeri","K1H","113.71","414.54","433.72","Finale B"
"Gerard Lafargue","K1H","113.9","399.1","436.08","Finale B"
"Fabien De Almeida","K1H","114.76","552.11","446.73","Finale B"
"Romain Huguenin","K1H","115.19","382.68","452.06","Finale B"
"Hugo Lecomte","K1H","115.61","-","457.27","Finale B"
"Antoine Martin","K1H","115.65","462.89","457.76","Finale B"
"Kevin Rancon","K1H","116.76","369.36","471.52","Finale B"
"Arthur Guillot-le Goff","K1H","120.13","592.44","513.28","Finale B"
"Damien Jacques","K1H","121.54","476.87","530.76","Finale B"
"Hugo Gondeaux","K1H","121.55","630.88","530.88","Finale B"
"Axel Godard","K1H","121.91","556.63","535.34","Finale B"
"Nicolas Castagnetti","K1H","122.05","443.36","537.08","Finale B"
"Marco Rodrigues","K1H","123.69","-","557.4","Finale B"
"Hadrian Loreille","K1H","124.95","-","573.02","Finale B"
"Ulysse Studer","K1H","125.26","739.03","576.86","Finale B"
"Mickael Dubois","K1H","127.19","554.72","600.78","Finale B"
"Yves Souchal","K1H","127.28","724.12","601.89","Finale B"
"Alexandre Ponnelle","K1H","131.4","823.98","652.95","Finale B"
"Killian Charton","K1H","131.89","589.39","659.02","Finale B"
"Alexis Loiseau","K1H","132.03","665.41","660.76","Finale B"
"Bastien Venot","K1H","132.34","-","664.6","Finale B"
"Claude Breuzard","K1H","133.87","655.62","683.56","Finale B"
"Axel Tempier","K1H","138.41","-","739.82","Finale B"
"Marvin Lescourant","K1H","141.52","1664.66","778.37","Finale B"
"Remy Daumont","K1H","142.59","825.06","791.63","Finale B"
"Vincent Chamois","K1H","142.98","-","796.46","Finale B"
"Denis Marrocos","K1H","147.9","876.97","857.43","Finale B"
"Aurelien Coste","K1H","148.82","859.92","868.83","Finale B"
"Paul Seguigne","K1H","148.91","3479.49","869.95","Finale B"
"Alexis Agent","K1H","149.09","-","872.18","Finale B"
"Antoine Sabrie","K1H","162.62","885.52","1039.85","Finale B"
"Melvin Queudeville","K1H","166.46","-","1087.44","Finale B"
"Yves Boudon","K1H","196.91","-","1464.8","Finale B"
"Theo Griffit","K1H","263.74","-","2293.02","Finale B"
"Fabian Yung","K1H","Abs","-","-","Finale B"
"Pierre - Louis Karim","K1HM","120.36","-","516.13","Finale B"
"Leo Demazeau","K1HM","123.55","-","555.67","Finale B"
"Zacharie Trinquet","K1HM","125.94","-","-","Finale B"
"Ianis Fleury","K1HM","129.25","-","-","Finale B"
"Eloi Brunet-texier","K1HM","130.14","-","637.33","Finale B"
"Yoan Le Goff","K1HM","135.35","-","701.9","Finale B"
"Gregoire Paillard","K1HM","137.97","-","734.37","Finale B"
"Hippolyte Lavie","K1HM","145.18","-","-","Finale B"
"Anthony Dubois","K1HM","145.82","-","-","Finale B"
"Joshua Bourgeois","K1HM","152.97","-","-","Finale B"
"Jeremy Chantereau","K1HM","170.42","-","1136.52","Finale B"
"Erhan Bayram","K1HM","180.35","-","1259.58","Finale B"
"Enzo Cozette","K1HM","181.81","-","1277.67","Finale B"
"Angelino Castagnetti","K1HM","190.33","-","-","Finale B"
"Lilian Porson","K1HM","293.62","-","-","Finale B"
