"Sélectif régional - Albi - 2008-09-28","Course 1","2008-09-28","Régional","147"
"Axel Mulle","K1H","209.23","82","127",""
"Benjamin Travostino","K1H","211.50","39","140",""
"Stephane Labouille","K1H","212.72","117","147",""
"Arnaud Hybois","K1H","215.19","-","161",""
"Yannick Besse","K1H","216.38","183","167",""
"Guillaume Bernis","K1H","216.46","203","168",""
"Sylvain Mendez","K1H","216.54","155","168",""
"Florent Boulet","K1H","216.66","124","169",""
"Romain Chabrol","K1H","216.66","110","169",""
"Marc Laborde","K1H","219.81","207","187",""
"Eric Jolit","K1H","221.46","-","196",""
"Nicolas Masson","K1H","221.84","177","199",""
"Bastien Dantin","K1H","222.64","208","203",""
"Benoit Guiraud","K1H","222.70","200","203",""
"Colin Beziade","K1H","223.11","186","206",""
"Nicolas Scianimanico","K1H","223.22","-","206",""
"Jean-francois Souville","K1H","223.60","-","208",""
"Pierrick Gaudin","K1H","225.69","238","220",""
"Frederic Descot","K1H","225.69","278","220",""
"Fernando Denninger","K1H","225.78","293","220",""
"Tom Scianimanico","K1H","226.05","-","222",""
"Marc Darribere","K1H","227.74","207","232",""
"Jose Pereira","K1H","227.76","218","232",""
"Anthony Themines","K1H","229.15","292","240",""
"Jean Francois Bry","K1H","230.75","282","248",""
"Nicolas Caussanel","K1H","231.89","283","255",""
"Alexandre Ittel","K1H","232.20","254","257",""
"Valerian Boulet","K1H","232.57","250","259",""
"Guillaume Marmer","K1H","233.73","355","266",""
"Lionel Blank","K1H","233.77","-","266",""
"Mathieu Pouchet","K1H","235.76","295","276",""
"Stanislas Pradeleix","K1H","236.77","192","283",""
"Nathanael Jay","K1H","237.85","376","288",""
"Valentin Pahon","K1H","238.36","472","291",""
"Sebastien Chapuis","K1H","241.34","-","309",""
"Herve Mars","K1H","244.12","344","324",""
"Thomas Ducoms","K1H","249.25","303","353",""
"Adrien Roussel","K1H","249.66","91","355",""
"Yoan Dalla Longa","K1H","253.64","-","378",""
"Maxime Le Henaff","K1H","254.12","503","380",""
"Frederic Saint Agne","K1H","254.47","391","382",""
"Thibault Le Henaff","K1H","257.28","492","398",""
"Luc Formet","K1H","259.00","-","408",""
"Theo Levy-lozata","K1H","259.56","-","410",""
"Ambroise Roustit","K1H","259.78","493","412",""
"Jeancharles Bernis","K1H","262.14","346","425",""
"Maxime Vinel","K1H","263.43","874","433",""
"Benjamin Boniface","K1H","263.44","-","433",""
"Marc Cailhol","K1H","264.49","428","438",""
"Jean Bernard Lacave","K1H","269.70","517","468",""
"Thibault Ducom","K1H","272.17","-","482",""
"Kevin Monlezun","K1H","273.21","-","488",""
"Loic Gibert","K1H","273.22","558","488",""
"Michael Guyon","K1H","273.86","79","491",""
"Elie Compain","K1H","274.59","-","496",""
"Pierre Cottereau","K1H","275.02","1266","498",""
"Pierre Adrien Plantion","K1H","276.77","1163","507",""
"Jolan Konig","K1H","278.74","640","518",""
"Robin Bourianne","K1H","280.57","-","529",""
"Remy Gautier","K1H","283.53","-","545",""
"Nicolas Herr","K1H","285.35","-","556",""
"Ludovic Carniaux","K1H","291.92","1392","593",""
"Baptiste Mignot","K1H","296.95","-","621",""
"Cyril Blanc","K1H","298.09","940","627",""
"Jean Baptiste Renault","K1H","299.71","-","637",""
"Farouk Imacht","K1H","301.17","1135","645",""
"Romain Zambon","K1H","306.16","836","673",""
"Loic Pierre","K1H","310.56","556","698",""
"Guillaume Verhaeghe","K1H","310.69","1183","699",""
"Paul Mabille","K1H","326.61","-","788",""
"Robin Ligneau","K1H","329.00","574","801",""
"Thierry Gaudin","K1H","329.50","1167","805",""
"Yohann Cottereau","K1H","343.05","748","880",""
"Vincent Zago","K1H","348.65","-","913",""
"Maxime Lefebvre","K1H","352.64","-","934",""
"Damien Berger","K1H","356.16","-","955",""
"Alexandre Lacourt","K1H","358.69","-","969",""
"Galaad Pereyron","K1H","372.91","-","1049",""
"Gabriel Prunet-foch","K1H","378.01","-","1078",""
"Vincent Lapeyrigne","K1H","636.56","-","2533",""
