"Coupe de Lorraine Slalom - Metz - 2006-09-17","Course 1","2006-09-17","Régional","174"
"Kieffer Maite","K1D","295.06","367","564",""
"Maud Thisse","K1D","315.86","426","679",""
"Giroux Marilyn","K1D","317.47","-","689",""
"Florianne Gautier","K1D","319.66","396","701",""
"Christelle Gilg","K1D","319.82","470","701",""
"Aubert Laetitia","K1D","341.39","377","821",""
"Marion Fischer","K1D","342.23","-","826",""
"Wojcik Marina","K1D","423.90","639","1279",""
"Jeanne L'orphelin","K1D","427.07","701","1296",""
"Camille Billerach","K1D","431.00","565","1318",""
"Amalia Mazzilli","K1D","599.88","-","2255",""
"Di Guisto Solene","K1D","708.22","-","2856",""
"Mertz Helene","K1D","1175.78","-","5449",""
"Frederic Walczak","K1H","178.96","18","50",""
"Quentin Bove","K1H","183.26","42","76",""
"Johan De Mareuil","K1H","186.31","46","95",""
"Di Lauro Maxime","K1H","189.59","111","116",""
"Olivier Machiels","K1H","192.69","157","136",""
"Jerome Olhagaray","K1H","192.84","133","137",""
"Julien Arribe","K1H","193.16","50","138",""
"Lambert Guillaume","K1H","193.75","46","142",""
"Douillet Guilhem","K1H","195.66","154","155",""
"Nicolas Labat","K1H","195.93","49","156",""
"Arthur Georges","K1H","197.20","174","163",""
"Romain Bove","K1H","197.69","137","167",""
"Mathieu Biazizzo","K1H","199.28","218","177",""
"Childeric Thoreau","K1H","200.08","144","182",""
"Ragot Laurent","K1H","200.86","-","186",""
"Christophe Siffert","K1H","200.89","166","186",""
"Alexis Caspar","K1H","202.63","238","198",""
"Emmanuel Walczak","K1H","202.71","150","199",""
"Sylvain Herrbach","K1H","203.34","173","202",""
"Mehdi Amini","K1H","203.64","144","204",""
"Bajolet Julien","K1H","204.48","247","210",""
"Florent Tamburini","K1H","204.58","224","210",""
"Mathieu Haberland","K1H","204.92","244","212",""
"Julien Bley","K1H","205.08","176","213",""
"Julien Haberland","K1H","205.44","223","215",""
"Emile Devaux","K1H","205.90","179","218",""
"Bertrand Gutierrez","K1H","207.15","248","226",""
"Billel Khenchouche","K1H","207.47","263","228",""
"Ricci Miege Raphael","K1H","207.60","168","228",""
"Romain Viry","K1H","207.74","274","229",""
"Loic Monbel","K1H","209.26","230","239",""
"Von Schulthess Craig","K1H","210.29","313","246",""
"Sebastien Thevenin","K1H","210.64","278","248",""
"Nicolas Mangeolle","K1H","210.66","231","248",""
"Quentin Vallee","K1H","210.86","182","249",""
"Quentin Burgi","K1H","211.11","-","250",""
"Remi Thomas","K1H","212.99","235","263",""
"Stefan Stanik","K1H","213.87","244","268",""
"Thibaud Kudla","K1H","214.21","237","270",""
"Guillaume Carpentier","K1H","214.31","272","271",""
"Thibaut Chariot","K1H","214.37","373","271",""
"Geoffroy Schwentzel","K1H","214.95","426","275",""
"Jeremy Poux","K1H","215.32","196","277",""
"Beghoura Yoni","K1H","215.60","240","279",""
"Damien Burteaux","K1H","215.88","290","281",""
"Patrick Gass","K1H","216.00","314","281",""
"Michel Ragot","K1H","216.13","-","282",""
"Nicolas Burgi","K1H","217.08","330","288",""
"Stephane Rousse","K1H","219.00","333","300",""
"Leo Thomas","K1H","219.22","-","302",""
"Vincent Bajolot","K1H","219.49","251","303",""
"William Boutet","K1H","219.70","287","304",""
"Jeremy Lehning","K1H","220.01","-","307",""
"Paul Aubert","K1H","220.40","-","309",""
"Stutzmann Mathieu","K1H","229.45","-","366",""
"Mael Othenin Girard","K1H","229.83","-","368",""
"Nikolas Stanik","K1H","231.53","389","379",""
"Fabien Fritsch","K1H","233.39","353","390",""
"Arthur Veber","K1H","233.94","378","394",""
"Joffrey Lemeux","K1H","236.85","541","412",""
"Lang Valentin","K1H","236.93","-","412",""
"Renaud Doby","K1H","241.86","19","443",""
"Soulon Florian","K1H","243.21","416","452",""
"Diemert Maxime","K1H","245.13","-","464",""
"Jerome Laflotte","K1H","247.12","386","476",""
"Gautier Boudat","K1H","247.36","499","479",""
"Mathys Morgan","K1H","248.95","455","488",""
"Gabriel Schnetz","K1H","249.36","432","491",""
"Michael Ullrich","K1H","251.87","945","506",""
"Yann Tosser  Roussey","K1H","252.69","426","512",""
"Loic Sieber","K1H","252.75","-","512",""
"Silvere Desongins","K1H","252.81","-","513",""
"Brouillot Mathieu","K1H","253.19","-","515",""
"Jules Argentini","K1H","253.30","572","515",""
"Thiery Mathieu","K1H","253.95","-","519",""
"Nicolas Ciemniewski","K1H","254.03","164","519",""
"Loic Gobert","K1H","256.19","374","534",""
"Joel Ramillon","K1H","256.20","495","534",""
"Gaillot Mathias","K1H","256.73","-","537",""
"Trebosc Mathieu","K1H","257.41","-","541",""
"Rayssac Fabien","K1H","263.82","596","581",""
"Louison Tanet","K1H","271.28","238","628",""
"Mathieu Arnaud","K1H","273.58","-","643",""
"Michaux Loic","K1H","275.02","-","652",""
"Leclerc Jerome","K1H","280.86","336","688",""
"Jonathan Matern","K1H","285.18","-","715",""
"Alexandre Peslin","K1H","306.28","479","848",""
"Florian Balhuizen","K1H","310.71","444","875",""
"Clement Mangeolle","K1H","316.30","501","911",""
"Alexandre Avril","K1H","329.28","-","991",""
"Romain Faurie","K1H","336.18","-","1035",""
"Miclo Jean-Baptiste","K1H","370.25","-","1248",""
"Gerard Cartier","K1H","376.89","699","1290",""
"Anthony Jouannic","K1H","410.88","773","1502",""
"Michel Ternynck","K1H","501.84","-","2073",""
"Munschina Vincent","K1H","562.97","-","2456",""
"Paul Bornier","K1H","573.84","-","2524",""
"Oueslati Pierre-Yves","K1H","624.62","-","2842",""
"Parisel David","K1H","921.81","-","4705",""
