"SELECTIF REGIONAL HERMES -  - 2001-12-09","Course 1","2001-12-09","Régional","131"
"Vigneux Iris","K1D","363.88","-","1005",""
"Rodot Delphine","K1D","423.72","-","1342",""
"Clementine Vuillermot-panthou","K1D","543.71","-","2017",""
"Boulesteix Ludovic","K1H","183.68","34","146",""
"Bluy Alexandre","K1H","188.33","93","176",""
"Xavier Jourdain","K1H","190.21","209","188",""
"Romain Bove","K1H","193.21","245","208",""
"Soete Arnaud","K1H","193.27","228","208",""
"Philippe Daumont","K1H","193.72","205","211",""
"Julien Antide","K1H","195.88","231","225",""
"Cedric Mace","K1H","198.39","255","241",""
"Raphael Reveche","K1H","199.46","268","248",""
"Sebastien Racault","K1H","199.52","297","249",""
"Christophe Gosselin","K1H","199.84","236","251",""
"Massias Aurelien","K1H","200.07","334","252",""
"Antoine Lebastard","K1H","200.5","208","255",""
"Benoit Chantry","K1H","200.9","167","258",""
"Michel Gombert","K1H","201.31","224","260",""
"Thibault Bellembois","K1H","202.06","226","265",""
"Ciaran Heurteau","K1H","203.68","301","276",""
"Duru Jerome","K1H","205.3","266","286",""
"Lacour Jerome","K1H","208.65","410","308",""
"Julien Darees","K1H","210.2","257","318",""
"Vincent Reiter","K1H","212.35","369","332",""
"Yves Debailleul","K1H","212.4","266","332",""
"Boullet Stephane","K1H","212.87","455","335",""
"Viellard Amaury","K1H","212.88","328","335",""
"Coiffe Florion","K1H","213.75","325","341",""
"Laroque Jeanchristophe","K1H","214.6","288","346",""
"Sarazin Emmanuel","K1H","217.2","330","363",""
"Florian Perenchio","K1H","217.89","295","368",""
"Louis Antoine","K1H","218.15","321","369",""
"Barbier Julien","K1H","220.76","381","386",""
"Chantry Xavier","K1H","220.83","346","387",""
"Cespedes Thomas","K1H","221.25","427","389",""
"Philippe Valeri","K1H","221.96","334","394",""
"Morel Julien","K1H","226.78","-","425",""
"Yoann Hautecloche","K1H","228.52","1116","436",""
"Stephane Sagnier","K1H","228.55","501","437",""
"Malderez Sebastien","K1H","229.76","501","444",""
"Alban Planchais","K1H","231.41","452","455",""
"Nedelec Etienne","K1H","232.22","-","460",""
"Ledoux Roman","K1H","233.79","-","470",""
"Aurel Sebastien","K1H","234.19","386","473",""
"Remy Guerinet","K1H","234.54","604","475",""
"Pecheur Mathieu","K1H","236.71","-","489",""
"France Gregory","K1H","238.14","-","499",""
"Jodar Sebastien","K1H","239.24","497","506",""
"Debruyere Benjamin","K1H","239.61","532","508",""
"Vieillard Alexis","K1H","240.2","-","512",""
"Lejeune Olivier","K1H","241.02","-","517",""
"Levasseur Nicolas","K1H","241.21","998","519",""
"Facchini Thomas","K1H","241.93","454","523",""
"Besch Frederic","K1H","243.4","867","533",""
"Gilles Lucas","K1H","244.49","618","540",""
"Macarty Sebastien","K1H","248.58","511","566",""
"Thenon Gregori","K1H","250.55","702","579",""
"Douillot Nicolas","K1H","251.54","708","585",""
"Bechade Olivier","K1H","252.24","619","590",""
"Hetier Louis","K1H","252.67","548","593",""
"Alliaume Antoine","K1H","253.12","-","596",""
"Claude Pierre Abel","K1H","254.09","908","602",""
"Loic Monbel","K1H","254.13","590","602",""
"Ronan Lucas","K1H","254.23","-","603",""
"Malboze Jerome","K1H","254.32","-","603",""
"Ospitalier Vincent","K1H","255.07","850","608",""
"Eric Marmet","K1H","256.17","653","615",""
"Pascal Sallot","K1H","256.71","-","619",""
"Blondeau Julien","K1H","257.45","514","624",""
"Clouzeau Hugo","K1H","258.84","-","633",""
"Caspar Guillaume","K1H","259.3","1029","636",""
"Feltin Johan","K1H","259.52","596","637",""
"Florian Gosselin","K1H","262.38","321","656",""
"Johann Beldame","K1H","263.38","1666","662",""
"Bastien Darcillon","K1H","264.19","706","667",""
"Cluet Mathieu","K1H","267.68","-","690",""
"Dagorn Erwan","K1H","272.35","-","720",""
"Thomas Perrin","K1H","275.82","-","743",""
"Meunier Logan","K1H","276.55","-","747",""
"Menadier Pascal","K1H","278.41","-","759",""
"Benjamin Defrocourt","K1H","281.21","1519","777",""
"Viratelle Vincent","K1H","282.51","525","786",""
"Di Majo Romain","K1H","283.87","-","795",""
"Bigeon Thibault","K1H","295.22","-","868",""
"Gebleux Frederic","K1H","309.65","-","961",""
"Richard Carpentier","K1H","312.59","2445","981",""
"Lantenois Mickael","K1H","313.56","542","987",""
"Duparcq Romain","K1H","337.17","-","1140",""
"Carlu Jimmy","K1H","362.85","-","1306",""
"Decaux Louis","K1H","375.8","-","1390",""
"Mercier Maxime","K1H","376.12","-","1392",""
"Bourgeois Gaetan","K1H","842.56","-","4411",""
