"Sélectif Régional de slalom - Fontaine De Vaucluse - Finale - 2015-03-22","Finale","2015-03-22","Régional","96"
"Lorene Scalbert","K1D","128.58","447.09","441.4","Finale B"
"Laura Guillem","K1D","133.57","544.37","496.43","Finale B"
"Aurelie Le Fee","K1D","137.78","-","542.84","Finale B"
"Juliette Rousset","K1D","144.39","535.18","615.74","Finale B"
"Aliona Baudy","K1D","182.03","698.95","1030.81","Finale B"
"Amandine CrÉgut","K1D","211.16","-","1352.03","Finale B"
"Luc Doye","K1H","100.92","219.52","281.05","Finale B"
"Theo Viens","K1H","107.49","342.25","362.92","Finale B"
"Cyril Audoit","K1H","111.57","406.86","413.76","Finale B"
"Mikael Clanchin","K1H","112.96","523.88","431.08","Finale B"
"Adrien Tappero","K1H","113.71","-","440.43","Finale B"
"Yann Tabone","K1H","114.38","507.34","448.78","Finale B"
"Paul Roubaud","K1H","121.5","435.64","537.5","Finale B"
"Raphael Warot","K1H","123.25","530.81","559.3","Finale B"
"Lucas Di Martino","K1H","124.16","-","570.64","Finale B"
"Alan Bellot","K1H","125.07","527.66","581.98","Finale B"
"Franck Leroy","K1H","125.64","502.47","589.08","Finale B"
"Luca Barone","K1H","127.78","649.81","615.75","Finale B"
"Anton Gille","K1H","128.29","806.23","622.11","Finale B"
"Valentin Parasme","K1H","129.45","469.72","636.56","Finale B"
"Lucas Ferro","K1H","131.06","600.05","656.62","Finale B"
"Philippe Bigard","K1H","134.39","956.4","698.12","Finale B"
"Hugo Avril","K1H","134.92","731.57","704.72","Finale B"
"Gregoire Michel","K1H","136.07","810.04","719.05","Finale B"
"Paul Badache","K1H","141.27","659.15","783.85","Finale B"
"Marc Scognamiglio","K1H","176.51","478.73","1222.97","Finale B"
"Thomas Courtois","K1H","177.87","473.47","1239.92","Finale B"
"Stephane Breton","K1H","213.22","1316.37","1680.41","Finale B"
"Max Givelet","K1H","218.35","-","1744.33","Finale B"
"Pierre Courtois","K1H","Abs","-","-","Finale B"
"Romain Berthon","K1H","Abd","-","-","Finale B"
"Tao Semeria","K1HM","133.48","-","-","Finale B"
"Enzo Guillarme","K1HM","143.59","-","-","Finale B"
"Romaric Moreno","K1HM","151.24","-","-","Finale B"
"Robin Andre","K1HM","153.95","-","-","Finale B"
"Allan Stievenard","K1HM","156.33","-","-","Finale B"
