"SÈlectif National 3 Slalom Sud-Ouest - Burlats - Finale - 2018-04-15","Finale","2018-04-15","Nationale 3","151"
"Bastien Petit","K1H","112.56","425.18","451.95","Finale A"
"Denis Vintrou","K1H","113.04","411.43","458.03","Finale A"
"Jules Besson","K1H","113.2","445.48","460.06","Finale A"
"Marc Cordier","K1H","113.26","327.15","460.82","Finale A"
"Antoine Laye","K1H","113.31","260.49","461.45","Finale A"
"Cyprien Cail","K1H","114.24","367.73","473.24","Finale A"
"Thomas Moret","K1H","114.41","501.8","475.4","Finale A"
"Dimitri Thauvin","K1H","114.63","373.35","478.19","Finale A"
"Mathieu Pouchet","K1H","114.69","502.78","478.95","Finale A"
"Maxime Blondeau","K1H","114.99","581.23","482.75","Finale A"
"Cedric Landreau","K1H","116.64","331.55","503.67","Finale A"
"Laurence Scrimgeour","K1H","119.02","429","533.84","Finale A"
"Julien Brice","K1H","122.99","628.45","584.17","Finale A"
"Alex Baldoni","K1H","124.34","427.04","601.29","Finale A"
"Alexandre Medge","K1H","130.2","501.72","675.57","Finale A"
"Guillaume Fletcher","K1H","151.1","376.14","940.53","Finale A"
"Paul Commenges","K1H","172.77","269.01","1215.25","Finale A"
"Nathaniel Levy","K1H","413.07","364.18","4261.63","Finale A"
"Alex Baldoni","C1H","116.23","503.56","433.3","Finale B"
"Theo Jeanlouis","C1H","119.92","515.35","477.86","Finale B"
"Loris Shayam Affre","C1H","120.12","488.91","480.27","Finale B"
"Antton Erdois","C1H","122.51","711.07","509.13","Finale B"
"Adrien Mesmoudi","C1H","124.24","494.09","530.02","Finale B"
"Yon Dandonneau","C1H","125.41","615.86","544.14","Finale B"
"Louis Bouchiat","C1H","127.5","631.83","569.38","Finale B"
"Tonin Desmet","C1H","131.71","581.65","620.21","Finale B"
"Gaspard Trichard","C1H","163.55","1119.82","1004.63","Finale B"
"Clement Serres","C1H","173.44","719.21","1124.04","Finale B"
"Laurence Scrimgeour","C1H","207.68","747.51","1537.44","Finale B"
"Felix Sperandio","C1H","328.98","611.43","3001.98","Finale B"
"Amelie Leclercq","K1D","129.33","495.49","480.92","Finale B"
"Helene Merlet","K1D","148.85","691.77","699.92","Finale B"
"Chloe Bonnet","K1D","184.84","1144.3","1103.68","Finale B"
"Lea Pages","K1D","197.22","736.51","1242.58","Finale B"
"Pauline Rouilhet","K1D","199.91","567.64","1272.75","Finale B"
"Selma Janami-ragu","K1D","307.84","974.18","2483.62","Finale B"
"Samuel Taillefer","K1H","108.5","324.96","405.48","Finale B"
"Titouan Conseil","K1H","110.45","531.32","430.2","Finale B"
"Frederic Reus","K1H","111.01","436.53","437.3","Finale B"
"Clement Gillaizeau","K1H","111.31","499.69","441.1","Finale B"
"Nathan Pavot","K1H","111.44","376.29","442.75","Finale B"
"Benjamin Georges","K1H","111.73","444.38","446.42","Finale B"
"Louis Rathier","K1H","112.7","486.88","458.72","Finale B"
"Adrien Pardoux","K1H","112.9","420.29","461.26","Finale B"
"Felix Sperandio","K1H","113.16","426.93","464.55","Finale B"
"Antoine Bouby","K1H","113.77","500.2","472.29","Finale B"
"Tom Charles","K1H","113.82","457.2","472.92","Finale B"
"Jose Pereira","K1H","115.51","474.61","494.34","Finale B"
"Eric Vidou","K1H","116.35","415.96","504.99","Finale B"
"Alexandre Weiler","K1H","116.55","710.04","507.53","Finale B"
"Louis Bouchiat","K1H","116.83","450.04","511.08","Finale B"
"Guillaume Malmezac","K1H","117.07","531.31","514.12","Finale B"
"Thomas Terr…","K1H","117.47","752.95","519.19","Finale B"
"Simon Tourtois","K1H","117.6","632.62","520.84","Finale B"
"Abel Boidron","K1H","118.54","504.31","532.76","Finale B"
"Baptiste San Nicolas","K1H","118.65","488.12","534.15","Finale B"
"Pierrick Bresson","K1H","118.65","819.6","534.15","Finale B"
"Tristan Ruiz","K1H","118.75","624.03","535.42","Finale B"
"Antton Erdois","K1H","118.81","586.69","536.18","Finale B"
"Remi Dolcin Tillant","K1H","119.93","604.08","550.38","Finale B"
"Yoan Dalla Longa","K1H","120.58","680.64","558.62","Finale B"
"Benoit Pacteau","K1H","121.21","468.28","566.61","Finale B"
"Matt Vidou","K1H","121.47","546.14","569.9","Finale B"
"Guillaume Pradalie","K1H","121.74","537.26","573.32","Finale B"
"Lohan Wyon","K1H","123.9","523.47","600.71","Finale B"
"Cl…ment Corbeil","K1H","125.04","460.54","615.16","Finale B"
"Maxime Reubrez","K1H","125.81","774.75","624.92","Finale B"
"Matheo Nassieu","K1H","127.41","1207.06","645.2","Finale B"
"Clement Claret","K1H","127.95","728.62","652.05","Finale B"
"Matt…o Rainaud","K1H","128.37","620.78","657.38","Finale B"
"Bruno Lamothe","K1H","133.94","696.88","727.99","Finale B"
"Arsene Labarthe","K1H","134.62","839.15","736.61","Finale B"
"Raphael Jean","K1H","143.37","573.14","847.54","Finale B"
"Clement Serres","K1H","146.77","843.9","890.64","Finale B"
"Yanis Delmas","K1H","152.31","626.55","960.87","Finale B"
"Bruno Oteiza","K1H","153.52","648.88","976.21","Finale B"
"Louis Foissac","K1H","156.48","413.59","1013.74","Finale B"
"Liam Caradec","K1H","164.24","876.32","1112.11","Finale B"
"Daniel Lafitte","K1H","194.62","679.11","1497.25","Finale B"
"Baptiste Moret","K1H","203.25","825.21","1606.66","Finale B"
"Julien Dubarry","K1H","209.34","571.78","1683.86","Finale B"
"Gaspard Trichard","K1H","217.5","1445.49","1787.31","Finale B"
"Antonin Bretecher","K1H","230.22","1660.59","1948.57","Finale B"
"Gael Touron","K1H","Abd","-","-","Finale B"
"Killian Dal-cin","K1H","Abd","-","-","Finale B"
"Bary Caron","K1H","Abd","-","-","Finale B"
"Gabriel Felenc","K1H","Abd","-","-","Finale B"
"Marin Saint Macary","K1H","Abs","-","-","Finale B"
