"Sélectif Régional - Amou - Qualification - 2014-02-02","Qualification","2014-02-02","Régional","157"
"Pascal Dongarra","K1H","132.17","-","428.49",""
"Antoine Laye","K1H","132.38","453.94","430.71",""
"Bastien Daniel","K1H","132.79","498.94","435.04",""
"Pierre-louis Saussereau","K1H","136.05","569.1","469.53",""
"Francois Giondini","K1H","136.4","378.33","473.23",""
"Robin Mougel","K1H","137.7","-","486.98",""
"Eric Vidou","K1H","138.67","473.7","497.24",""
"Matthieu Demarty","K1H","138.93","487.06","499.99",""
"Marc Lalande","K1H","139.85","422.3","509.73",""
"Pierre Campagne","K1H","140.52","463.4","516.81",""
"Theau Le Loch","K1H","140.52","-","516.81",""
"Julien Delaleux","K1H","142.44","525.51","537.12",""
"Florian Giraud","K1H","144.26","1383.21","556.38",""
"Robin Genty","K1H","148.85","569.44","604.93",""
"Robin Metra","K1H","152.05","-","638.78",""
"Gabriel Chapoulie","K1H","152.26","549.45","641",""
"Swann Barioulet","K1H","152.28","-","641.21",""
"Kevin Richard-lubon","K1H","153.31","620.7","652.11",""
"Nicolas Neveu","K1H","155.67","459.03","677.07",""
"Theo Ducasse","K1H","159.6","744.86","718.64",""
"Luc Sarramea","K1H","160.39","1659.74","727",""
"Corentin Vadon","K1H","165.98","-","786.13",""
"Alexandre Dubrous","K1H","170.14","1320.39","830.14",""
"Damien Caillard","K1H","170.15","2451.4","830.24",""
"Robin Vandenbossche","K1H","170.27","473.78","831.51",""
"Maxence Bruand","K1H","173.57","564.74","866.42",""
"Louis Georges Lafont","K1H","177.26","99.42","905.45",""
"Kenae Brassier","K1H","178.65","1662.35","920.16",""
"Pierre Adrien Plantion","K1H","180.99","719.57","944.91",""
"Nicolas Saurat","K1H","198.28","1284.46","1127.8",""
"Jean Luc Pessoni","K1H","201.1","614.14","1157.63",""
"Edouard Lecomte","K1H","202.93","1437.31","1176.99",""
"Franck Vanhoutteghem","K1H","207.16","947.6","1221.74",""
"Clement Caillard","K1H","207.61","-","1226.5",""
"Paul Pradalie","K1H","217.53","-","1331.43",""
"Emile Delamarche","K1H","218.99","1180.82","1346.88",""
"Jon Levy","K1H","228.94","-","1452.13",""
"Jeremy Rouchereau","K1H","234.24","-","1508.19",""
"Denis Lalanne","K1H","254.14","-","1718.7",""
"Jeanpaul Lalanne","K1H","258.45","-","1764.29",""
"Jean Lemire","K1H","272.98","-","1917.99",""
"Theo Dunie","K1H","285.33","-","2048.63",""
"Michel Moreau","K1H","294.08","-","2141.19",""
"Simon Lecou","K1H","326.25","-","2481.48",""
"Aven Gilham","K1H","347.02","-","2701.19",""
"Jules Collarde","K1H","354.23","2874.56","2777.46",""
"Thomas Bisetto","K1H","390.38","-","3159.86",""
"Maxime Reubrez","K1H","503.29","-","4354.23",""
"Robin Hogan","K1H","509.87","-","4423.83",""
"Antoine Delon","K1H","513.65","-","4463.82",""
"Pierre Verhaeghe","K1H","571.54","-","5076.18",""
"Leo Francois","K1H","635.62","-","5754.03",""
"Louis Bersans","K1H","802.8","-","7522.48",""
"Lorenzo Py","K1HM","157.43","-","-",""
"Alois Bertrand","K1HM","164.46","-","-",""
"Valentin Courtiade","K1HM","204.44","-","-",""
"Thomas Teixeira","K1HM","225.29","-","-",""
"Elliot Perez","K1HM","226.53","-","-",""
"Julien Marteau","K1HM","234.31","-","-",""
"Arthur Accini","K1HM","241.36","-","-",""
"Florian Boyer","K1HM","248.41","-","-",""
"Jack Nattrass","K1HM","260.69","-","-",""
"Thiefaine Verge","K1HM","261.32","-","-",""
"Simon Metra","K1HM","289.16","-","-",""
"Thomas Deguilhem","K1HM","312.62","-","-",""
"Louis Decoopman","K1HM","317.96","-","-",""
"Bastien Darmayan","K1HM","374.65","-","-",""
"Leam Auffret","K1HM","434.05","-","-",""
"Fabien Zagni","K1HM","483.23","-","-",""
