"SELECTIF REGIONAL - Huningue - 2003-11-23","Course 1","2003-11-23","Régional","173"
"Lemonnier Elsa","K1D","258.95","-","699",""
"Anne Fischer","K1D","268.04","414","760",""
"Falcetta Charlotte","K1D","275.56","620","809",""
"Marion Fischer","K1D","279.13","403","834",""
"Bergdoll Lucie","K1D","283.32","715","861",""
"Laura Fauste","K1D","285.37","358","875",""
"Camille Billerach","K1D","292.09","709","920",""
"Lutz Olivia","K1D","293.50","521","929",""
"Bernachon Sidonie","K1D","305.81","881","1012",""
"Lucie Beaudet","K1D","325.81","-","1145",""
"Melanie Jambeau","K1D","331.47","822","1182",""
"Aline Grosperrin","K1D","357.43","671","1356",""
"Sarah Michel","K1D","361.29","299","1381",""
"Renard Aude","K1D","383.52","475","1530",""
"Cindy Beche","K1D","396.32","752","1615",""
"Haab Claire","K1D","410.95","-","1713",""
"Nicolle Marianne","K1D","440.11","-","1908",""
"Lalouani Lambria","K1D","502.83","1734","2326",""
"Fabien Lefevre","K1H","144.78","7","33",""
"Frederic Walczak","K1H","149.55","31","68",""
"Johan De Mareuil","K1H","152.68","127","91",""
"Mehdi Amini","K1H","156.76","178","121",""
"Bazin Patryce","K1H","157.11","150","124",""
"Jean Charles Creusot Walter","K1H","159.71","92","143",""
"Alexandre Schall","K1H","159.84","122","144",""
"Nicolas Labat","K1H","160.17","128","147",""
"Christophe Siffert","K1H","162.87","164","167",""
"Di Lauro Maxime","K1H","163.77","123","173",""
"Sylvain Herrbach","K1H","165.22","158","184",""
"Nizar Samlal","K1H","165.30","152","185",""
"Hafiz Ali Hassan","K1H","167.25","197","198",""
"Jeremy Poux","K1H","168.38","234","207",""
"Loic Sieber","K1H","170.34","-","222",""
"Pierson Cyril","K1H","171.71","267","231",""
"Yves Lecointe","K1H","172.37","262","237",""
"Di Lauro Alexandre","K1H","172.52","206","238",""
"Kudla Romain","K1H","172.71","256","239",""
"Florent Tamburini","K1H","173.52","253","245",""
"Serre Eric","K1H","173.92","169","247",""
"Guillaume Bandelier","K1H","175.17","265","257",""
"Kevin Schultz","K1H","175.39","238","259",""
"Jeanmaire Cyril","K1H","175.54","-","260",""
"Thibaud Kudla","K1H","177.39","233","273",""
"Christophe Godinat","K1H","177.49","-","274",""
"Alain Schirmann","K1H","177.69","-","275",""
"Olivier Urbain","K1H","178.39","277","280",""
"Mathieu Bandelier","K1H","178.84","193","283",""
"Thomas Michel","K1H","179.14","296","286",""
"Falcetta Thomas","K1H","180.65","336","297",""
"Quentin Vallee","K1H","181.06","307","300",""
"Teddy Poulard","K1H","181.83","-","305",""
"Marc Jegou","K1H","182.99","-","314",""
"Balducci Hugo","K1H","185.30","386","331",""
"Pascal Philip","K1H","185.89","-","335",""
"Aubert Anthony","K1H","186.11","379","337",""
"Ringeisen Gautier","K1H","188.67","454","356",""
"Ciemniewski Olivier","K1H","189.04","382","358",""
"Nicolle Xavier","K1H","194.96","434","402",""
"Hager Yoan","K1H","195.32","331","405",""
"Eric Marmet","K1H","195.94","430","409",""
"Ricci Miege Raphael","K1H","196.29","310","411",""
"Boivin Xavier","K1H","197.25","345","419",""
"Stephane Ferrignio","K1H","197.66","346","422",""
"Thenon Gregori","K1H","198.01","434","424",""
"Hubschwerlin Pierre","K1H","198.65","453","429",""
"Jean Guyot","K1H","200.06","377","440",""
"Jeremy Bretteville","K1H","202.56","-","458",""
"Philippe Godinat","K1H","203.36","430","463",""
"Hamann Damien","K1H","204.77","477","474",""
"Arthur Sucker","K1H","204.85","532","475",""
"Patrick Thevenin","K1H","204.92","403","475",""
"Alix Pouillard","K1H","206.93","525","490",""
"Bonnot Aurélien","K1H","208.74","664","503",""
"Courtier Jeremy","K1H","209.56","527","509",""
"William Boutet","K1H","209.90","339","512",""
"Kevin Burgi","K1H","211.63","379","525",""
"Bizzo Sebastien","K1H","211.81","568","526",""
"Verger Nicolas","K1H","215.49","486","552",""
"Friboulet Mickael","K1H","216.74","556","562",""
"Parmentelat Steve","K1H","218.64","641","575",""
"Pahin Thomas","K1H","220.30","-","588",""
"Pollet Manu","K1H","220.57","488","590",""
"Emmanuel Triomphe","K1H","220.57","631","590",""
"Romain Buchot","K1H","223.52","542","611",""
"Arette Hourquet Olivier","K1H","226.35","349","633",""
"Pharizat David","K1H","231.21","1055","668",""
"Nicolas Mangeolle","K1H","243.69","324","760",""
"Baud Sebastien","K1H","245.80","-","776",""
"Bajolet Julien","K1H","248.49","774","795",""
"Nicolas Dinquer","K1H","249.37","-","801",""
"Billel Khenchouche","K1H","249.83","578","804",""
"Megange Sylvain","K1H","250.92","-","813",""
"Romain Viry","K1H","251.58","491","818",""
"Charlot Bertrand","K1H","252.24","627","822",""
"Konieczka Felix","K1H","252.97","-","828",""
"Treiber Edouard","K1H","258.16","-","866",""
"Emmanuel Walczak","K1H","261.05","539","887",""
"Wendling Jean-Mathieu","K1H","261.31","730","889",""
"Beauce Antoine","K1H","265.36","758","919",""
"Beltzung Gaetan","K1H","267.97","1496","938",""
"Alexandre Lambert","K1H","273.13","1170","976",""
"Eddy Cassard","K1H","273.64","464","979",""
"Janin Quentin","K1H","280.82","855","1032",""
"Renaut Brice","K1H","281.04","718","1034",""
"Deloge Brice","K1H","283.05","-","1049",""
"Bonnot Cyrille","K1H","283.09","-","1049",""
"Frering Gilles","K1H","287.79","661","1084",""
"Audren Schiel","K1H","288.05","532","1085",""
"Henriot Frederic","K1H","292.89","-","1121",""
"Manresa Jose","K1H","298.41","621","1161",""
"Bontemps Romain","K1H","301.60","1479","1184",""
"Guiot Jonathan","K1H","301.94","-","1188",""
"Thomas Bouquet","K1H","305.12","822","1211",""
"Wendling Valentin","K1H","324.22","543","1351",""
"Petitclerc Quentin","K1H","326.49","-","1368",""
"Humbert David","K1H","334.54","-","1427",""
"Girardet Julien","K1H","343.67","1766","1494",""
"Boutter Victor","K1H","348.07","614","1525",""
"Papoz Bastien","K1H","367.30","1044","1667",""
"Bablonn Arnaud","K1H","383.95","-","1789",""
"Fox Michel","K1H","387.18","-","1812",""
"Francony Bastien","K1H","413.18","1296","2004",""
"Laithier Francois","K1H","437.18","1395","2180",""
"Leclerc Jerome","K1H","439.45","-","2197",""
"Carisey Pierre","K1H","446.45","709","2248",""
"Vincentz Victor","K1H","449.07","-","2267",""
"Hug Laurent","K1H","466.30","-","2394",""
"Lemaire Marc","K1H","851.34","-","5220",""
