"Sélectif Régional de Slalom - Finale Coupe De Lorraine - Qualification - 2016-11-06","Qualification","2016-11-06","Régional","171"
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","107","343.76","320.55",""
"Alexis Collin-Alexandre Mathis","C2H","110","362.48","356.63",""
"Jeancharles Reby-Gregory Ganthier","C2H","112","384.06","380.68",""
"Corentin Monasse-Jules Vonderscher","C2H","126","-","549.03",""
"Loric Bertrand Delorme-Pierre Biagui","C2H","127","626.2","561.07",""
"Bastien Caillet-Jules Andrien","C2H","128","723.05","573.1",""
"Theophile Didierjean-Stanislas Ledore","C2HM","157","767.79","921.83",""
"Antoine Paumier-Louis Thiebaut","C2HM","170","-","1078.17",""
"Caroline Scherer-Matthieu Walfard","C2M","124","-","400.72",""
"Antonin Dreit-Jade Robin","C2M","130","446.45","466.86",""
"Vincent Idriss Achaoui-Camille Hurez","C2M","Nt","-","-",""
"Agathe Caillet-Leo Collard","C2MM","160","1052.11","797.57",""
"Fanchon Janssen","K1D","101","112.84","216.15",""
"Alexane Galmiche","K1D","105","243.21","262.97",""
"Caroline Bourry","K1D","107","145.01","286.39",""
"Ilhame Siraj","K1D","108","360.66","298.09",""
"Camille Hurez","K1D","108","305.85","298.09",""
"Axelle Armanini","K1D","109","265.88","309.8",""
"Athenais Reby","K1D","112","412.14","344.92",""
"Justine Clerc","K1D","112","334.78","344.92",""
"Jade Robin","K1D","113","319.36","356.63",""
"Marilyn Giroux","K1D","114","384.12","368.33",""
"Lou-anne Cointin","K1D","116","447.47","391.75",""
"Angelique Guilcher","K1D","117","239.62","403.45",""
"Jeanne Bernard","K1D","121","342.19","450.28",""
"Maurine Laugel","K1D","122","462.59","461.99",""
"Margot Perrin","K1D","123","368.16","473.7",""
"Fiona Gille","K1D","124","515.74","485.4",""
"Emma Vaubourg","K1D","126","396.43","508.81",""
"Carole Dolmaire","K1D","131","561.96","567.34",""
"Kelly Capitaine","K1D","133","530.43","590.76",""
"Maude Dominique","K1D","135","571.15","614.17",""
"Margaux Barbier","K1D","135","620.71","614.17",""
"Margaux Mourlon","K1D","143","794.1","707.83",""
"Eva Guillaumot","K1D","143","1727.38","707.83",""
"Perrine Venot","K1D","145","-","731.24",""
"Ludivine Jeanray","K1D","149","1895.39","778.06",""
"Julia Budzinski","K1D","Nt","-","-",""
"MaÏa Gombert","K1DM","125","415.14","497.1",""
"Agathe Caillet","K1DM","125","569.76","497.1",""
"Eva Klipfel","K1DM","128","503.62","532.22",""
"Mylene Guilcher","K1DM","133","490.35","590.76",""
"Lucille Meunier-cheyssac","K1DM","150","495.45","789.76",""
"Kenza Lannoy","K1DM","Nt","-","-",""
"Lucas Latimier","K1H","86","139.36","171.43",""
"Robin Pottelette","K1H","87","169.39","184.66",""
"Bertrand Gutierrez","K1H","87","87.16","184.66",""
"Jerome Olhagaray","K1H","89","157.4","211.11",""
"Lucas Galmiche","K1H","90","172.18","224.34",""
"Nikolas Stanik","K1H","93","337.5","264.03",""
"Damien Ganthier","K1H","94","232.87","277.26",""
"Hugo Simon","K1H","94","247.32","277.26",""
"Florient Tagnon","K1H","94","229.46","277.26",""
"Silvere Desongins","K1H","96","222.77","303.71",""
"Corentin Monasse","K1H","97","253.36","316.94",""
"Louis Savart","K1H","98","346.95","330.17",""
"Loric Bertrand Delorme","K1H","98","411.19","330.17",""
"Louison Tanet","K1H","98","-","330.17",""
"Yann Becker","K1H","98","269.9","330.17",""
"Thomas L'huillier","K1H","99","309.85","343.4",""
"Florent Tamburini","K1H","99","308.76","343.4",""
"Jules Andrien","K1H","100","366.46","356.63",""
"Maxime Aubertin","K1H","101","382.34","369.85",""
"Arthur Dupont","K1H","102","393.54","383.08",""
"Anthony Rouhier","K1H","102","343.94","383.08",""
"Damien Burteaux","K1H","103","342.46","396.31",""
"Matthieu Walfard","K1H","103","358.93","396.31",""
"Guerlain Robin","K1H","103","403.9","396.31",""
"Kevin Rancon","K1H","103","329.42","396.31",""
"Pierre Biagui","K1H","104","438.07","409.54",""
"Nicolas Gallais","K1H","106","510.02","436",""
"Aymeric Dollat","K1H","107","513.79","449.22",""
"Djimy Kar","K1H","108","386.5","462.45",""
"Guillaume Cochut","K1H","110","509.56","488.91",""
"Loic Bourgeois","K1H","112","406.87","515.37",""
"Bastien Delaubier","K1H","112","568.36","515.37",""
"Alexandre L'huillier","K1H","115","555.25","555.05",""
"Mathieu Deloffre","K1H","115","-","555.05",""
"Michel Bert","K1H","117","630.64","581.51",""
"Axel Ganthier","K1H","118","-","594.74",""
"Bastien Caillet","K1H","120","574.25","621.19",""
"Lucas Gamain","K1H","122","545.85","647.65",""
"Leonard Painteaux","K1H","123","544.52","660.88",""
"Etienne Rougeron","K1H","124","661.81","674.11",""
"Quentin Henry","K1H","140","952.76","885.76",""
"Louis Gasser","K1H","148","557.85","991.59",""
"Gerald Oudin","K1H","149","1084.41","1004.82",""
"Gaetan Cornu","K1H","149","1366.54","1004.82",""
"Hugo Pierre","K1H","156","-","1097.41",""
"Stephane Cassin","K1H","173","1373.14","1322.3",""
"Renaud Henri","K1H","Nt","-","-",""
"Vincent Idriss Achaoui","K1H","Nt","-","-",""
"Thomas Argenson","K1H","Nt","-","-",""
"Quentin Decotte","K1H","Nt","-","-",""
"Quentin Henri","K1H","Nt","-","-",""
"Christophe Come","K1H","Nt","-","-",""
"Benjamin Gerondi","K1H","Nt","-","-",""
"Jean Charles Hacquart","K1HM","92","262.02","250.8",""
"Antonin Robert","K1HM","100","550.86","356.63",""
"Loic Petel","K1HM","101","358.59","369.85",""
"Leo Collard","K1HM","103","426.2","396.31",""
"Aurelien Merieux Danneaux","K1HM","107","430.89","449.22",""
"Matheo Dejonghe","K1HM","109","497.07","475.68",""
"Jules Latimier","K1HM","114","493.07","541.82",""
"Vivien Stemmelen","K1HM","115","545.32","555.05",""
"Antoine Paumier","K1HM","117","613.7","581.51",""
"Tanguy Malingre","K1HM","118","608.35","594.74",""
"Danil Buneev","K1HM","130","839.27","753.48",""
"Stanislas Ledore","K1HM","133","671.83","793.16",""
"Florentin Abel","K1HM","141","-","898.99",""
"Theophile Didierjean","K1HM","182","743.86","1441.35",""
"Louis Thiebaut","K1HM","199","-","1666.23",""
