"Sélectif Régional de Slalom - Sable Sur Sarthe - Finale - 2018-09-23","Finale","2018-09-23","Régional","148"
"Denis Guilmard","K1H","104.93","323.43","342.32","Finale A"
"Thibaud Chevalier","K1H","105.55","299.3","350.16","Finale A"
"Frederic Castryck","K1H","106.59","310.65","363.3","Finale A"
"Armand Fougere","K1H","108.13","360.48","382.77","Finale A"
"Samuel Vallienne","K1H","109.05","401.52","394.4","Finale A"
"Alexis Carpentey","K1H","109.2","390.94","396.29","Finale A"
"Stephane Odot","K1H","109.36","402.36","398.32","Finale A"
"Max Derame","K1H","109.93","339.36","405.52","Finale A"
"Gregory Metayer","K1H","110.18","315","408.68","Finale A"
"Elias Blais","K1H","111.04","385.49","419.55","Finale A"
"Leo Grollier","K1H","111.79","405.96","429.03","Finale A"
"Rafael Lerusse","K1H","111.8","401.08","429.16","Finale A"
"Tanguy Odot","K1H","112.01","429.41","431.81","Finale A"
"Tom Lallican","K1H","112.25","529.55","434.85","Finale A"
"Gaston Guilmard","K1H","117.1","351.34","496.15","Finale A"
"Matheo Coquel","K1H","118.91","423.37","519.03","Finale A"
"GaËtan De Greef","K1H","152.52","264.41","943.85","Finale A"
"Alex Louveau","K1H","153.02","155.66","950.17","Finale A"
"Guillaume Caron","K1H","156.01","384.41","987.97","Finale A"
"Maxence Davy","K1HM","109.37","510.92","398.44","Finale A"
"Romain Margerie","K1HM","112.44","475.34","437.25","Finale A"
"Tom Marchand","K1HM","114.18","463.88","459.24","Finale A"
"Mathis Odot","K1HM","118.35","558.12","511.95","Finale A"
"Matthieu Escolano","K1HM","118.91","553.26","519.03","Finale A"
"Mael Segaud","K1HM","126.06","605.36","609.4","Finale A"
"ClÉment Louveau","K1HM","175.55","577.85","1234.95","Finale A"
"Lou Boisnard","C1D","132.35","470.87","415.1","Finale B"
"Marine Clement","C1D","145.73","2031.34","556.03","Finale B"
"Coralie Belnoue","C1D","151.28","608.45","614.49","Finale B"
"Clement Dubois","C1H","115.68","450.11","413.57","Finale B"
"Alexis Carpentey","C1H","118.55","977.26","448.12","Finale B"
"Vincent Laclide","C1H","119.55","473.93","460.16","Finale B"
"Jeremy Bretteville","C1H","120.58","496.45","472.56","Finale B"
"Laurent Chiron","C1H","121.09","579.55","478.7","Finale B"
"Antoine Bizot","C1H","121.67","403.13","485.68","Finale B"
"Tanguy Odot","C1H","122.49","574.37","495.55","Finale B"
"Max Derame","C1H","125.69","649.87","534.08","Finale B"
"Thomas Brouard","C1H","147.96","808.02","802.15","Finale B"
"Enzo Le Cadre","C1H","152.77","939.05","860.06","Finale B"
"Matheo Coquel","C1H","153.61","738.21","870.17","Finale B"
"Axel Brin","C1H","159.55","1221.15","941.67","Finale B"
"Bastien Mailly","C1H","164","1244.73","995.24","Finale B"
"Christopher Geslin","C1H","Abd","-","-","Finale B"
"Pauline Guenery","K1D","139.95","588.43","586.47","Finale B"
"Livia Salmon","K1D","142.21","647.28","611.75","Finale B"
"Zoe Marchand","K1D","151.23","740.31","712.64","Finale B"
"Emma Chevallier","K1D","154.58","1525.64","750.1","Finale B"
"Anna Gouraud","K1D","163.29","719.69","847.53","Finale B"
"Victoria Audrain","K1D","188.93","1663.31","1134.34","Finale B"
"Caroline Froissard","K1D","189.66","1158.28","1142.51","Finale B"
"Leonie Joubert","K1D","284.83","1258.7","2207.05","Finale B"
"Loic Froissard","K1H","115.53","477.75","481.3","Finale B"
"Clement Collardez","K1H","117.11","491.96","501.28","Finale B"
"Jeremy Bretteville","K1H","118.03","482.99","512.9","Finale B"
"Enzo Le Cadre","K1H","118.43","508.78","517.96","Finale B"
"Simon Diogo","K1H","119.86","496.93","536.03","Finale B"
"Younes Kismi","K1H","120.27","433.6","541.22","Finale B"
"Antoine Sapin","K1H","121.6","563.68","558.03","Finale B"
"David Ravache","K1H","122.15","604.96","564.98","Finale B"
"Fabien Dulyse","K1H","122.32","480.37","567.13","Finale B"
"Olivier Brochard","K1H","123.15","552.06","577.62","Finale B"
"Tony Leray","K1H","123.47","576.73","581.66","Finale B"
"Noe Caillet","K1H","125.53","610.49","607.7","Finale B"
"Balthazar Supiot","K1H","125.76","639.79","610.61","Finale B"
"Alexis Daniel","K1H","127.04","987.01","626.79","Finale B"
"Valentin Soullard","K1H","127.75","572.19","635.76","Finale B"
"Briac Charny","K1H","128.16","649.37","640.95","Finale B"
"Axel Brin","K1H","129.25","705.67","654.72","Finale B"
"Cedric Segaud","K1H","130.61","743.65","671.91","Finale B"
"Pierrick Meheust","K1H","131.27","662.59","680.26","Finale B"
"Christophe Gergaud","K1H","131.92","580.81","688.47","Finale B"
"Christian Belouin","K1H","133.54","674.98","708.95","Finale B"
"Bastien Mailly","K1H","133.79","609.01","712.11","Finale B"
"Mallory Brochard","K1H","135.08","805.11","728.41","Finale B"
"Christian Le Parc","K1H","136.42","729.02","745.35","Finale B"
"Axel Dumont","K1H","138.44","1328.65","770.88","Finale B"
"Cyriaque Sorin","K1H","140.83","1123.69","801.09","Finale B"
"Noa Taillandier","K1H","141.83","1002.4","813.73","Finale B"
"Nolann Maudet","K1H","141.86","989.48","814.11","Finale B"
"Oderic Mahieu Eyraud","K1H","151.07","898.26","930.52","Finale B"
"Lucas Soudi","K1H","166.61","416.02","1126.95","Finale B"
"Stanislas Guerineau","K1H","230.68","1205.25","1936.78","Finale B"
"Christopher Geslin","K1H","361.36","2145.17","3588.56","Finale B"
"Patrice Guyon","K1H","Abd","-","-","Finale B"
"Marwan Bazot","K1HM","128.16","761.91","640.95","Finale B"
"Steeve Protais","K1HM","140.97","908.05","802.86","Finale B"
"Yann Vergelin","K1HM","150.17","996.08","919.15","Finale B"
"Corentin Simon","K1HM","165.71","1083.22","1115.57","Finale B"
"Paul Morisseau","K1HM","171.85","2265.17","1193.18","Finale B"
"Ulysse Nicouleaud","K1HM","196.4","1900.44","1503.49","Finale B"
"Arold Pietrain","K1HM","252.48","1283.42","2212.33","Finale B"
