"SLALOM REGIONAL DU CLAIN - St Benoit - 2005-11-06","Course 1","2005-11-06","Régional","154"
"Dardilhac Anthony","K1H","196.63","107","208",""
"Herve Launay","K1H","197.54","261","215",""
"Vynisale Loic","K1H","198.71","-","223",""
"Babin Philippe","K1H","198.78","-","223",""
"Pascal Poitiers","K1H","199.80","206","229",""
"Lucquiaud David","K1H","200.33","-","233",""
"Borde Stephane","K1H","200.39","251","233",""
"Tristan Gaboriau","K1H","201.52","291","241",""
"Laurent Urvois","K1H","201.94","-","244",""
"Nogues Tony","K1H","204.04","-","257",""
"Julien Riffaud","K1H","204.70","280","262",""
"Pierre Dehaudt","K1H","206.32","-","272",""
"Philippe Niquet","K1H","206.76","248","275",""
"Branger Sebastien","K1H","207.39","306","279",""
"Come Hebert","K1H","211.11","-","304",""
"Clement Faure","K1H","211.13","-","304",""
"Thibaud Rottier","K1H","211.80","208","308",""
"Clement Praille","K1H","213.49","280","320",""
"Paul Storez","K1H","214.43","244","325",""
"Yohann Courouble","K1H","215.04","374","330",""
"Chasseloup Christophe","K1H","215.49","303","333",""
"Cordonnier Raphael","K1H","216.41","-","339",""
"Remy Faucon","K1H","216.89","164","342",""
"Marc Robert","K1H","217.09","383","343",""
"Quentin Lyphout","K1H","218.08","-","350",""
"David Peigne","K1H","219.02","401","355",""
"Maxime Perrin","K1H","219.76","391","361",""
"Malvaud Sebastien","K1H","220.52","-","365",""
"Jean-philippe Brothier","K1H","221.92","-","374",""
"Climaque Cedric","K1H","223.30","-","384",""
"Rivet Martial","K1H","225.40","-","398",""
"Lucquiaud Jean Michel","K1H","225.59","-","399",""
"Lac Germain","K1H","226.28","317","403",""
"Romain Caillon","K1H","226.38","-","404",""
"Rolando Thomas","K1H","226.43","396","404",""
"Benoit Couturier","K1H","226.84","458","406",""
"Damien Gaillard","K1H","227.73","-","413",""
"Yann Drouet","K1H","229.01","491","421",""
"Delahaie Emmanuel","K1H","230.89","281","433",""
"Fallou Etienne","K1H","230.94","452","434",""
"Florian Petit","K1H","231.96","557","441",""
"Louis-maxime Main","K1H","232.15","-","442",""
"Xavier Flatreau","K1H","233.00","377","448",""
"Pierrealexis Gabriel","K1H","233.57","495","451",""
"Benjamin Rat","K1H","233.81","-","453",""
"Alexandre Di Nisi","K1H","234.21","-","455",""
"Enon Samuel","K1H","235.03","-","461",""
"Gaetan Guyonnet","K1H","235.84","496","467",""
"Mathieu Cheze","K1H","236.18","518","469",""
"Rouet Jeremy","K1H","237.34","474","476",""
"Proust Mickael","K1H","237.68","-","478",""
"Caillaud Adrien","K1H","238.13","408","481",""
"Coquet Florent","K1H","238.79","506","486",""
"Matthieu Roy","K1H","238.88","513","487",""
"Herve Maxime","K1H","239.90","497","493",""
"Jean-noel Biteau","K1H","243.05","489","513",""
"Masseran Pierre","K1H","245.15","498","528",""
"Cardon Kevin","K1H","246.03","-","533",""
"Basile Pierre Eugene","K1H","246.82","-","538",""
"Stadler Jean Patrick","K1H","246.97","643","539",""
"Rabaud Johan","K1H","247.80","-","545",""
"Dieusard Thomas","K1H","250.82","591","565",""
"Maillard Bertrand","K1H","251.49","526","569",""
"Benjamin Martin","K1H","252.41","788","575",""
"Bardol Martin","K1H","252.47","-","576",""
"Bourinet Guillaume","K1H","253.88","-","585",""
"Julien Neymond","K1H","256.81","1494","604",""
"Thibault Ducom","K1H","261.08","-","633",""
"Valentin Giret","K1H","261.44","1034","635",""
"Mathieu Laroze","K1H","261.90","-","637",""
"Gerard Folle","K1H","262.17","-","639",""
"Rivaux Fabien","K1H","264.98","894","658",""
"Fourmy Aurelien","K1H","267.54","-","675",""
"Benjamin Sanella","K1H","268.39","-","680",""
"Gourdin Nicolas","K1H","270.10","317","692",""
"Delorme Vincent","K1H","275.68","1019","728",""
"Thierry Le Bonniec","K1H","280.03","913","756",""
"Decool Alexandre","K1H","281.99","-","770",""
"Etienne Baudry","K1H","285.83","-","795",""
"Yves Nicot","K1H","289.23","-","817",""
"Valentin Soullard","K1H","290.00","979","822",""
"Abebsi Marc","K1H","293.07","1069","842",""
"Matthias Jauvin","K1H","293.56","-","845",""
"Vinet Sonny","K1H","295.16","-","856",""
"Fillere Florent","K1H","304.66","-","919",""
"Chabot Simon","K1H","306.04","-","928",""
"Redien Benjamin","K1H","310.86","-","959",""
"Perche Camille","K1H","311.00","-","960",""
"Gaetan Robin","K1H","320.36","-","1021",""
"Fradin Damien","K1H","325.72","-","1057",""
"Dugast Mathieu","K1H","328.39","1304","1075",""
"Boutin Thibaud","K1H","336.64","-","1128",""
"Brenot Maxime","K1H","336.65","-","1128",""
"Chastanet Ronald","K1H","341.43","-","1160",""
"Hervo Loic","K1H","345.93","-","1189",""
"Jozeleau Thomas","K1H","391.36","-","1488",""
