"double Sélectif Régional de Slalom Sélestat - Sélestat Quai De L'ill - Course N°1 | Finale - 2017-04-01","Course N°1 | Finale","2017-04-01","Régional","187"
"Nikolas Stanik","K1H","95.22","268.15","334.41","Course N°1 | Finale A"
"Loic Joly","K1H","96.02","352.94","345.23","Course N°1 | Finale A"
"Charles Fernandes De Oliveira","K1H","96.71","289.82","354.57","Course N°1 | Finale A"
"Olivier Hardonniere","K1H","97.87","322.9","370.26","Course N°1 | Finale A"
"Pitt Rohrer","K1H","98.22","-","375","Course N°1 | Finale A"
"Paul Bostoen","K1H","98.34","436.33","376.62","Course N°1 | Finale A"
"Olivier Urbain","K1H","98.62","318","380.41","Course N°1 | Finale A"
"Julien Saguet","K1H","98.69","262.01","381.36","Course N°1 | Finale A"
"Guilhem Douillet","K1H","98.96","268.67","385.01","Course N°1 | Finale A"
"Yoni Beghoura","K1H","100.78","305.7","409.64","Course N°1 | Finale A"
"Florent Tamburini","K1H","101.44","324.52","418.57","Course N°1 | Finale A"
"Christophe Siffert","K1H","101.51","-","419.52","Course N°1 | Finale A"
"Paul Frommer","K1H","102.09","421.16","427.37","Course N°1 | Finale A"
"Loic Trenchant","K1H","103.53","428.74","446.85","Course N°1 | Finale A"
"Louis Pein","K1H","103.59","388.07","447.66","Course N°1 | Finale A"
"Thibaut Chariot","K1H","103.73","-","449.56","Course N°1 | Finale A"
"Vincent Morabito","K1H","108.46","-","513.56","Course N°1 | Finale A"
"Damien Burteaux","K1H","114.36","362.64","593.39","Course N°1 | Finale A"
"Kyle Gelb","K1H","120.77","442.87","680.12","Course N°1 | Finale A"
"Silvere Desongins","K1H","141.07","251.94","954.8","Course N°1 | Finale A"
"Eddy Cassard","K1H","145.03","335.56","1008.39","Course N°1 | Finale A"
"Leo Peter","K1H","147.03","441.41","1035.45","Course N°1 | Finale A"
"Smail Mouhoub","K1H","156.54","363.15","1164.13","Course N°1 | Finale A"
"Maxence Grandadam","K1H","162.27","384.78","1241.66","Course N°1 | Finale A"
"Aurelien Merieux Danneaux","K1H","177.37","422.48","1445.98","Course N°1 | Finale A"
"Antonin Robert","K1HM","107.54","466.82","501.11","Course N°1 | Finale A"
"Matthieu Koffel","K1HM","110.09","607.11","535.61","Course N°1 | Finale A"
"Anthony Menissier","K1HM","118.84","591.15","654.01","Course N°1 | Finale A"
"Laurel Hartmann","K1HM","121.47","615.21","689.6","Course N°1 | Finale A"
"Arnaud Caillet","K1HM","127.7","-","773.89","Course N°1 | Finale A"
"Clement Fremy","K1HM","129.42","-","797.17","Course N°1 | Finale A"
"Maxime Pein","K1HM","132.28","-","835.87","Course N°1 | Finale A"
"Gael Ettwiller","K1HM","140.7","-","949.8","Course N°1 | Finale A"
"Louis Guggenbuhl","K1HM","142.1","-","968.74","Course N°1 | Finale A"
"Maurine Laugel","C1D","Abd","-","-","Course N°1 | Finale B"
"Angelino Castagnetti","C1H","118.45","585.21","577.42","Course N°1 | Finale B"
"Vincent Morabito","C1H","123.81","-","646.48","Course N°1 | Finale B"
"Leo Peter","C1H","124.05","-","649.58","Course N°1 | Finale B"
"Guerlain Robin","C1H","124.33","468.05","653.19","Course N°1 | Finale B"
"Maxence Grandadam","C1H","129.07","610.84","714.27","Course N°1 | Finale B"
"Lionel Borde","C1H","130.25","-","729.48","Course N°1 | Finale B"
"Simon Munch","C1H","131.6","943.67","746.87","Course N°1 | Finale B"
"Nicolas Gallais","C1H","132.78","717.9","762.08","Course N°1 | Finale B"
"Kyle Gelb","C1H","134.32","574.21","781.93","Course N°1 | Finale B"
"Pierre-louis Gstalter","C1H","134.91","720.3","789.53","Course N°1 | Finale B"
"Florent Tamburini","C1H","139.36","-","846.87","Course N°1 | Finale B"
"Antoine Paumier","C1H","141.66","-","876.51","Course N°1 | Finale B"
"Anthony Giurlando","C1H","142.45","-","886.7","Course N°1 | Finale B"
"Audren Schiel","C1H","154.87","-","1046.74","Course N°1 | Finale B"
"Bastien Delaubier","C1H","166.81","593.97","1200.62","Course N°1 | Finale B"
"Clement Seiler","C1H","183.65","-","1417.63","Course N°1 | Finale B"
"Paul Frommer","C1H","Abd","-","-","Course N°1 | Finale B"
"Antoine Wolff","C1H","Abd","-","-","Course N°1 | Finale B"
"Loann Delle Dananchet","C1HM","125.79","679.22","672","Course N°1 | Finale B"
"Antonin Robert","C1HM","136.14","877.32","805.37","Course N°1 | Finale B"
"Louis Guggenbuhl","C1HM","142.35","-","885.4","Course N°1 | Finale B"
"Arnaud Caillet","C1HM","151.39","-","1001.9","Course N°1 | Finale B"
"Maxime Devis","C1HM","Abd","-","-","Course N°1 | Finale B"
"Fadel Moumen","C1HM","Abd","-","-","Course N°1 | Finale B"
"Jessica Joyau","K1D","118.81","-","473.66","Course N°1 | Finale B"
"Laurine Grandadam","K1D","123.3","-","527.42","Course N°1 | Finale B"
"Lucille Meunier-cheyssac","K1D","123.54","487.44","530.29","Course N°1 | Finale B"
"Sarah Rothenbuhler","K1D","128.46","585.58","589.2","Course N°1 | Finale B"
"Chloe Faverjon","K1D","139.1","472.58","716.61","Course N°1 | Finale B"
"Heloise Stemmelen","K1D","145.93","589.86","798.41","Course N°1 | Finale B"
"Audrey Masson","K1D","150.93","1353.61","858.27","Course N°1 | Finale B"
"Maurine Laugel","K1D","175.17","427.78","1148.54","Course N°1 | Finale B"
"Lisa Hacquard","K1D","268.41","-","2265.02","Course N°1 | Finale B"
"Manon Louis","K1D","Abd","-","-","Course N°1 | Finale B"
"Cleo Chapoutot","K1DM","191.94","-","1349.34","Course N°1 | Finale B"
"Javotte Graslaplante","K1DM","221.44","-","1702.59","Course N°1 | Finale B"
"Kenza Lannoy","K1DM","Abd","-","-","Course N°1 | Finale B"
"Kevin Rancon","K1H","95.94","318.32","349.15","Course N°1 | Finale B"
"Loric Bertrand Delorme","K1H","97.22","347.1","366.47","Course N°1 | Finale B"
"Pierre-louis Gstalter","K1H","103.25","436.25","448.06","Course N°1 | Finale B"
"Come Champurney","K1H","105.08","562.43","472.82","Course N°1 | Finale B"
"Guerlain Robin","K1H","105.92","376.4","484.19","Course N°1 | Finale B"
"Pascal Philip","K1H","106.32","521.18","489.6","Course N°1 | Finale B"
"Nicolas Gallais","K1H","106.67","468.29","494.34","Course N°1 | Finale B"
"Quentin Henri","K1H","107.21","599.41","501.64","Course N°1 | Finale B"
"Simon Munch","K1H","107.38","496.57","503.94","Course N°1 | Finale B"
"Johann Thevenin","K1H","108.76","433.9","522.62","Course N°1 | Finale B"
"William Pawlus","K1H","109.12","444.08","527.49","Course N°1 | Finale B"
"Philippe Koffel","K1H","109.69","553.58","535.2","Course N°1 | Finale B"
"Frederic Caillet","K1H","110.27","551.46","543.05","Course N°1 | Finale B"
"Charles Billon","K1H","110.34","565.33","544","Course N°1 | Finale B"
"Matthew Vuillard","K1H","110.39","540.3","544.67","Course N°1 | Finale B"
"Gerard Menissier","K1H","111.79","540.37","563.62","Course N°1 | Finale B"
"Samuel Gerard","K1H","114.38","-","598.66","Course N°1 | Finale B"
"Pierre Biagui","K1H","115.08","387.3","608.13","Course N°1 | Finale B"
"Nicolas Leport","K1H","116.52","655.07","627.62","Course N°1 | Finale B"
"Arthur Marraro","K1H","116.59","-","628.57","Course N°1 | Finale B"
"Matheo Dejonghe","K1H","116.64","481.2","629.24","Course N°1 | Finale B"
"Antoine Paumier","K1H","118.75","577.01","657.79","Course N°1 | Finale B"
"William Roussel","K1H","120.94","963.03","687.43","Course N°1 | Finale B"
"Antoine Wolff","K1H","121.16","593.64","690.4","Course N°1 | Finale B"
"Mathieu Deloffre","K1H","122.66","579.24","710.7","Course N°1 | Finale B"
"Quentin Decotte","K1H","122.97","543.3","714.89","Course N°1 | Finale B"
"Vivien Stemmelen","K1H","126.37","523.48","760.9","Course N°1 | Finale B"
"Bastien Delaubier","K1H","130.06","518.85","810.83","Course N°1 | Finale B"
"Audren Schiel","K1H","130.65","550.31","818.81","Course N°1 | Finale B"
"Axel Ganthier","K1H","131.45","-","829.64","Course N°1 | Finale B"
"Martin Francois","K1H","132.79","-","847.77","Course N°1 | Finale B"
"Gauthier Principaud","K1H","133.7","811.39","860.08","Course N°1 | Finale B"
"Lucas Matkovic","K1H","135.68","681.62","886.87","Course N°1 | Finale B"
"Virgile Bessot","K1H","144.96","-","1012.44","Course N°1 | Finale B"
"Seraphin Michelstahl","K1H","146.74","-","1036.53","Course N°1 | Finale B"
"Christophe Come","K1H","146.96","1095.87","1039.5","Course N°1 | Finale B"
"Matthieu Chadeau","K1H","149.77","-","1077.52","Course N°1 | Finale B"
"Theophile Vincent","K1H","157.66","984.3","1184.28","Course N°1 | Finale B"
"Anthony Dubois","K1H","201.51","878.04","1777.62","Course N°1 | Finale B"
"Oscar Pasteur","K1HM","119.76","674.16","671.46","Course N°1 | Finale B"
"Lucas Jamart","K1HM","125.59","-","750.34","Course N°1 | Finale B"
"Tanguy Malingre","K1HM","125.7","514.5","751.83","Course N°1 | Finale B"
"Maxime Devis","K1HM","126.26","-","759.41","Course N°1 | Finale B"
"Valentin Bostoen","K1HM","145.51","-","1019.88","Course N°1 | Finale B"
"Paul Gstalter","K1HM","186.12","1170.94","1569.38","Course N°1 | Finale B"
"Robin Giurlando","K1HM","209.12","-","1880.59","Course N°1 | Finale B"
"Max Cantenot","K1HM","495.87","-","5760.61","Course N°1 | Finale B"
