"SÈlectif RÈgional Slalom (Double) - Epinal - Course n∞2 | Qualification - 2018-09-16","Course n∞2 | Qualification","2018-09-16","RÈgional","291"
"David Monnet","C1H","138.49","896.13","801.58",""
"Hugo Humbrecht","C1H","140.65","771.05","829.12",""
"Benjamin Guyon","C1H","160.9","445.75","1087.34",""
"Jules Latimier","C1H","167.21","455.72","1167.81",""
"Silvere Desongins","C1H","Abs","-","-",""
"Jean Charles Hacquart","C1H","Abs","-","-",""
"Alexis Collin","C1H","Abs","-","-",""
"Lucas Latimier","C1H","Abs","-","-",""
"Marcantoine Hacquart","C1H","Abs","-","-",""
"Patrice Campioni","C1H","Abs","-","-",""
"Johan De Mareuil","C1H","Abs","-","-",""
"Baptiste Podor","C1H","Abs","-","-",""
"Tanguy Malingre","C1H","Abs","-","-",""
"Pierre Biagui","C1H","Abs","-","-",""
"Bastien Caillet","C1H","Abs","-","-",""
"Theo Reby","C1HM","107.38","469.4","404.88",""
"Maxime Forcadette","C1HM","113.23","545.71","479.47",""
"Maxime Devis","C1HM","119.54","677.76","559.94",""
"Oskar Hillion","C1HM","120.42","610.92","571.16",""
"Quentin Maillefer","C1HM","121.44","741.09","584.16",""
"Louis Guggenbuhl","C1HM","126.17","636.22","644.48",""
"Antoine Dusard","C1HM","127.67","1419.66","663.6",""
"Salim Jemai","C1HM","128.39","732.07","672.79",""
"Arnaud Caillet","C1HM","129.26","572.37","683.89",""
"Evan Trenchant","C1HM","131.53","753.15","712.83",""
"Adrien Dierstein","C1HM","140.91","994.22","832.44",""
"Elie Sutra","C1HM","144.9","899.33","883.32",""
"Quentin Dierstein","C1HM","172.46","1059.27","1234.76",""
"Paul Belis","C1HM","Abs","-","-",""
"Fiona Gille-Julia Budzinski","C2D","151.3","2381.49","593.91",""
"Jean Charles Hacquart-Marvin Tulpin","C2H","104.76","318.54","310.75",""
"Yoan Del Rey-Arthur Grandemange","C2H","111.44","385.48","392.05",""
"Philippe Thevenin-Olivier Urbain","C2H","112.97","407.41","410.68",""
"Emilien Kempf-Robin Pottelette","C2H","113.89","409.8","421.87",""
"Maxime Aubertin-Paul Aubertin","C2H","116.55","473.08","454.26",""
"Eddy Cassard-Sebastien Varin","C2H","125.38","643.98","561.74",""
"Yann Becker-Vincent Idriss Achaoui","C2H","125.63","490.99","564.78",""
"Alexis Sevrez-Leo Hauck","C2H","140.1","-","740.91",""
"Bastien Caillet-Jules Andrien","C2H","Abs","-","-",""
"Thibault Blaise-Johan De Mareuil","C2H","Abs","-","-",""
"Baptiste Podor-Michel Bert","C2H","Abs","-","-",""
"Oskar Hillion-Thomas Metzinger","C2HM","138.42","767.75","720.45",""
"Hugo Latimier-Alexane Galmiche","C2M","111.39","419.96","278.46",""
"Elena Hugues-Marvin Tulpin","C2M","115.42","343.24","323.43",""
"Caroline Scherer-Matthieu Walfard","C2M","116.82","386.49","339.05",""
"Corentin Monasse-Maœa Gombert","C2M","123.07","397.4","408.78",""
"Marie Hilger-Jules Vonderscher","C2M","124.19","463.9","421.28",""
"Gaelle Aumer-Olivier Urbain","C2M","127.11","511.74","453.86",""
"Yann Becker-Julia Budzinski","C2M","129.79","579.5","483.76",""
"Thibault Blaise-Fiona Gille","C2M","136.45","602.02","558.07",""
"Carole Dolmaire-Alexandre L'huillier","C2M","147.06","836.15","676.45",""
"Jeanne Bernard-Maxime Aubertin","C2M","184.24","504.87","1091.29",""
"Alexis Collin-Alicia Gallot","C2M","Abs","-","-",""
"Mathieu Monier-Chloe Faverjon","C2M","Abs","-","-",""
"Gabin Siau-Ilona Martin -laemle","C2M","Abs","-","-",""
"Theo Reby-Zoe Laurent","C2MM","131.13","445.51","498.71",""
"Maxime Forcadette-Clothilde Ermel","C2MM","164.32","1641.04","869.03",""
"Viviana Daille","K1D","97.7","143.56","193.24",""
"Alexane Galmiche","K1D","99.44","167.05","213.86",""
"Ilona Martin -laemle","K1D","101.73","248.94","240.99",""
"Mylene Ferry","K1D","102.9","179.89","254.86",""
"Sophie Colbus","K1D","104.29","252.93","271.32",""
"Solene Grenier","K1D","104.93","246.87","278.91",""
"Alina Rassel","K1D","107.75","486.16","312.32",""
"Angelique Guilcher","K1D","108.61","242.63","322.51",""
"Justine Clerc","K1D","109.09","274.21","328.2",""
"Marie Amelie Silvin","K1D","109.99","254.83","338.86",""
"Angelique Beauvais","K1D","110.59","364.46","345.97",""
"Maœa Gombert","K1D","110.72","262.52","347.51",""
"Anais Mouhoub","K1D","111.01","347.87","350.95",""
"Tifenn Primet","K1D","111.99","301.36","362.56",""
"Elena Hugues","K1D","112.01","283.08","362.8",""
"Margot Perrin","K1D","112.5","310.3","368.6",""
"Jade Robin","K1D","112.55","508.93","369.2",""
"Jeanne Bernard","K1D","112.57","346.94","369.43",""
"Marie Hilger","K1D","113.01","247.51","374.65",""
"Melyne Jost","K1D","114.49","416.46","392.19",""
"Chloe Faverjon","K1D","114.89","424.52","396.93",""
"Pauline Clerc","K1D","115.19","426.71","400.48",""
"Anne-lise Moisan-ehrwein","K1D","117.58","348.98","428.79",""
"Lou-anne Cointin","K1D","118.19","433.39","436.02",""
"Mylene Guilcher","K1D","119.84","394.34","455.57",""
"Lucille Meunier-cheyssac","K1D","119.94","455.53","456.76",""
"Lucie Fromentoux","K1D","122.41","437.81","486.02",""
"Fiona Gille","K1D","125.93","481.95","527.73",""
"Audrey Masson","K1D","132.87","691.65","609.96",""
"Carole Dolmaire","K1D","133.26","607.81","614.58",""
"Agathe Caillet","K1D","134.76","518.34","632.36",""
"Charlotte Doucet","K1D","142.66","568.75","725.97",""
"Louane Chenal","K1D","161.93","290.93","954.29",""
"Goundo Palibrk Doucoure","K1D","185.66","1902.19","1235.47",""
"Emma Vaubourg","K1D","Abs","-","-",""
"Maurine Laugel","K1D","Abs","-","-",""
"Heloise Stemmelen","K1D","Abs","-","-",""
"Kelly Capitaine","K1D","Abs","-","-",""
"Alicia Gallot","K1D","Abs","-","-",""
"Zoe Laurent","K1DM","110.82","379.11","348.7",""
"Charlotte Grenier","K1DM","115.16","425.49","400.13",""
"Marion Gillet","K1DM","115.28","426.36","401.55",""
"Merieme Bekkadour","K1DM","122.18","873.31","483.3",""
"Fantine Hortolan","K1DM","149.92","902.98","811.99",""
"Clothilde Ermel","K1DM","156.69","2221.63","892.21",""
"Helene Hincelin","K1DM","159.76","1160.88","928.59",""
"Kassandra Wagnier","K1DM","Abs","-","-",""
"Alexane Laugel","K1DM","Abs","-","-",""
"Alyssa Lhomme","K1DM","Abs","-","-",""
"Gabriel De Coster","K1H","86.28","144.79","190.83",""
"Mathieu Biazizzo","K1H","86.96","30.34","199.93",""
"Jean Charles Hacquart","K1H","88","179.34","213.86",""
"Robin Pottelette","K1H","88.26","97.61","217.34",""
"Corentin Monasse","K1H","89.68","164.07","236.35",""
"Jules Cresp","K1H","89.78","188.09","237.69",""
"Maxime Aubertin","K1H","89.86","281.7","238.76",""
"Alexis Pacholak","K1H","92.15","268.07","269.42",""
"Kilian Godart","K1H","93.13","286.65","282.54",""
"Loric Bertrand Delorme","K1H","93.38","268.03","285.89",""
"Erwan Rouch","K1H","93.64","206.8","289.37",""
"Loœc Winiarski","K1H","93.69","195.45","290.04",""
"Antoine Saul","K1H","93.83","251.34","291.92",""
"Adriaan Behets","K1H","93.86","257.45","292.32",""
"Thomas L'huillier","K1H","94.2","302.23","296.87",""
"Mathieu Douillet","K1H","94.94","280.45","306.78",""
"Hugo Simon","K1H","95.06","248.79","308.39",""
"Antonin Robert","K1H","95.11","296.26","309.05",""
"Baptiste Podor","K1H","95.21","278.43","310.39",""
"Leo Collard","K1H","95.28","280.03","311.33",""
"GaÀtan De Greef","K1H","95.92","284.75","319.9",""
"Victor Hennin","K1H","96.17","264.02","323.25",""
"Olivier Urbain","K1H","96.79","370.9","331.55",""
"Djendy Simeant","K1H","96.84","207.08","332.22",""
"Loic Trenchant","K1H","96.95","312.09","333.69",""
"Arthur Contamine","K1H","96.98","292.47","334.09",""
"Benjamin Dodane","K1H","97.8","206.77","345.07",""
"Tanguy Malingre","K1H","97.99","307.87","347.62",""
"Leonard Painteaux","K1H","98.03","375.96","348.15",""
"Lucas Galmiche","K1H","98.17","182.49","350.03",""
"Anthony Ulrich","K1H","98.76","308.96","357.93",""
"Nicolas Mangeolle","K1H","98.89","257.89","359.67",""
"Hugo Latimier","K1H","99.07","287.81","362.08",""
"Julien Saguet","K1H","99.25","317.2","364.49",""
"Hugo Martin -laemle","K1H","99.32","315.53","365.42",""
"Tanguy Adisson","K1H","99.38","376.86","366.23",""
"Victor Henry","K1H","99.91","433.21","373.32",""
"Guillaume Belet","K1H","100.92","343.44","386.85",""
"Yann Becker","K1H","101.01","312.17","388.05",""
"Loann Delle Dananchet","K1H","101.16","461.52","390.06",""
"Paul Farrugio","K1H","101.55","478.75","395.28",""
"Cyril Audoit","K1H","101.78","305.79","398.36",""
"Mohamed Saœd Bekkadour","K1H","102.19","345.94","403.85",""
"Damien Burteaux","K1H","102.29","379.35","405.19",""
"Luca Gabelli","K1H","102.29","410.17","405.19",""
"Antoine Paumier","K1H","102.29","471.34","405.19",""
"Erwan Degreve","K1H","102.43","383.98","407.06",""
"Aurelien Merieux Danneaux","K1H","102.61","337.6","409.47",""
"Dyclan Plessis","K1H","103.05","416.35","415.37",""
"Louis Gasser","K1H","103.13","399.87","416.44",""
"Gabriel Saul","K1H","103.8","429.61","425.41",""
"Yohan Marck","K1H","103.9","439.66","426.75",""
"Jules Andrien","K1H","104.31","328.08","432.24",""
"Anthony Rouhier","K1H","104.38","316.52","433.17",""
"Jules Latimier","K1H","104.48","460.54","434.51",""
"Axel Ganthier","K1H","104.73","425.33","437.86",""
"Gerard Menissier","K1H","104.92","519.75","440.4",""
"Clement Couchoud","K1H","105.07","305.77","442.41",""
"Eddy Cassard","K1H","105.19","388.59","444.02",""
"Patrick Gass","K1H","105.36","507.84","446.29",""
"Matthew Vuillard","K1H","105.59","412.69","449.37",""
"Alexandre L'huillier","K1H","106.12","530.09","456.47",""
"Thibaud Chovin","K1H","107.07","530.99","469.19",""
"Etienne Wiche","K1H","107.23","242.14","471.33",""
"Matthieu Walfard","K1H","107.98","370.54","481.37",""
"Yann Mercier","K1H","109.08","479.35","496.1",""
"Paul Gstalter","K1H","109.63","571.88","503.47",""
"Oscar Pasteur","K1H","109.69","506.83","504.27",""
"Gauthier Principaud","K1H","109.87","511.77","506.68",""
"William Pawlus","K1H","110.06","454.62","509.22",""
"Michiel Wijckmans","K1H","110.14","745.22","510.29",""
"Jules Ferber","K1H","110.48","596.72","514.85",""
"Laurel Hartmann","K1H","110.7","496.99","517.79",""
"Valentin Fleury","K1H","111.86","428.62","533.32",""
"Alexis Sevrez","K1H","112.46","487.46","541.36",""
"Alexis Gombert","K1H","113.35","571.78","553.27",""
"Xavier Rat","K1H","113.96","487.41","561.44",""
"Robin Giurlando","K1H","114.18","651.43","564.39",""
"Leo Bayard","K1H","117.11","695.75","603.62",""
"Leo Hauck","K1H","120.6","850.88","650.35",""
"Hugo Humbrecht","K1H","135.31","1043.12","847.3",""
"Lucas Latimier","K1H","136.17","88.86","858.82",""
"Stephane Cassin","K1H","141.92","1852.16","935.8",""
"Pierre Biagui","K1H","153.44","329.39","1090.05",""
"Enzo Claeys","K1H","154.88","358.54","1109.33",""
"Clement Grapotte","K1H","159.96","408.13","1177.34",""
"Andre Kempf","K1H","166.83","715.57","1269.33",""
"Loic Bourgeois","K1H","167.08","469.81","1272.68",""
"David Monnet","K1H","171.03","909.62","1325.56",""
"Simon Lescaut","K1H","Abs","-","-",""
"Michel Bert","K1H","Abs","-","-",""
"Silvere Desongins","K1H","Abs","-","-",""
"Johan De Mareuil","K1H","Abs","-","-",""
"Mathieu Monier","K1H","Abs","-","-",""
"Benjamin Guyon","K1H","Abs","-","-",""
"Bertrand Gutierrez","K1H","Abs","-","-",""
"Marcantoine Hacquart","K1H","Abs","-","-",""
"Marvin Tulpin","K1H","Abs","-","-",""
"Hugo Monasse","K1HM","97.25","281.24","337.71",""
"Theo Reby","K1HM","98.79","302.57","358.33",""
"Oskar Hillion","K1HM","102.36","417.22","406.13",""
"Salim Jemai","K1HM","103.21","548.42","417.51",""
"Maxime Devis","K1HM","103.41","485.77","420.19",""
"Axel Clement","K1HM","104.03","423.04","428.49",""
"Nathan Frison","K1HM","104.47","440.62","434.38",""
"Gabin Chenal","K1HM","106.79","472.13","465.44",""
"Arnaud Caillet","K1HM","109.08","492.47","496.1",""
"Clement Fremy","K1HM","112.13","502.28","536.94",""
"Evan Trenchant","K1HM","112.79","702.72","545.78",""
"Remy Perrin","K1HM","112.94","566.02","547.78",""
"Quentin Maillefer","K1HM","113.54","565.47","555.82",""
"Louis Guggenbuhl","K1HM","114.25","666.68","565.32",""
"Antonin Castille","K1HM","119.95","576.92","641.64",""
"Thomas Metzinger","K1HM","122.51","723.65","675.92",""
"Thibaut Boudier","K1HM","123.26","666.37","685.96",""
"Elie Sutra","K1HM","123.65","915.5","691.18",""
"Guillaume Cazenave","K1HM","126.88","812.43","734.43",""
"Adrien Dierstein","K1HM","128.47","1126.06","755.72",""
"Quentin Dierstein","K1HM","129.77","818.03","773.12",""
"Aloys Morel","K1HM","129.84","862.59","774.06",""
"Landry Roussel","K1HM","131.68","1322.44","798.7",""
"Gauthier Lepolard","K1HM","133.79","1019.02","826.95",""
"Alexandre Paumier","K1HM","146.39","1066.45","995.65",""
"Zakaria Radouani","K1HM","149.04","975.26","1031.13",""
"Maxime Paumier","K1HM","151.69","1265.77","1066.62",""
"Maxence Raymond","K1HM","170.8","687.05","1322.48",""
"Antoine Dusard","K1HM","184.79","965.61","1509.8",""
"Paul Belis","K1HM","Abs","-","-",""
"Thanaphat Boonjan","K1HM","Abs","-","-",""
