"Sélectif régional de Condé sur Vire - Condé sur Vire - 2009-11-15","Course 1","2009-11-15","Régional","115"
"Martin Mottais","K1H","115.42","335","452",""
"Alexis Simon","K1H","116.78","-","468",""
"Sebastien Roberge","K1H","119.37","-","498",""
"Benjamin Soroka","K1H","120.24","-","508",""
"Jess Masson","K1H","123.43","295","545",""
"Samuel Bonvalet","K1H","128.68","453","606",""
"Louis Bouclier","K1H","133.78","-","664",""
"Johann Sacleux","K1H","136.61","557","697",""
"Antoine Martin","K1H","143.11","490","772",""
"Pierre Lecorre","K1H","143.43","500","775",""
"Maxime Cohier","K1H","150.21","-","854",""
"Thierry Dugue","K1H","156.74","719","929",""
"Loic Ozeray","K1H","168.34","434","1064",""
"Quentin Anfrey","K1H","176.24","-","1155",""
"Denis Martin","K1H","177.99","513","1175",""
"Julien Grandin","K1H","179.82","571","1197",""
"Nicolas Guerin","K1H","193.27","927","1352",""
"Remy Vignaux","K1H","202.21","-","1455",""
"Remi Lengagne","K1H","218.43","500","1643",""
"Arman Karimi","K1H","218.44","989","1643",""
"Jacky Bachelot","K1H","223.18","843","1698",""
"Nicolas Verger","K1H","295.18","1361","2530",""
"Lambert Huet","K1H","296.81","-","2549",""
"Sebastien Masseline","K1H","304.43","522","2637",""
"Raphael Lemonnier","K1H","408.89","-","3844",""
"Nicolas Gicquel","K1H","489.74","-","4779",""
"Julien Palier","K1H","Nt","-","-",""
"Luc Durand","K1H","Nt","-","-",""
"Gerald Le Nevanic","K1H","Nt","-","-",""
"Paul Emile Durand","K1H","Nt","-","-",""
"Florian Lemarchand","K1H","Nt","-","-",""
"Benjamin Dolbecq","K1H","Nt","-","-",""
"Leo Letort","K1H","Nt","-","-",""
