"Sélectif Régional de Slalom - Bassin De Servon sur vilaine (la Mecque-1) - Finale - 2016-10-16","Finale","2016-10-16","Régional","217"
"Anthony Drouhin-Hugo Robin","C2H","129.95","-","459.97","Finale A"
"Brieg Le Paih-Lubin Huet","C2H","131.21","-","473.91","Finale A"
"Herve Busson-Christophe Gergaud","C2H","138.8","488.54","557.85","Finale A"
"Jacques Despierres-Vincent Froger","C2H","141.34","-","585.94","Finale A"
"Clement Dubois-Martin Dubois","C2HM","136.57","653.54","533.19","Finale A"
"Martin Braud-Sarah Lyphout","C2M","136.19","-","403.48","Finale A"
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","137.66","416.72","418.38","Finale A"
"Nicolas Bernardy-Anais Bernardy","C2M","142.74","385.4","469.87","Finale A"
"Sarah Despres","K1D","108.49","128.92","190.8","Finale A"
"Anais Bernardy","K1D","111.91","166.79","227.62","Finale A"
"Alice Azam","K1D","116.35","225.7","275.42","Finale A"
"Anne Boixel","K1D","120","214.14","314.71","Finale A"
"Sarah Lyphout","K1D","123","319.64","347.01","Finale A"
"Lou Renaud","K1D","128.87","-","410.19","Finale A"
"Marie-francoise Prigent","K1D","136.02","393.93","487.17","Finale A"
"Camille Prigent","K1D","153.93","60.66","679.97","Finale A"
"Louna Beurel","K1DM","136.82","625.87","495.79","Finale A"
"Camille Castryck","K1DM","138.28","-","511.5","Finale A"
"Laurie Beaurepere","K1DM","153.39","917.37","674.16","Finale A"
"Zoe Marchand","K1DM","159.68","875.85","741.88","Finale A"
"Mathis Soudi","K1H","92.09","192.03","143.13","Finale A"
"Fabien Le Nechet","K1H","94.74","129.04","175.36","Finale A"
"Pol Euzenes","K1H","94.99","116.32","178.4","Finale A"
"Nicolas Bernardy","K1H","96.34","158.94","194.83","Finale A"
"Theo Foucher","K1H","96.63","197.8","198.35","Finale A"
"Gael Prodeau","K1H","96.82","324.65","200.67","Finale A"
"Florian Busson","K1H","96.85","246.83","201.03","Finale A"
"Arthur Mizzi","K1H","99.77","247.21","236.55","Finale A"
"Aurelien Ballandras","K1H","99.79","319.86","236.8","Finale A"
"Nicolas Veillard","K1H","99.83","-","237.28","Finale A"
"Pierre Audouin","K1H","100.93","253.16","250.66","Finale A"
"Anthony Drouhin","K1H","101.13","209.75","253.1","Finale A"
"Herve Busson","K1H","101.38","210.93","256.14","Finale A"
"Timothee Cornu","K1H","101.86","331.22","261.98","Finale A"
"Paul Gestin","K1H","102.68","272.11","271.95","Finale A"
"Melaine Pichard","K1H","104.27","279.27","291.29","Finale A"
"Aubry Bertin","K1H","104.45","218.63","293.48","Finale A"
"Pierre Huan","K1H","104.79","309.72","297.62","Finale A"
"Nathanael Pedron","K1H","105.08","311.34","301.15","Finale A"
"Hugo Regnier","K1H","105.6","196.38","307.47","Finale A"
"Alex Louveau","K1H","105.63","274.43","307.84","Finale A"
"Johann Loiseau","K1H","106.3","209.88","315.99","Finale A"
"Pierre Bourdet","K1H","106.94","255.67","323.77","Finale A"
"Pol Hamon","K1H","107.92","-","335.7","Finale A"
"Gregory Metayer","K1H","109.19","342.76","351.15","Finale A"
"Samuel Le Dean","K1H","109.49","336.29","354.8","Finale A"
"Alexis Bobon","K1H","110.06","320.07","361.73","Finale A"
"Gaetan Robin","K1H","110.11","389.44","362.34","Finale A"
"Killian Flegeau","K1H","111.18","322.7","375.35","Finale A"
"Lucas Soudi","K1H","111.88","322.27","383.87","Finale A"
"Stephane Odot","K1H","112.39","343.48","390.07","Finale A"
"Yann Le Bourser","K1H","112.79","335.09","394.94","Finale A"
"Clement Collardez","K1H","113.36","433.17","401.87","Finale A"
"Arthur Chaumet","K1H","113.58","306.7","404.55","Finale A"
"Pierre Yves Tanguy","K1H","113.76","344.34","406.74","Finale A"
"Brieg Le Paih","K1H","113.76","428.95","406.74","Finale A"
"Vincent Torzec","K1H","115.67","417.68","429.97","Finale A"
"Lubin Huet","K1H","116.2","361.93","436.42","Finale A"
"David Mingasson","K1H","147.56","207.6","817.91","Finale A"
"Loan Queffelec","K1H","149.36","299","839.81","Finale A"
"Nicolas Rouleaud","K1H","155.89","182.48","919.25","Finale A"
"Remi Vinet","K1H","196.13","195.25","1408.76","Finale A"
"Lorin Dumont","K1H","258.81","260.67","2171.26","Finale A"
"Julien Dosse","K1H","Abs","-","-","Finale A"
"Martin Dubois","K1HM","115.49","481.69","427.78","Finale A"
"Thibault Lamour","K1HM","116.39","-","438.73","Finale A"
"GaËtan De Greef","K1HM","118.17","554.98","460.39","Finale A"
"Clement Dubois","K1HM","118.29","497.58","461.85","Finale A"
"Romain Bruneau","K1HM","118.3","453.71","461.97","Finale A"
"Mewen Debliquy","K1HM","118.62","566.54","465.86","Finale A"
"Joris Hello","K1HM","119.78","650.38","479.97","Finale A"
"Younes Kismi","K1HM","123.04","549.09","519.63","Finale A"
"Adrien Pierre","K1HM","123.07","597.2","519.99","Finale A"
"Theo Douady","K1HM","123.85","567.54","529.48","Finale A"
"Romain Malard","K1HM","125.02","-","543.72","Finale A"
"Glen Le Meur","K1HM","126.04","595.9","556.12","Finale A"
"Armand Fougere","K1HM","128.61","658.01","587.39","Finale A"
"Tanguy Odot","K1HM","128.79","582.7","589.58","Finale A"
"Mael Le Goff","K1HM","133.81","811.01","650.64","Finale A"
"Yoann Chipeau","K1HM","135.55","-","671.81","Finale A"
"Nathan Corfmat","K1HM","153.7","-","892.6","Finale A"
"Sarah Despres","C1D","139.03","387.16","437.26","Finale B"
"Anais Pignet","C1D","141.51","406.74","462.41","Finale B"
"Laetitia Odermatt","C1D","146.19","-","509.85","Finale B"
"Sarah Lyphout","C1D","147.1","-","519.07","Finale B"
"Jann Le Corre","C1D","148.31","527.89","531.34","Finale B"
"Johann Loiseau","C1H","122.19","352.41","443.5","Finale B"
"Nicolas Bernardy","C1H","122.95","283.57","452.31","Finale B"
"Timothee Le Mort","C1H","125.08","495.62","476.99","Finale B"
"Arthur Mizzi","C1H","127.17","503.6","501.2","Finale B"
"Martin Braud","C1H","128.91","-","521.36","Finale B"
"Brieg Le Paih","C1H","130.6","-","540.94","Finale B"
"Thomas Salch","C1H","136.25","-","606.4","Finale B"
"Louis Beaumois","C1H","137.1","-","616.24","Finale B"
"Killian Flegeau","C1H","138.77","-","635.6","Finale B"
"Clement Collardez","C1H","142","-","673.02","Finale B"
"Simon Cognard","C1H","143.54","-","690.86","Finale B"
"Regis Navinel-dubois","C1H","145.25","-","710.67","Finale B"
"Yohan Dupont","C1H","146.01","-","719.47","Finale B"
"Florian Lohezic","C1H","146.45","-","724.57","Finale B"
"Yannick Courtay","C1H","147.86","631.12","740.91","Finale B"
"Loan Queffelec","C1H","Abs","-","-","Finale B"
"Younes Kismi","C1HM","139.08","749.28","639.19","Finale B"
"Thibault Lamour","C1HM","142.39","-","677.54","Finale B"
"Mattis Orchilles","C1HM","144.27","887.84","699.32","Finale B"
"Rafael Lerusse","C1HM","152.57","805.55","795.48","Finale B"
"Malo De Bermingham","C1HM","161.58","-","899.87","Finale B"
"Romain Malard","C1HM","165.18","-","941.57","Finale B"
"Armand Fougere","C1HM","175.78","-","1064.39","Finale B"
"Tom Milon","C1HM","Abd","-","-","Finale B"
"Alexis Bizon-Gregory Metayer","C2H","140.75","-","584.42","Finale B"
"Nathanael Pedron-Charles Temple","C2H","142.39","-","602.55","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","144.2","-","622.57","Finale B"
"Romain Branjauneau-Gaetan Robin","C2H","155","-","742","Finale B"
"Guillaume Le Paih-Valentin Le Paih","C2H","162.12","-","820.75","Finale B"
"Agathe Chaumet","K1D","113.76","170.99","252.54","Finale B"
"Jann Le Corre","K1D","127.92","393.35","404.98","Finale B"
"Laetitia Odermatt","K1D","136.05","561.74","492.49","Finale B"
"Romane Bronchet","K1D","139.09","525.36","525.21","Finale B"
"Anais Pignet","K1D","140.56","438.35","541.04","Finale B"
"Pauline Guenery","K1D","141.95","501.64","556","Finale B"
"Anais Robineau","K1D","154.53","708.73","691.43","Finale B"
"Lucie Lemetayer","K1D","165.24","-","806.73","Finale B"
"Denis Guilmard","K1H","102.56","252.47","275.49","Finale B"
"Timothee Le Mort","K1H","103.25","265.2","283.89","Finale B"
"Thomas Brochard","K1H","105.18","286.41","307.36","Finale B"
"Guillaume Maillot","K1H","108.54","321.29","348.24","Finale B"
"Romain Branjauneau","K1H","110.85","274.19","376.34","Finale B"
"Charles Temple","K1H","115.46","389.31","432.42","Finale B"
"Arthur Lagleyze","K1H","115.83","331.17","436.92","Finale B"
"Manuel Coquelin","K1H","116.58","-","446.04","Finale B"
"Simon Cognard","K1H","117.33","-","455.17","Finale B"
"Florent Menard","K1H","118.25","-","466.36","Finale B"
"Aubin Davaic","K1H","118.88","532.31","474.02","Finale B"
"Samuel Flament","K1H","119.34","370.75","479.62","Finale B"
"Guillaume Le Paih","K1H","119.7","592.46","484","Finale B"
"Maxime Berthaut","K1H","120.69","435.36","496.04","Finale B"
"Yohan Dupont","K1H","120.72","471.24","496.41","Finale B"
"Flavien Portier","K1H","120.94","438.04","499.08","Finale B"
"Gaston Canevet","K1H","121.82","504.99","509.79","Finale B"
"Regis Navinel-dubois","K1H","121.96","537.52","511.49","Finale B"
"Alexis Bizon","K1H","122.97","549.29","523.78","Finale B"
"Samuel Vallienne","K1H","123.26","487.95","527.31","Finale B"
"Louis Beaumois","K1H","123.4","647.97","529.01","Finale B"
"Leo Grollier","K1H","123.83","-","534.24","Finale B"
"Jean Yves Prigent","K1H","125.39","423.69","553.22","Finale B"
"Olivier Brochard","K1H","125.89","471.25","559.3","Finale B"
"Antoine Repussard","K1H","126.19","478.38","562.95","Finale B"
"Valentin Le Paih","K1H","126.38","628.02","565.26","Finale B"
"Mael Crespel","K1H","127","634.52","572.8","Finale B"
"Corentin Val","K1H","127.29","691.39","576.33","Finale B"
"Deverig Cardiec","K1H","127.51","596.75","579.01","Finale B"
"Yann Curti","K1H","127.99","2039.45","584.85","Finale B"
"Baptiste Rolland","K1H","130.56","-","616.11","Finale B"
"Christian Le Parc","K1H","131.47","694.69","627.18","Finale B"
"Guillaume Cazee","K1H","131.78","-","630.95","Finale B"
"Pierre Rochon","K1H","132.33","-","637.64","Finale B"
"Louis Gane","K1H","133.94","748","657.23","Finale B"
"Benjamin Borgne","K1H","136.1","817.45","683.5","Finale B"
"Mathieu Menier","K1H","136.23","-","685.08","Finale B"
"Amaury Bioteau","K1H","136.26","-","685.45","Finale B"
"Ewen Ferey","K1H","144.88","781.65","790.31","Finale B"
"Thomas Roy","K1H","146.07","-","804.79","Finale B"
"Raphael Gomez","K1H","147.16","988.26","818.05","Finale B"
"Jean-christophe Dubois","K1H","162.27","866.2","1001.86","Finale B"
"Marin Guillouet","K1H","177.87","-","1191.63","Finale B"
"Thomas Ukalovic","K1HM","127.5","448.62","578.88","Finale B"
"Julien Mizzi","K1HM","129.25","660.05","600.17","Finale B"
"Gaston Guilmard","K1HM","130.1","648.95","610.51","Finale B"
"Louis-felix Marchand","K1HM","130.44","639.19","614.65","Finale B"
"Alexis Carpentey","K1HM","131.4","688.4","626.33","Finale B"
"Rafael Lerusse","K1HM","132.56","688.83","640.44","Finale B"
"Antoine Aubert","K1HM","134.13","-","659.54","Finale B"
"Elouan Pennors","K1HM","135.23","671.72","672.92","Finale B"
"Victor Lagleyze","K1HM","138.06","853.62","707.35","Finale B"
"Matisse Anfray","K1HM","141.85","-","753.45","Finale B"
"Logan Toubel","K1HM","146.26","-","807.1","Finale B"
"Tom Milon","K1HM","149.49","-","846.39","Finale B"
"Thomas Hado","K1HM","170.87","-","1106.48","Finale B"
"Romain Brouard","K1HM","192.62","970.69","1371.06","Finale B"
"Malo De Bermingham","K1HM","194.65","-","1395.76","Finale B"
"Matheo Courgeon","K1HM","227.93","-","1800.6","Finale B"
