"Finale du Championnat Interrégional - Angoulême - Qualification - 2014-05-31","Qualification","2014-05-31","Nationale 3","236"
"Mathias Pannetier","C1H","140.84","671.63","562.12",""
"Adrien Roux","C1H","143.73","622.22","593.13",""
"Jeanfrancis Battesti","C1H","148.18","595.92","640.87",""
"Julien Moreau","C1H","152.33","796.53","685.39",""
"Cyril Launay","C1H","157.16","635.8","737.21",""
"Daniel Bregazzi","C1H","162.98","856.08","799.65",""
"Michel Daupeux","C1H","168.33","780","857.04",""
"Nicolas Lelievre","C1H","Nt","-","-",""
"Dylan Sourbe","C1H","Nt","-","-",""
"Yves Broudic","C1H","Nt","-","-",""
"Olivia Legrix-Djemy Martin","C2D","180.18","686.78","612.44",""
"Matthieu Chauvel-Gaetan Hamelin","C2H","124.61","406.63","327.25",""
"Jacques Despierres-Vincent Froger","C2H","129.95","391.13","381.92",""
"Jerome Blanchet-Gijs Zoetbrood","C2H","130.36","422.56","386.13",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","135.78","337.76","441.63",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","138.19","340.08","466.31",""
"Youn Aubry-Alan Mahe","C2H","139.04","491.37","475.01",""
"Valentin Marteil-Paul Cazee","C2H","140.22","-","487.1",""
"Anthony Drouhin-Augustin Thomas","C2H","141.1","542.56","496.11",""
"Anthony Cadoret-Julien Caillarec","C2H","143.11","338.23","516.69",""
"Theo Desvignes-Arthur Traquet","C2H","148.29","494.3","569.74",""
"Yann Le Bourser-Keliann Le Breton","C2H","150.35","573.87","590.84",""
"Charles Beaumont-Lucas Pagnard - Tissier","C2H","156.04","648.62","649.11",""
"Ludovic Garnier-Nicolas Pelle","C2H","167.7","-","768.51",""
"Sophie Delage-Christian Boob","C2M","158.28","613.17","536.97",""
"Jean Malo Bailleul-Morgane Quemerais","C2M","161.2","593.82","564.38",""
"Zoe Huet","K1D","126.66","271.93","313.8",""
"Emma Lars","K1D","127.01","305.05","317.29",""
"Morgane Quemerais","K1D","129.86","334.84","345.7",""
"Manon Henry","K1D","133.82","301.39","385.18",""
"Lucie Bercon","K1D","134.27","476.31","389.66",""
"Djemy Martin","K1D","135.03","384.05","397.24",""
"Tiphaine Drouin","K1D","135.91","391.3","406.01",""
"Marie Duval","K1D","136.25","349.47","409.4",""
"Annaelle Fontaine","K1D","137.72","389.5","424.05",""
"Enora Bronsard","K1D","139.24","408.22","439.2",""
"Olivia Legrix","K1D","141.51","439.64","461.83",""
"Maiwenn Le Floc'h","K1D","141.57","345.76","462.43",""
"Thiphaine Ruellan","K1D","141.6","463.39","462.74",""
"Nolwenn Le Mehaute","K1D","142.26","605.09","469.31",""
"Christine Le Gall","K1D","143.03","421.62","476.99",""
"Deborah Larsonneur","K1D","144.13","505.66","487.96",""
"Justine Dupont","K1D","144.71","507.88","493.74",""
"Camille Grasland","K1D","144.87","442.41","495.34",""
"Julie Dequeant","K1D","150.7","494.28","553.45",""
"Elsa Toumi","K1D","154.42","490.15","590.53",""
"Helene Baty","K1D","154.78","560.22","594.11",""
"Anais Tinevez","K1D","200.41","558.11","1048.99",""
"Quentin Chauvin","K1H","105.62","234.45","240.94",""
"Theo Lecomte","K1H","106.39","218.2","249.61",""
"Hugues Moret","K1H","107.64","230.27","263.69",""
"Adrien Picco","K1H","108.23","202.57","270.34",""
"Adrien Verite","K1H","108.43","223.2","272.59",""
"Andy Barat","K1H","108.44","261.42","272.7",""
"Cyril Combreau","K1H","108.94","275.04","278.33",""
"Philippe Niquet","K1H","109.37","239.07","283.18",""
"Anthony Cadoret","K1H","109.54","206","285.09",""
"Mathieu Delorme","K1H","110.15","244.93","291.97",""
"Martin Belliot","K1H","110.2","241.35","292.53",""
"Valentin Alliot","K1H","110.28","261.68","293.43",""
"Pol Hamon","K1H","111.11","245.75","302.78",""
"Corentin Douady","K1H","111.19","242.72","303.68",""
"Jacques Precigout","K1H","111.45","229.58","306.61",""
"Matheo Lebaindre","K1H","112.18","246.3","314.83",""
"Corentin Bernard","K1H","112.25","278.38","315.62",""
"Pierre Yves Tanguy","K1H","112.36","259.27","316.86",""
"Anthony Drouhin","K1H","112.88","307.81","322.72",""
"Corentin Moriniaux","K1H","112.91","249.21","323.06",""
"Nicolas Mevel","K1H","112.94","240.47","323.39",""
"Johann Loiseau","K1H","113.13","219.03","325.53",""
"Hoel Carnot","K1H","113.15","370.41","325.76",""
"Alan Mahe","K1H","113.16","308.54","325.87",""
"Jacques Despierres","K1H","113.71","282.53","332.07",""
"Gwenael Marquer","K1H","114.17","276.1","337.25",""
"Emmanuel Cosse","K1H","114.49","304.09","340.85",""
"Theo Renaud","K1H","114.72","293.63","343.44",""
"Erwan Jonin","K1H","114.84","314.69","344.8",""
"Axel Meheust","K1H","114.92","328.02","345.7",""
"Regis Cabel","K1H","115.05","339.72","347.16",""
"Jeremi Toso","K1H","115.09","332.69","347.61",""
"Alain Droniou","K1H","115.15","304.49","348.29",""
"Mathieu Minie","K1H","115.21","354.95","348.96",""
"Quentin Lyphout","K1H","115.23","302.45","349.19",""
"Lorin Dumont","K1H","115.26","267.67","349.53",""
"Youn Aubry","K1H","115.33","319.52","350.32",""
"Manuel Coquelin","K1H","115.39","269.73","350.99",""
"Theo Desvignes","K1H","115.53","314.87","352.57",""
"Jeremy Lecollinet","K1H","115.55","256.04","352.79",""
"Pascal Marrec","K1H","116.51","356.7","363.61",""
"Nathan Flageul","K1H","116.69","283.03","365.64",""
"Nicolas Pelle","K1H","116.74","375.56","366.2",""
"Nicolas Bernardy","K1H","116.85","256.68","367.44",""
"Stephane Debliquy","K1H","117.04","301.59","369.58",""
"Ludovic Le Cointre","K1H","117.18","333.51","371.15",""
"Benoit Lasserre","K1H","117.26","372.77","372.06",""
"Arthur Chaumet","K1H","117.43","259.77","373.97",""
"Lucas Pagnard - Tissier","K1H","117.47","404.14","374.42",""
"Julien Caillarec","K1H","117.69","310.95","376.9",""
"Leo Tasset","K1H","117.72","423.04","377.24",""
"Quentin Le Duc","K1H","117.88","304.96","379.04",""
"Arthur Huet","K1H","118.07","250.55","381.18",""
"Quentin Robert","K1H","118.12","311.03","381.74",""
"Timothee Le Mort","K1H","118.8","261.46","389.4",""
"Mathis Soudi","K1H","118.82","354.68","389.63",""
"Clement Le Collinet","K1H","118.87","446.81","390.19",""
"Simon Seuru","K1H","119.14","271.35","393.23",""
"Romain Poirier","K1H","119.26","406.91","394.59",""
"Valentin Le Moignic","K1H","119.46","265.31","396.84",""
"Theo Foucher","K1H","119.7","330.28","399.54",""
"Dorian Ollivier","K1H","120.06","362.15","403.6",""
"Dylan Sourbe","K1H","120.14","321.75","404.5",""
"Thibaud Chevalier","K1H","120.75","405.68","411.37",""
"Thomas Brochard","K1H","120.76","434.89","411.48",""
"Nicolas Le Belleguic","K1H","120.78","306.31","411.71",""
"Patrick Jegou","K1H","120.8","326.51","411.93",""
"Yann Le Bourser","K1H","120.84","352.29","412.38",""
"Marc-antoine Nannette","K1H","120.85","459.3","412.5",""
"William Simon","K1H","120.86","364.53","412.61",""
"Clement Praille","K1H","120.86","299.23","412.61",""
"Arthur Traquet","K1H","121.61","317.28","421.06",""
"Maxime Goursaud","K1H","121.98","512.45","425.22",""
"Guillaume De Fierville","K1H","122.31","286.5","428.94",""
"Augustin Thomas","K1H","122.46","396.38","430.63",""
"Lucas Joubert","K1H","122.46","377.96","430.63",""
"Charles Beaumont","K1H","123.04","481.76","437.17",""
"Pierre-louis Vergnault","K1H","123.1","458.56","437.84",""
"Alan Olivo","K1H","123.37","418.8","440.88",""
"Pierre Texier","K1H","123.41","363.87","441.33",""
"Brice Guintard","K1H","123.84","377.42","446.18",""
"Francois Poirier","K1H","123.94","300.37","447.3",""
"Axel Delage","K1H","123.98","377.18","447.75",""
"Cyril Launay","K1H","124.13","378.44","449.44",""
"Keliann Le Breton","K1H","124.41","442.69","452.6",""
"Thomas Launay","K1H","124.49","314.62","453.5",""
"Axel Gauthard","K1H","124.53","492.37","453.95",""
"Lucas Godevin","K1H","124.55","379.28","454.17",""
"Quentin Brillaut","K1H","125.15","372.27","460.93",""
"Paul Cazee","K1H","125.48","460.97","464.65",""
"Luc Le Diouron","K1H","125.61","490.18","466.12",""
"Paul Tallet Pinet","K1H","125.78","496.92","468.03",""
"Nicolas Leconte","K1H","125.81","401.84","468.37",""
"Pierre Branger","K1H","126.28","405.42","473.66",""
"Edouard Anne","K1H","126.42","455.16","475.24",""
"Thibault Gautherot","K1H","126.54","384.64","476.59",""
"Quentin Famechon","K1H","126.64","400.64","477.72",""
"Valentin Soullard","K1H","126.77","412.79","479.18",""
"Loann Le Guyader","K1H","127.74","449.35","490.11",""
"Quentin Gaule","K1H","127.85","379.43","491.35",""
"Nathan De Saint Just","K1H","128.1","482","494.16",""
"Wilfried Truffy","K1H","128.44","505.24","497.99",""
"Samuel Flament","K1H","129.16","430.12","506.1",""
"Melvil Boschel","K1H","129.29","407.55","507.57",""
"Jerome Saliou","K1H","129.36","454.49","508.36",""
"Mathis Daniel","K1H","129.75","502.64","512.75",""
"Maxime Barrault","K1H","129.97","313.31","515.23",""
"Ludovic Couture","K1H","130.75","351.32","524.02",""
"Nathan Dalaine","K1H","130.94","431.17","526.16",""
"Pierrick Meheust","K1H","131.37","461.19","531",""
"Aymeric Poirier","K1H","131.49","401.32","532.35",""
"Jean Christophe Olivo","K1H","131.52","515.99","532.69",""
"Samuel Breton","K1H","131.85","488.29","536.41",""
"Louis Demoulin-petit","K1H","131.97","488.38","537.76",""
"Kylian Lavole","K1H","132.38","546.51","542.38",""
"Alexis Brule","K1H","132.48","495.4","543.5",""
"Gwenael Coadou","K1H","133.62","584.13","556.34",""
"Ludovic Garnier","K1H","134.55","484.42","566.82",""
"Leo Aranda","K1H","135.43","595.53","576.73",""
"Christophe Dieumegard","K1H","135.58","523.97","578.42",""
"Jordan Daniel","K1H","135.62","620.19","578.87",""
"Valentin Rault","K1H","135.8","462.24","580.9",""
"Thomas Pineau","K1H","136.6","525.93","589.91",""
"Valentin Le Paih","K1H","136.71","583.18","591.15",""
"Raphael Jean","K1H","136.9","497.33","593.29",""
"Daniel Bregazzi","K1H","137.02","492.7","594.64",""
"Nicolas Perrin","K1H","137.4","588.38","598.92",""
"Thibaud Le Berre","K1H","137.64","809.22","601.63",""
"Armand Vergnault","K1H","140.13","602.88","629.68",""
"Maxime Bouvet","K1H","140.16","691.62","630.01",""
"Alexandre Jaffre","K1H","140.35","551.55","632.15",""
"Eloann Le Fur","K1H","142","591.46","650.74",""
"Arthur Millet","K1H","142.39","660.16","655.13",""
"Frederic Foubert","K1H","143.09","628.18","663.02",""
"Michel Daupeux","K1H","143.66","667.63","669.44",""
"Christian Le Parc","K1H","144.93","715","683.75",""
"Emile Laurent","K1H","145.75","639.88","692.98",""
"Romain Rageau","K1H","145.96","698.13","695.35",""
"Sylvain Premel","K1H","146.33","905.09","699.52",""
"Thierry Le Bonniec","K1H","148.63","709.28","725.43",""
"Ali Kismi","K1H","151.21","837.73","754.49",""
"Thierry Dugue","K1H","152.92","741.51","773.75",""
"Jordan Dieusaert","K1H","157.16","741.65","821.51",""
"Julien Moreau","K1H","158.23","756.34","833.57",""
"Samuel Le Dean","K1H","192.14","736.39","1215.55",""
"Olivier Bourdet","K1H","203.33","748.44","1341.6",""
