"Championnat Régional de Slalom - 27290 Montfort Sur Risle - Finale - 2020-10-18","Finale","2020-10-18","Régional","174"
"Matthis Fradin","K1H","120.34","658.18","795.54","Finale B"
"Paul Le Boulanger","K1H","120.42","880.94","796.71","Finale B"
"Maxence Galy","K1H","123.24","815.01","837.78","Finale B"
"Samuel Bonvalet","K1H","123.64","843.53","843.61","Finale B"
"Sylvain Vicquelin","K1H","124.84","837.35","861.09","Finale B"
"Olivier Dulouard","K1H","124.86","711.76","861.38","Finale B"
"Alexandre Mauger","K1H","126.74","743.79","888.76","Finale B"
"Brice Marchel","K1H","127.21","927.69","895.61","Finale B"
"Quentin Samson","K1H","130.1","836.45","937.7","Finale B"
"Matteo Carpentier","K1H","133.74","1423.37","990.72","Finale B"
"Benjamin Audrin","K1H","133.88","1298.44","992.76","Finale B"
"Evann Perier","K1H","136.18","1221.09","1026.26","Finale B"
"Augustin Braud","K1H","137.94","1079.45","1051.89","Finale B"
"Noa Harel","K1H","139.58","1042.86","1075.78","Finale B"
"Alain Wuilque","K1H","145.7","1066.92","1164.92","Finale B"
"Thomas Caviole","K1H","248.54","1123.53","2662.8","Finale B"
"Max Boivin","K1HM","126.86","823.76","890.51","Finale B"
"Erwan Cazier","K1HM","160.74","1461.82","1383.98","Finale B"
"Paul Giron","K1HM","170.28","1350.38","1522.93","Finale B"
"Enzo Clupty","K1HM","184.6","994.12","1731.5","Finale B"
"Brice Becel","K1HM","192.52","2022.58","1846.86","Finale B"
