"SÈlectif RÈgional Slalom de l'Isle de la Serre - 01150 Lagnieu - Course n∞1 | Finale - 2019-10-26","Course n∞1 | Finale","2019-10-26","RÈgional","233"
"Cedric Mace","K1H","115.98","343.5","420.29","Course n∞1 | Finale A"
"Jonathan Himpens","K1H","116.29","333.07","423.98","Course n∞1 | Finale A"
"Sebastien Lepaulard","K1H","117.28","389.24","435.76","Course n∞1 | Finale A"
"Titouan Sourieau","K1H","117.8","433.7","441.95","Course n∞1 | Finale A"
"Baptiste Duboc","K1H","119.6","400.17","463.37","Course n∞1 | Finale A"
"Loic Bourgeois","K1H","121.15","434.79","481.82","Course n∞1 | Finale A"
"Adrien Jacquemet","K1H","124.65","566.57","523.48","Course n∞1 | Finale A"
"Daniel Chambert","K1H","126.58","477.78","546.45","Course n∞1 | Finale A"
"Theo Brun","K1H","129.64","310.19","582.87","Course n∞1 | Finale A"
"Maxime Melmont","K1H","133.76","1492.56","631.91","Course n∞1 | Finale A"
"Matteo Roubaud","K1H","135.49","556.9","652.5","Course n∞1 | Finale A"
"Sylvain Dandel","K1H","153.04","414.12","861.38","Course n∞1 | Finale A"
"Aurelien Merieux Danneaux","K1H","156.15","303.73","898.4","Course n∞1 | Finale A"
"Nathan Hossin","K1H","158.67","227.49","928.39","Course n∞1 | Finale A"
"Arthur Contamine","K1H","174.28","274.25","1114.18","Course n∞1 | Finale A"
"Axel Brossat","K1HM","114.59","530.79","403.74","Course n∞1 | Finale A"
"Ianis Triomphe","K1HM","118.86","396.49","454.57","Course n∞1 | Finale A"
"Clement Dancette","K1HM","118.92","380.87","455.28","Course n∞1 | Finale A"
"Victor Eduardo Carneiro Gomes","K1HM","120.04","596.31","468.61","Course n∞1 | Finale A"
"Luca Chapatte","K1HM","120.39","384.69","472.78","Course n∞1 | Finale A"
"Clement Raul","K1HM","122.19","625.12","494.2","Course n∞1 | Finale A"
"Anton Coux","K1HM","122.33","564.36","495.87","Course n∞1 | Finale A"
"Arthur Blocquaux","K1HM","126.18","489.91","541.69","Course n∞1 | Finale A"
"Joao Normand","K1HM","131.73","483.81","607.75","Course n∞1 | Finale A"
"Yuha Egraz","K1HM","133.07","747.2","623.7","Course n∞1 | Finale A"
"Victorien Pittion","K1HM","137.53","762.51","676.78","Course n∞1 | Finale A"
"Elie Sutra","K1HM","139.57","542.54","701.06","Course n∞1 | Finale A"
"Rafael Parnotte","K1HM","142.26","740.86","733.08","Course n∞1 | Finale A"
"Loris Allamachere","K1HM","144.43","648.98","758.9","Course n∞1 | Finale A"
"Oc…ane Noel","C1D","Des","-","-","Course n∞1 | Finale B"
"Pauline Lybrecht","C1D","Des","-","-","Course n∞1 | Finale B"
"Hugo Tellier","C1H","115.72","377.11","356.61","Course n∞1 | Finale B"
"Enki Georgel","C1H","120","379.9","405.13","Course n∞1 | Finale B"
"Jean Marc Trenchant","C1H","134.48","442.17","569.26","Course n∞1 | Finale B"
"Cedric Mace","C1H","134.68","521.89","571.53","Course n∞1 | Finale B"
"Simon Tourtois","C1H","135.06","1305.16","575.84","Course n∞1 | Finale B"
"Loic Bourgeois","C1H","144.12","517.14","678.53","Course n∞1 | Finale B"
"Gaspard Gonseth","C1H","146.82","574.64","709.14","Course n∞1 | Finale B"
"Thibaud Chovin","C1H","169.32","826.58","964.18","Course n∞1 | Finale B"
"Oscar Pasteur","C1H","178.49","675.04","1068.12","Course n∞1 | Finale B"
"Titouan Sourieau","C1H","178.55","710.2","1068.81","Course n∞1 | Finale B"
"Dominique Bonnot","C1H","198.67","2035.03","1296.88","Course n∞1 | Finale B"
"Maxime Devis","C1H","200.79","585.88","1320.91","Course n∞1 | Finale B"
"Alexei Evlachev","C1H","293.74","1419.12","2374.52","Course n∞1 | Finale B"
"Jules Sourieau","C1H","323.55","614.75","2712.43","Course n∞1 | Finale B"
"David Monnet","C1H","484.83","1623.86","4540.59","Course n∞1 | Finale B"
"Patrice Campioni","C1H","Abs","-","-","Course n∞1 | Finale B"
"Clement Dancette","C1HM","139.37","966.09","624.68","Course n∞1 | Finale B"
"Nil Georgel-Anneline Triomphe","C2M","Abs","-","-","Course n∞1 | Finale B"
"Charlotte Grenier","K1D","138.32","402.41","501.78","Course n∞1 | Finale B"
"Lucile Bessot","K1D","150.57","870.05","630.81","Course n∞1 | Finale B"
"Aurore Durris","K1D","153.9","602.97","665.89","Course n∞1 | Finale B"
"Merieme Bekkadour","K1D","160.36","609.68","733.92","Course n∞1 | Finale B"
"Pauline Lybrecht","K1D","179.69","591.1","937.53","Course n∞1 | Finale B"
"Daphnee Guyard","K1D","188.74","781.44","1032.85","Course n∞1 | Finale B"
"Maœa Raoul","K1D","193.8","1075.53","1086.14","Course n∞1 | Finale B"
"Camille Vion Delphin","K1D","206.37","503.35","1218.54","Course n∞1 | Finale B"
"Lucie Fromentoux","K1D","211.04","1239.4","1267.73","Course n∞1 | Finale B"
"Fantine Hortolan","K1D","214.42","982.28","1303.33","Course n∞1 | Finale B"
"Marguerite Mathey","K1D","225.8","1380.18","1423.2","Course n∞1 | Finale B"
"Lucie Lemaire","K1D","228.39","816.15","1450.48","Course n∞1 | Finale B"
"Oc…ane Noel","K1D","245.71","604.47","1632.9","Course n∞1 | Finale B"
"Jade Isner","K1D","403.98","747.26","3299.93","Course n∞1 | Finale B"
"Valentine Mathieu","K1D","409.92","2288.02","3362.5","Course n∞1 | Finale B"
"Emma Miton","K1D","Abs","-","-","Course n∞1 | Finale B"
"Lou-ann Delmotte","K1D","Abd","-","-","Course n∞1 | Finale B"
"Leonie Reichert","K1DM","211.57","742.56","1273.31","Course n∞1 | Finale B"
"Lynn Giordano Bobee","K1DM","228.36","2415.33","1450.17","Course n∞1 | Finale B"
"Secil Onur","K1DM","296.12","816.12","2163.86","Course n∞1 | Finale B"
"Camille Coulonval","K1DM","Des","-","-","Course n∞1 | Finale B"
"Etienne Wiche","K1H","98.88","175.44","221.76","Course n∞1 | Finale B"
"Maxime Devis","K1H","109.77","388.29","351.38","Course n∞1 | Finale B"
"Florian Jumetz","K1H","113.67","381.42","397.79","Course n∞1 | Finale B"
"Jules Sourieau","K1H","114.02","538.74","401.96","Course n∞1 | Finale B"
"Remy Beal","K1H","116.84","445.89","435.52","Course n∞1 | Finale B"
"Owen Merpillat","K1H","118.81","380.72","458.97","Course n∞1 | Finale B"
"Clement Coulon","K1H","120.69","564.32","481.35","Course n∞1 | Finale B"
"Mattheo Szkuta","K1H","121.5","645.59","490.99","Course n∞1 | Finale B"
"Jeremy Rouet","K1H","122.31","508.68","500.63","Course n∞1 | Finale B"
"Antonin Castille","K1H","123.31","445.12","512.53","Course n∞1 | Finale B"
"Felix Balas","K1H","124.73","632.16","529.43","Course n∞1 | Finale B"
"Gaspard Gonseth","K1H","125.34","524.96","536.69","Course n∞1 | Finale B"
"Cosme Duboc","K1H","125.69","495.87","540.86","Course n∞1 | Finale B"
"Basile Monzerian","K1H","126.17","459.63","546.57","Course n∞1 | Finale B"
"Boris Lutinier","K1H","126.24","551.41","547.4","Course n∞1 | Finale B"
"Guillaume Mele","K1H","127.98","695.01","568.11","Course n∞1 | Finale B"
"Clement Blancgras","K1H","128.08","719.55","569.3","Course n∞1 | Finale B"
"Florent Vallier","K1H","128.67","507.5","576.33","Course n∞1 | Finale B"
"Thibaut Jumetz","K1H","129.97","624.61","591.8","Course n∞1 | Finale B"
"Oscar Pasteur","K1H","130.71","510.18","600.61","Course n∞1 | Finale B"
"Matthieu Fontanez","K1H","131.65","597.48","611.79","Course n∞1 | Finale B"
"Laurent Brossat","K1H","132.04","542.84","616.44","Course n∞1 | Finale B"
"Simon Lescaut","K1H","132.15","632.44","617.75","Course n∞1 | Finale B"
"Maxence Violy","K1H","132.49","790.44","621.79","Course n∞1 | Finale B"
"Mathys Rene","K1H","134.53","535.41","646.07","Course n∞1 | Finale B"
"Charlie Bouvier","K1H","137.97","656.98","687.02","Course n∞1 | Finale B"
"Francisco Lafarga","K1H","138.07","739.17","688.21","Course n∞1 | Finale B"
"Justin Murphy","K1H","138.66","680.06","695.23","Course n∞1 | Finale B"
"Alexei Evlachev","K1H","138.7","547.34","695.7","Course n∞1 | Finale B"
"Titouan Gony","K1H","148.77","666.41","815.56","Course n∞1 | Finale B"
"Hugo Ausseresse","K1H","149.28","752.37","821.63","Course n∞1 | Finale B"
"Isaac Pinneau","K1H","149.55","591.29","824.84","Course n∞1 | Finale B"
"Clement Innocenti","K1H","150.02","690.71","830.44","Course n∞1 | Finale B"
"Emerick Billon","K1H","151.34","646.66","846.15","Course n∞1 | Finale B"
"Clement Thiolier-depras","K1H","154","779.5","877.81","Course n∞1 | Finale B"
"Tom Ollinet","K1H","160.09","656.18","950.29","Course n∞1 | Finale B"
"Esteban Reder-issartel","K1H","160.21","396.53","951.72","Course n∞1 | Finale B"
"Gabin Belot","K1H","162.41","1189.2","977.9","Course n∞1 | Finale B"
"Baptiste Tonnerre","K1H","166.81","1405.42","1030.27","Course n∞1 | Finale B"
"Sebastien Cottrant","K1H","171.99","808.67","1091.92","Course n∞1 | Finale B"
"Emilien Charrier","K1H","179.3","759.11","1178.93","Course n∞1 | Finale B"
"Sebastien Chapatte","K1H","180.01","475.85","1187.38","Course n∞1 | Finale B"
"Matthieu Poquerus","K1H","180.49","1068.64","1193.09","Course n∞1 | Finale B"
"Mathieu Meilier","K1H","186.24","652.31","1261.53","Course n∞1 | Finale B"
"Ga l Bonnot","K1H","187.3","900.81","1274.15","Course n∞1 | Finale B"
"Alexandre Olivier","K1H","205.6","2297.35","1491.95","Course n∞1 | Finale B"
"Quentin Meilier","K1H","207.25","711.64","1511.59","Course n∞1 | Finale B"
"David Monnet","K1H","269.15","1135.32","2248.33","Course n∞1 | Finale B"
"Victorien Lombard","K1H","286.34","497.31","2452.93","Course n∞1 | Finale B"
"Virgile Lampert","K1H","312.72","2687.36","2766.91","Course n∞1 | Finale B"
"Victor Perrot","K1H","427.53","890.29","4133.39","Course n∞1 | Finale B"
"Nicolas Vattan","K1H","577.61","4963.64","5919.65","Course n∞1 | Finale B"
"Michel Claveau","K1H","Abd","-","-","Course n∞1 | Finale B"
"Ivan Parnotte","K1H","Des","-","-","Course n∞1 | Finale B"
"Timothee Clep","K1HM","133.49","623.59","633.69","Course n∞1 | Finale B"
"Teo Touzet","K1HM","134.57","650.35","646.55","Course n∞1 | Finale B"
"Romain Moret","K1HM","140.7","590.48","719.51","Course n∞1 | Finale B"
"Dorian Oriol","K1HM","142.89","715.13","745.57","Course n∞1 | Finale B"
"Liam Mabilat","K1HM","151.37","702.16","846.5","Course n∞1 | Finale B"
"Alexandre Roubaud","K1HM","152.39","751.08","858.64","Course n∞1 | Finale B"
"Benjamin Peuch","K1HM","154.8","1635.75","887.33","Course n∞1 | Finale B"
"Jules Raoul","K1HM","170.83","628.01","1078.12","Course n∞1 | Finale B"
"Landry Roussel","K1HM","215.37","2061.98","1608.24","Course n∞1 | Finale B"
"Nils Biermans","K1HM","225.19","685.24","1725.12","Course n∞1 | Finale B"
"Gustave Gonseth","K1HM","231.79","762.92","1803.67","Course n∞1 | Finale B"
"Teo Vidoni","K1HM","244.35","648.11","1953.16","Course n∞1 | Finale B"
"Antoine Carrere","K1HM","384.94","2344.29","3626.48","Course n∞1 | Finale B"
