"Finale de la Coupe de France N1 - Bourg St Maurice - Qualification - Manche 1 - 2016-07-30","Qualification - Manche 1","2016-07-30","Nationale 1","212"
"Jules Chaumet","C1H","108.27","219.25","241.25",""
"Nicolas Scianimanico","C1H","108.74","192.53","246.3",""
"Julian Othenin-girard","C1H","110.52","213.72","265.39",""
"Nathan Rene Corail","C1H","111.75","169.52","278.6",""
"Charles Dampeyrou","C1H","111.97","349.21","280.96",""
"Jason Brothier","C1H","112.37","114.44","285.25",""
"Jerome Blanchet","C1H","113.86","202.38","301.24",""
"Johan Pucheou","C1H","158.1","237.08","775.99",""
"Ewen Legrand","C1H","159.14","221.94","787.16",""
"Louison Tanet","C1H","159.24","213.02","788.23",""
"Gaetan Hamelin","C1H","171.27","218.74","917.33",""
"Galaad Pereyron","C1H","217.66","199.67","1415.16",""
"Riwan Guillermic","C1H","261.07","215.62","1881.01",""
"Marc Biazizzo","C1H","Abs","-","-",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","96.34","69.93","66.23",""
"Antoine Roux-Gurgen Brun","C2H","103.14","136.97","135.89",""
"Yves Prigent-Loic Kervella","C2H","104.18","88.37","146.54",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","105.29","73.88","157.91",""
"Lucas Hives - Sorin-Lorin Dumont","C2H","111.18","292.2","218.25",""
"Theo Roisin-Hugo Crepeau","C2H","111.83","238.71","224.91",""
"Louison Turmeau-Thibaut Perroteau","C2H","116.3","243.76","270.69",""
"Malo Poles-Baptiste Le Poncin","C2H","119.57","200.13","304.19",""
"Nicolas Coudert-Yann Le Govic","C2H","120.16","834.34","310.23",""
"Melenn Aubry-Alan Dollo","C2H","122.62","239.91","335.44",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","125.71","265.53","367.09",""
"Arnaud Lapeze-Louis Georges Lafont","C2H","126.8","286.06","378.25",""
"Valentin Marteil-Paul Cazee","C2H","142.43","296.4","538.36",""
"Hugo Biso-Pierre Picco","C2H","150.48","70.4","620.82",""
"Alan Mahe-Matheo Lebaindre","C2H","174.83","283.31","870.25",""
"Nicolas Labat-Christophe Marechal","C2H","209.74","277.82","1227.86",""
"Maxime Bottex-Titouan Dupras","C2H","223.89","307.63","1372.8",""
"Jason Brothier-Maxime Texier","C2H","230.39","239.44","1439.38",""
"Lucie Baudu","K1D","98.85","50.53","65.06",""
"Solene Graille","K1D","101.31","76.36","89.59",""
"Berenice Kolenc","K1D","101.91","83.45","95.57",""
"Romane Prigent","K1D","102.26","92.38","99.06",""
"Flora Huvelin","K1D","102.59","69.04","102.35",""
"Joana Palermo","K1D","103.17","115.44","108.14",""
"Sarah Despres","K1D","103.66","150.33","113.02",""
"Caroline Loir","K1D","104.05","137.3","116.91",""
"Pauline Guiet","K1D","104.67","32.3","123.09",""
"Lea Turmeau","K1D","104.96","99.45","125.99",""
"Lea Wetzel","K1D","105.16","137.23","127.98",""
"Julie Neime","K1D","105.71","81.43","133.47",""
"Estelle Hellard","K1D","107.37","97.61","150.02",""
"Julie Labarelle","K1D","107.48","175.25","151.11",""
"Lucie Prioux","K1D","107.79","115.84","154.21",""
"Emeline Oudet","K1D","107.88","120.21","155.1",""
"Cecile Tixier","K1D","108.22","158.95","158.49",""
"Claire Gaigeot","K1D","108.25","147.85","158.79",""
"Caroline Bourry","K1D","108.86","127.79","164.88",""
"Joey Bercon","K1D","110.38","136.7","180.03",""
"Lisa Mouffle","K1D","110.82","136.67","184.42",""
"Emilie Delahaye","K1D","122.95","261.74","305.37",""
"Manon Prioux","K1D","149.09","196.11","566.04",""
"Agathe Chaumet","K1D","161.94","170.99","694.17",""
"Emilie Hernandez-brossard","K1D","208.33","254.85","1156.76",""
"Annaelle Meheut","K1D","Abs","-","-",""
"Martin Dougoud","K1H","86.35","36.11","52.35",""
"Thomas Bersinger","K1H","86.94","41.92","59",""
"Pierre Bourliaud","K1H","87.3","25.32","63.06",""
"Yves Prigent","K1H","87.36","32.19","63.73",""
"Edgar Prigent","K1H","87.63","82.09","66.77",""
"Benoit Guillaume","K1H","87.67","37.48","67.22",""
"Mathieu Desnos","K1H","87.79","53.55","68.58",""
"Janos Peterlin","K1H","87.82","49.25","68.91",""
"Mathieu Biazizzo","K1H","87.82","37.96","68.91",""
"Ludovic Di Nisi","K1H","88.17","58.78","72.86",""
"Antoine Launay","K1H","88.28","82.94","74.1",""
"Quentin Mignard","K1H","88.49","63.05","76.46",""
"Malo Quemeneur","K1H","88.5","67.88","76.58",""
"Quentin Bove","K1H","88.8","131.66","79.96",""
"Clement Travert","K1H","88.83","54.47","80.3",""
"Tom Scianimanico","K1H","89","65.17","82.21",""
"Etienne Daille","K1H","89.09","30.33","83.23",""
"Benjamin Buys","K1H","89.32","-","85.82",""
"Mathurin Madore","K1H","89.71","76.73","90.21",""
"Thomas Schmitt","K1H","89.92","59.4","92.58",""
"Nicolas Abbal","K1H","89.93","60.39","92.69",""
"Thomas Rosset","K1H","89.97","34.41","93.14",""
"Martin Daviet","K1H","90.04","69.87","93.93",""
"Bertrand Gutierrez","K1H","90.13","90.56","94.94",""
"Manuel Munsch","K1H","90.21","169.58","95.85",""
"Gurgen Brun","K1H","90.3","77.6","96.86",""
"Thibault Marchand","K1H","90.31","87.23","96.97",""
"Renaud Doby","K1H","90.52","75.84","99.34",""
"Pol Oulhen","K1H","90.56","48.42","99.79",""
"Benjamin Jacon","K1H","90.75","88.34","101.93",""
"William Desnos","K1H","90.8","100.24","102.49",""
"Kevin Schultz","K1H","90.9","92.04","103.62",""
"Quentin Burgi","K1H","90.96","41.4","104.3",""
"Benjamin Travostino","K1H","91.17","53.48","106.66",""
"Titouan Dupras","K1H","91.24","103.18","107.45",""
"Thomas Durand","K1H","91.34","136.52","108.58",""
"Fabien Le Nechet","K1H","91.38","168.49","109.03",""
"Sami Rocher","K1H","91.55","92.69","110.94",""
"Louis Georges Lafont","K1H","91.56","168.84","111.06",""
"Louison Turmeau","K1H","91.61","83.65","111.62",""
"Arnaud Lapeze","K1H","92.02","147.76","116.24",""
"Christophe Marechal","K1H","92.05","105.57","116.58",""
"Alexandre Lucas","K1H","92.08","138.25","116.92",""
"Eric Lamour","K1H","92.27","166.81","119.06",""
"Damien Launay","K1H","92.45","130.89","121.09",""
"Pierre Marie Roussel","K1H","92.82","180.2","125.25",""
"Boris Chenal","K1H","92.84","80.94","125.48",""
"Julien Haberland","K1H","92.91","104.14","126.27",""
"Romain Faurie","K1H","93.14","98.05","128.86",""
"Benoit Chantry","K1H","93.18","118.19","129.31",""
"Emmanuel Walczak","K1H","93.46","246.29","132.47",""
"Jerome Olhagaray","K1H","93.56","170.98","133.59",""
"Yann Le Govic","K1H","93.56","75.69","133.59",""
"Jules Bevalot","K1H","93.62","202.35","134.27",""
"Nicolas Labat","K1H","93.65","163.82","134.61",""
"Matthieu Le Gall","K1H","93.85","198.98","136.86",""
"Leo Fournier","K1H","93.87","175.32","137.09",""
"Enrick Cunsolo","K1H","93.93","60.43","137.76",""
"Sebastien Nouvel","K1H","93.97","120.71","138.21",""
"Nicolas Baudoin","K1H","94.06","118.81","139.23",""
"Samuel Lhegu","K1H","94.11","111.05","139.79",""
"Alan Dollo","K1H","94.11","108.79","139.79",""
"Vincent Ablin","K1H","94.26","195.25","141.48",""
"Goulwen Chapelier","K1H","94.93","78.13","149.03",""
"Charlie Barbier","K1H","95.07","127.1","150.61",""
"Kendaor Le Huitou","K1H","95.14","98.74","151.4",""
"Lucas Galmiche","K1H","95.27","195.33","152.86",""
"Antoine Roux","K1H","95.53","148.7","155.79",""
"Romain Guyomard","K1H","95.55","214.28","156.02",""
"James Duvernoy","K1H","95.69","96.65","157.59",""
"Paul Cornut-chauvinc","K1H","95.81","99.2","158.95",""
"Antoine Gaillard","K1H","95.84","182.13","159.28",""
"Benjamin Thiboust","K1H","95.87","173.59","159.62",""
"Maxime Bottex","K1H","96.42","108.72","165.82",""
"Pierre Giudicelli","K1H","96.52","104.55","166.95",""
"Nicolas Rouleaud","K1H","96.64","191.9","168.3",""
"Valentin Brindeau","K1H","96.77","130.12","169.76",""
"Remi Vinet","K1H","96.82","206.33","170.33",""
"Fabien Tournadre","K1H","96.86","172.69","170.78",""
"Laurent Starck","K1H","97.5","180.6","177.99",""
"Jonathan Chapatte","K1H","97.75","189.93","180.81",""
"Nicolas Feuillard","K1H","98.34","189.04","187.45",""
"Cedric Jegouzo","K1H","98.43","171.55","188.47",""
"Maxime Foucault","K1H","98.52","158.64","189.48",""
"Maxime Tilhet","K1H","99.17","121.22","196.81",""
"Quentin Moreaux","K1H","101.49","196.81","222.95",""
"Ewen Legrand","K1H","102.05","108.87","229.26",""
"Maxime Di Lauro","K1H","102.94","191.65","239.29",""
"Louis Masson","K1H","104.84","176.11","260.7",""
"Pol Euzenes","K1H","109.52","116.32","313.43",""
"Guillaume Graille","K1H","141.91","67.46","678.4",""
"Aubry Bertin","K1H","145.86","218.63","722.91",""
