"Sélectif Régional - Servon sur Vilaine - 2011-11-27","Course 1","2011-11-27","Régional","181"
"Ludovic Garnier-Nicolas Pelle","C2H","154.3","-","490.11",""
"Ludovic Gaignon-Charles Bailly","C2H","157.9","-","526.7",""
"Anthony Drouhin-Augustin Thomas","C2H","167.2","-","621.24",""
"Yves Lallement-Yves Dubrul","C2H","178.7","-","738.14",""
"Brieuc Davost-Anthony Lepesteur","C2H","207.4","-","1029.86",""
"Maxime Beaulieu-Quentin Moret De Rocheprise","C2H","Nt","-","-",""
"Basile Desclos-Victor Desclos-le Peley","C2H","Nt","-","-",""
"Leri Muller-Lena Caudan","C2M","171.7","-","548.65",""
"Antonin Leray-Coralie Belnoue","C2M","178.1","-","609.3",""
"Vincent Dubois-Adele Renard","C2M","Nt","-","-",""
"Anne Boixel","K1D","122.3","-","131.83",""
"Lise Vinet","K1D","123.38","144.97","142.52",""
"Valerie Sibioude","K1D","123.83","128.89","146.97",""
"Camille Prigent","K1D","127.53","194.49","183.58",""
"Sarah Despres","K1D","129.3","124.81","201.1",""
"Lou Renaud","K1D","130.39","185.64","211.88",""
"Marie-francoise Prigent","K1D","135.57","209.04","263.13",""
"Suzy Merand","K1D","138.3","278.53","290.15",""
"Suzanne Ridoux","K1D","143.6","-","342.6",""
"Marie Landais","K1D","144.59","-","352.39",""
"Melanie Chotard","K1D","146.54","450.63","371.68",""
"Coralie Belnoue","K1D","147.12","340.57","377.43",""
"Anais Pignet","K1D","150.2","575.49","407.9",""
"Adele Renard","K1D","154.94","487.98","454.8",""
"Lena Caudan","K1D","169.82","-","602.04",""
"Ivanna Mesples","K1D","172.52","-","628.76",""
"Johanna Beduneau","K1D","230.1","-","1198.51",""
"Oswald Besch","K1H","101.65","14.76","58.26",""
"Yann Le Govic","K1H","103.02","7.5","73.58",""
"Samuel Lhegu","K1H","103.44","46","78.27",""
"Yves Prigent","K1H","103.49","48.96","78.83",""
"Romain Lecrenais-perrel","K1H","103.84","79.89","82.75",""
"Nicolas Veillard","K1H","104.81","40.5","93.59",""
"Tanguy Le Marec","K1H","105.15","65.05","97.39",""
"Boris Pernelle","K1H","105.5","83.28","101.31",""
"Vincent Lemonnier","K1H","108.08","90.82","130.16",""
"Jonas Turmeau","K1H","108.64","75.14","136.42",""
"Gael Prodeau","K1H","109.56","84.1","146.7",""
"Joris Rocher","K1H","110.68","127.28","159.23",""
"Thibaud Vielliard","K1H","110.72","-","159.67",""
"Nowan Bertin","K1H","111.11","111.94","164.03",""
"Louison Turmeau","K1H","111.42","116.4","167.5",""
"Herve Busson","K1H","111.92","63.24","173.09",""
"Maxime Beaulieu","K1H","112.27","156.19","177.01",""
"Kevin Lemenaheze","K1H","112.48","139.4","179.35",""
"Stephane Odot","K1H","113.67","142.61","192.66",""
"Pierre Yves Tanguy","K1H","114.51","179.67","202.05",""
"Antoine Dubost","K1H","114.61","151.57","203.17",""
"Cedric Joly","K1H","114.68","236.91","203.95",""
"Simon Seuru","K1H","115.12","220.88","208.87",""
"Vincent Froger","K1H","115.15","130.95","209.21",""
"Pierre Audouin","K1H","115.32","179.64","211.11",""
"Simon Despres","K1H","115.83","118.86","216.81",""
"Theo Quenouillere","K1H","116.64","222.18","225.87",""
"Thibault Marchand","K1H","116.65","214.31","225.98",""
"Frederic Castryck","K1H","117.14","-","231.46",""
"Florian Lepretre","K1H","117.36","-","233.92",""
"Jerome Le Hegarat","K1H","117.51","-","235.59",""
"Jean Yves Prigent","K1H","117.58","173.97","236.38",""
"Medhi Deguil","K1H","117.62","155.17","236.82",""
"Arnaud Le Calvez","K1H","117.93","219.68","240.29",""
"Clement Cierocki","K1H","117.99","214","240.96",""
"Kilian Blot","K1H","118.04","235.47","241.52",""
"Brieuc Davost","K1H","118.4","-","245.55",""
"Ronan Gestin","K1H","118.4","-","245.55",""
"Emmanuel Cosse","K1H","118.54","198.96","247.11",""
"Alexandre Bordas","K1H","119.26","192.34","255.16",""
"Vincent Dubois","K1H","120.56","274.92","269.7",""
"Francois Madec","K1H","120.87","240.09","273.16",""
"Ludovic Gaignon","K1H","121.28","202.78","277.75",""
"Francois Xavier Robinet","K1H","121.97","254.13","285.46",""
"Francois Faguet","K1H","122","326.69","285.8",""
"Nicolas Rouleaud","K1H","122.55","262.94","291.95",""
"Stephane Debliquy","K1H","122.82","-","294.97",""
"Ludovic Le Cointre","K1H","123.04","304.84","297.43",""
"Pol Hamon","K1H","123.18","-","298.99",""
"Boris Nedelec","K1H","123.93","244","307.38",""
"Jeremy Jestin","K1H","126.11","349.12","331.75",""
"Leri Muller","K1H","126.79","357.08","339.36",""
"David Le Vaillant","K1H","127.25","370.4","344.5",""
"Paul Fauchet","K1H","127.6","-","348.41",""
"Bertrand Kerzerho","K1H","128.01","-","353",""
"Nicolas Pelle","K1H","128.08","292.12","353.78",""
"Christophe Sorin","K1H","128.17","339.21","354.79",""
"Alexis Belkheir","K1H","128.28","-","356.02",""
"Florian Joly","K1H","128.41","362.09","357.47",""
"Charles Bailly","K1H","128.75","413.02","361.27",""
"Jerome Georges","K1H","129","-","364.07",""
"Alan Lignel","K1H","129.25","-","366.86",""
"Remi Vinet","K1H","129.84","-","373.46",""
"Yannick Faguet","K1H","129.92","420.76","374.35",""
"Gael Bleunven","K1H","130.04","457.46","375.7",""
"Ludovic Garnier","K1H","130.64","396.16","382.41",""
"Clement Simier","K1H","132.25","-","400.41",""
"Vincent Pelgrin","K1H","133.48","476.64","414.16",""
"Theo Renaud","K1H","134.44","475.77","424.89",""
"Pierreyves Renaudin","K1H","135.91","459.73","441.33",""
"Thierry Dugue","K1H","135.92","513.98","441.44",""
"Pierrick Meheust","K1H","136.01","420.73","442.45",""
"Augustin Thomas","K1H","136.8","-","451.28",""
"Quentin Fleury","K1H","136.87","374.66","452.06",""
"Flavien Primault","K1H","137","-","453.52",""
"Frederi Mahieu","K1H","138.78","-","473.42",""
"Gerard Lemonnier","K1H","139.17","481.43","477.78",""
"Anthony Drouhin","K1H","139.21","-","478.23",""
"Adrien Loiseau","K1H","140.21","-","489.41",""
"Thomas Rocher","K1H","140.39","-","491.42",""
"Antonin Leray","K1H","141.01","441.1","498.36",""
"Florian Loiseau","K1H","142.7","-","517.25",""
"Etienne Bessin","K1H","145.1","-","544.09",""
"Gwennan Leblay","K1H","147.76","-","573.83",""
"Mathieu Moreau","K1H","160.5","-","716.28",""
"Yves Lallement","K1H","166.57","-","784.15",""
"Julien Dosse","K1H","167.44","113.54","793.88",""
"Clement Percheron","K1H","168.17","-","802.04",""
"Jean-luc Quenouillere","K1H","171.03","-","834.02",""
"Clement Burel","K1H","Nt","-","-",""
"David Hamon","K1H","Nt","-","-",""
"Christophe Gergaud","K1H","Nt","-","-",""
"Melaine Pichard","K1H","Nt","-","-",""
"Valentin Brindeau","K1H","Nt","-","-",""
