"Sélectif Régional Slalom (Double) - 16200 Jarnac - Course n°2 | Finale - 2020-09-27","Course n°2 | Finale","2020-09-27","Régional","188"
"KÉziah Lecomte","K1H","107.2","465.24","525.39","Course n°2 | Finale A"
"Sebastien Chauvet","K1H","108.07","534.71","537.53","Course n°2 | Finale A"
"Lucas Belo","K1H","108.84","587.99","548.27","Course n°2 | Finale A"
"Paul Brochard","K1H","109.99","589.61","564.31","Course n°2 | Finale A"
"Thomas Bisetto","K1H","111.99","641.28","592.21","Course n°2 | Finale A"
"Miguel Irungaraylarronde","K1H","113.07","537.48","607.27","Course n°2 | Finale A"
"Lucas Deleplancque","K1H","114.94","747.18","633.35","Course n°2 | Finale A"
"Antoine Raby","K1H","144.23","304.4","1041.89","Course n°2 | Finale A"
"Tom Charles","K1H","167.12","509.43","1361.17","Course n°2 | Finale A"
"Benjamin Roy","K1HM","101.82","424.12","450.35","Course n°2 | Finale A"
"Felix Chevallier","K1HM","102.03","497.36","453.28","Course n°2 | Finale A"
"Nolann Lacoudre","K1HM","104.42","522.21","486.62","Course n°2 | Finale A"
"Nathan Caprice Michaux","K1HM","110.78","662.22","575.33","Course n°2 | Finale A"
"Timothee Borde","K1HM","110.8","567.13","575.61","Course n°2 | Finale A"
"Marius Larenaudie-danton","K1HM","112.92","615.32","605.18","Course n°2 | Finale A"
"Alice Daniels","C1D","132.74","497.78","578.06","Course n°2 | Finale B"
"Julie Charpentier","C1D","201.55","1546.15","1377.86","Course n°2 | Finale B"
"Ana Thoraux","C1D","Abs","-","-","Course n°2 | Finale B"
"Carla Vigliotti","C1DM","136.17","640.55","617.92","Course n°2 | Finale B"
"Clara Sedrue","C1DM","136.82","609.25","625.48","Course n°2 | Finale B"
"Suzanne Brossard","C1DM","139.66","661","658.48","Course n°2 | Finale B"
"Gabrielle Chenu","C1DM","146.63","707.72","739.51","Course n°2 | Finale B"
"Fabrice Roy","C1H","116.93","544.17","588.45","Course n°2 | Finale B"
"Stephane Borde","C1H","117.15","678.6","591.36","Course n°2 | Finale B"
"Simon Tourtois","C1H","119.63","596.6","624.31","Course n°2 | Finale B"
"Pierre Dehaudt","C1H","124.05","758.24","683.03","Course n°2 | Finale B"
"Tom Delens","C1H","124.29","575.72","686.21","Course n°2 | Finale B"
"Owen Merpillat","C1H","127.4","773.11","727.52","Course n°2 | Finale B"
"Fabrice Lacoudre","C1H","128.85","687.17","746.79","Course n°2 | Finale B"
"Theo Suire","C1H","129.84","705.92","759.94","Course n°2 | Finale B"
"Jeanfrancis Battesti","C1H","139.49","849.37","888.14","Course n°2 | Finale B"
"Boris Le Jolly","C1H","150.65","1151.26","1036.38","Course n°2 | Finale B"
"Geraud Gallais","C1H","160.17","1020.01","1162.85","Course n°2 | Finale B"
"Baptiste Le Gal-dutheil","C1H","176.45","1476.6","1379.11","Course n°2 | Finale B"
"Felix Chevallier","C1HM","121.56","647.15","649.94","Course n°2 | Finale B"
"Timothee Borde","C1HM","129.85","818.51","760.08","Course n°2 | Finale B"
"Robin Guignard","C1HM","134.78","688.05","825.57","Course n°2 | Finale B"
"Jules Rathier","C1HM","137.28","810.42","858.78","Course n°2 | Finale B"
"Paul Deleplancque","C1HM","147.46","906.95","994","Course n°2 | Finale B"
"Nolann Lacoudre","C1HM","194.84","776.8","1623.4","Course n°2 | Finale B"
"Lorenzo Sourbe","C1HM","200.45","1490.49","1697.93","Course n°2 | Finale B"
"Tom Pagnon","C1HM","211.67","1343.59","1846.96","Course n°2 | Finale B"
"Melody Gireaud","K1D","121.74","566.53","537.86","Course n°2 | Finale B"
"Emilie Chamouleau","K1D","135.83","651.35","711.78","Course n°2 | Finale B"
"Stephanie Campas","K1D","138.03","892.77","738.92","Course n°2 | Finale B"
"Louise Gannac","K1D","138.03","733.47","738.92","Course n°2 | Finale B"
"Emma Pardoux","K1D","142.61","758.4","795.47","Course n°2 | Finale B"
"Charlotte Bouron","K1D","157.2","1137.01","975.55","Course n°2 | Finale B"
"Camille Bastier","K1D","Abs","-","-","Course n°2 | Finale B"
"Carla Vigliotti","K1DM","122.55","581.48","547.84","Course n°2 | Finale B"
"Lucie Derouineau","K1DM","126.3","598.49","594.14","Course n°2 | Finale B"
"Suzanne Brossard","K1DM","126.9","780.03","601.54","Course n°2 | Finale B"
"Clara Sedrue","K1DM","127.21","611.82","605.37","Course n°2 | Finale B"
"Flore De Sutter","K1DM","186.78","1683.07","1340.67","Course n°2 | Finale B"
"Hugo Crespo","K1H","95.57","215.48","368.18","Course n°2 | Finale B"
"Hicham Domti","K1H","97.32","434.96","392.59","Course n°2 | Finale B"
"Felix Floriot","K1H","107.56","566","535.42","Course n°2 | Finale B"
"Gaspard Trichard","K1H","108.3","500.71","545.74","Course n°2 | Finale B"
"Remi Granet","K1H","113.85","584.17","623.15","Course n°2 | Finale B"
"Theo Suire","K1H","116.69","618.73","662.76","Course n°2 | Finale B"
"Lorys Autin","K1H","118.63","711.12","689.82","Course n°2 | Finale B"
"Jonathan Bourdier","K1H","119.23","643.21","698.19","Course n°2 | Finale B"
"Thomas Nouaud","K1H","120.49","712.87","715.77","Course n°2 | Finale B"
"Geraud Gallais","K1H","120.77","674.01","719.67","Course n°2 | Finale B"
"Romain Bouby","K1H","122.15","709.69","738.92","Course n°2 | Finale B"
"Noe Boidin","K1H","122.31","602.44","741.15","Course n°2 | Finale B"
"Loris Ladame","K1H","122.41","680.37","742.55","Course n°2 | Finale B"
"Mathis Gomez","K1H","123.74","840.15","761.1","Course n°2 | Finale B"
"Boris Le Jolly","K1H","124.13","859.53","766.54","Course n°2 | Finale B"
"Stephane Francois","K1H","124.53","854.79","772.12","Course n°2 | Finale B"
"Louis Garon","K1H","125.62","752.74","787.32","Course n°2 | Finale B"
"Olivier Neveu","K1H","126.98","683.67","806.29","Course n°2 | Finale B"
"Jules Chassant","K1H","127.6","790.37","814.94","Course n°2 | Finale B"
"Vincent Tisseron","K1H","127.8","741.16","817.73","Course n°2 | Finale B"
"Antoine Bougette","K1H","131.31","764.14","866.68","Course n°2 | Finale B"
"Simon Blondet","K1H","131.67","764.94","871.71","Course n°2 | Finale B"
"Baptiste Barat","K1H","132.26","810.93","879.94","Course n°2 | Finale B"
"Camille Gibouleau","K1H","132.26","1011.25","879.94","Course n°2 | Finale B"
"Nathan Gibaud","K1H","132.96","819.18","889.7","Course n°2 | Finale B"
"Fabrice Lacoudre","K1H","133.69","836.82","899.88","Course n°2 | Finale B"
"Pascal Bastier","K1H","134.18","977.21","906.72","Course n°2 | Finale B"
"Baptiste Le Gal-dutheil","K1H","134.37","725.39","909.37","Course n°2 | Finale B"
"Louis Silou","K1H","134.43","893.55","910.2","Course n°2 | Finale B"
"Romain Bastier","K1H","135.31","1107.53","922.48","Course n°2 | Finale B"
"Theo Haulbert","K1H","137.03","589.81","946.47","Course n°2 | Finale B"
"Dominique Gireaud","K1H","144.27","1034.32","1047.45","Course n°2 | Finale B"
"Maxime Dupuy","K1H","151.49","1890.59","1148.16","Course n°2 | Finale B"
"LoÏck Vidal","K1H","152.11","1457.61","1156.81","Course n°2 | Finale B"
"Thierry Le Bonniec","K1H","164.83","950.17","1334.23","Course n°2 | Finale B"
"Bruno Bouron","K1H","202.94","1230.51","1865.79","Course n°2 | Finale B"
"Elouen Petit","K1H","211.8","3139.65","1989.37","Course n°2 | Finale B"
"Remi Charetier","K1H","319.6","1623.22","3492.98","Course n°2 | Finale B"
"Jules Rathier","K1HM","115.68","604.31","648.67","Course n°2 | Finale B"
"Jules Mauget","K1HM","116.69","653.3","662.76","Course n°2 | Finale B"
"Robin Guignard","K1HM","118.38","727.99","686.33","Course n°2 | Finale B"
"Simon Francois","K1HM","123.16","675.58","753.01","Course n°2 | Finale B"
"Tom Pagnon","K1HM","123.43","740.17","756.77","Course n°2 | Finale B"
"Malo Girardie","K1HM","123.89","708.4","763.19","Course n°2 | Finale B"
"Cyprien Perochon","K1HM","124.88","1864.4","777","Course n°2 | Finale B"
"Paul Deleplancque","K1HM","125.1","807.38","780.07","Course n°2 | Finale B"
"Matteo Leman","K1HM","127.15","871.4","808.66","Course n°2 | Finale B"
"Lukas Granjean","K1HM","128.58","785.24","828.61","Course n°2 | Finale B"
"Lorenzo Sourbe","K1HM","137.14","922.7","948","Course n°2 | Finale B"
"Adrien Aubineau","K1HM","142.2","898.83","1018.58","Course n°2 | Finale B"
"Nathan Devautour","K1HM","145.34","875.49","1062.38","Course n°2 | Finale B"
"Johan Massavie","K1HM","147.11","1143.3","1087.07","Course n°2 | Finale B"
"Paul De Sutter","K1HM","178.65","1428.76","1526.99","Course n°2 | Finale B"
