"2ème Manche de la Coupe de France Nationale 1 Slalom - Cesson-Sévigné - Qualification - 2017-02-26","Qualification","2017-02-26","Nationale 1","152"
"Marie-zelia Lafont","K1D","101.89","11.68","60.93",""
"Lea Turmeau","K1D","103.66","99.45","77.54",""
"Lucie Baudu","K1D","104.13","53.05","81.95",""
"Flora Huvelin","K1D","104.95","59.93","89.65",""
"Carole Bouzidi","K1D","107.75","18.23","115.93",""
"Solene Graille","K1D","109.67","73.53","133.95",""
"Berenice Kolenc","K1D","109.77","73.92","134.89",""
"Estelle Hellard","K1D","109.92","133.57","136.3",""
"Joana Palermo","K1D","112.4","111.89","159.58",""
"Julie Neime","K1D","112.54","75.15","160.89",""
"Fanchon Janssen","K1D","112.64","112.84","161.83",""
"Marjorie Delassus","K1D","112.94","112.46","164.65",""
"Pauline Guiet","K1D","113.05","31.45","165.68",""
"Romane Prigent","K1D","113.38","90.8","168.77",""
"Lea Wetzel","K1D","113.41","116.38","169.06",""
"Lisa Mouffle","K1D","114.93","125.03","183.33",""
"Anais Bernardy","K1D","115.32","150.65","186.99",""
"Emeline Oudet","K1D","115.39","114.69","187.64",""
"Joey Bercon","K1D","116.46","116.13","197.69",""
"Lucie Prioux","K1D","116.83","103.38","201.16",""
"Sarah Despres","K1D","120.3","135.94","233.73",""
"Agathe Chaumet","K1D","121.19","180.48","242.09",""
"Natacha Delassus","K1D","122","151.75","249.69",""
"Benoit Guillaume","K1H","88.63","35.46","44.61",""
"Mathurin Madore","K1H","89.07","68.84","49.28",""
"Sebastien Combot","K1H","89.28","14.87","51.51",""
"Mathys Huvelin","K1H","89.71","68.18","56.07",""
"Pierre Bourliaud","K1H","89.78","30.67","56.81",""
"Pol Oulhen","K1H","89.85","44.89","57.55",""
"Mathieu Desnos","K1H","90.34","45.51","62.75",""
"Yves Prigent","K1H","90.46","50.59","64.02",""
"Thomas Bersinger","K1H","90.83","35.72","67.95",""
"Thibault Marchand","K1H","90.97","85.34","69.43",""
"Thomas Schmitt","K1H","91.4","77.78","73.99",""
"Benjamin Jacon","K1H","91.78","85.68","78.02",""
"Edgar Prigent","K1H","92.25","80.51","83.01",""
"Guillaume Graille","K1H","92.79","80.97","88.74",""
"Tom Scianimanico","K1H","92.86","74.07","89.48",""
"Maxime Bottex","K1H","93.13","112.51","92.34",""
"Titouan Dupras","K1H","93.26","110.93","93.72",""
"Clement Travert","K1H","93.48","50.61","96.06",""
"Loic Bertoia","K1H","94.08","109.5","102.42",""
"William Desnos","K1H","94.18","92.89","103.48",""
"Renaud Doby","K1H","94.22","95.3","103.9",""
"Vivien Colober","K1H","94.46","37.46","106.45",""
"Nicolas Abbal","K1H","94.77","60.39","109.74",""
"Sami Rocher","K1H","95.47","91.47","117.16",""
"Malo Quemeneur","K1H","95.47","54.49","117.16",""
"Louison Turmeau","K1H","95.6","95.64","118.54",""
"Gurgen Brun","K1H","95.8","80.1","120.66",""
"Enrick Cunsolo","K1H","95.92","78.06","121.94",""
"Thomas Rosset","K1H","96.48","52.78","127.88",""
"Lukas Werro","K1H","96.69","83.87","130.1",""
"Mathis Soudi","K1H","96.8","123.32","131.27",""
"Yann Le Govic","K1H","96.83","91.51","131.59",""
"Pierre Giudicelli","K1H","97.24","110.68","135.94",""
"Maxime Tilhet","K1H","97.77","118.36","141.56",""
"Quentin Bove","K1H","97.93","101.5","143.25",""
"Julien Pajaud","K1H","97.95","146.56","143.47",""
"Janos Peterlin","K1H","98.45","67.1","148.77",""
"Lucas Latimier","K1H","99.45","136.82","159.38",""
"Nicolas Baudoin","K1H","99.9","113.24","164.15",""
"Kendaor Le Huitou","K1H","100.12","98.74","166.48",""
"Paul Cornut-chauvinc","K1H","100.56","102.15","171.15",""
"Alan Dollo","K1H","100.69","105.42","172.53",""
"Isaac Dufrene","K1H","100.78","170.63","173.48",""
"Ludovic Di Nisi","K1H","101.23","61.46","178.26",""
"Manuel Munsch","K1H","101.28","110.83","178.79",""
"Arnaud Lapeze","K1H","101.81","130.41","184.41",""
"Hugo Crepeau","K1H","101.96","161.91","186",""
"Goulwen Chapelier","K1H","102.63","80.22","193.11",""
"Robin Pottelette","K1H","103.87","159.12","206.26",""
"Jonas Turmeau","K1H","104.39","102.09","211.77",""
"Vincent Delahaye","K1H","106.45","159.15","233.62",""
"Nicolas Bernardy","K1H","107.88","155.93","248.79",""
"Fabien Le Nechet","K1H","108.2","125.46","252.18",""
"Martin Dougoud","K1H","Abs","-","-",""
"Etienne Daille","K1H","Abs","-","-",""
