"Championnat Régional - Asfeld - Finale - 2014-09-21","Finale","2014-09-21","Régional","106"
"Alexandre Perrin Mortier","K1H","99.31","251.8","273.77","Finale A"
"Mathurin Garnier","K1H","100.43","339.31","287.79","Finale A"
"Francois Durand","K1H","100.99","245.63","294.8","Finale A"
"Louis Savart","K1H","102.42","302.11","312.71","Finale A"
"Loic Bourgeois","K1H","105","418.69","345.02","Finale A"
"Nicolas Chainay","K1H","105.6","524.63","352.54","Finale A"
"Aymeric Dollat","K1H","106.48","378.71","363.56","Finale A"
"Thomas Lesage","K1H","108.67","-","390.98","Finale A"
"Gaetan Kieffert","K1H","108.68","-","391.11","Finale A"
"Matthieu Walfard","K1H","108.85","310.46","393.24","Finale A"
"Nicolas Castagnetti","K1H","109.39","488.7","400","Finale A"
"Kevin Rancon","K1H","111.59","369.36","427.55","Finale A"
"Gauthier Maillot","K1H","112.19","-","435.06","Finale A"
"Valentin Bonnot","K1H","112.82","395.98","442.95","Finale A"
"Clement Come","K1H","112.93","-","444.33","Finale A"
"Lucas Gillet","K1H","113.83","323.76","455.6","Finale A"
"Jean Marc Fossier","K1H","116.15","513.58","484.65","Finale A"
"Louis Labbe","K1H","117.22","-","498.05","Finale A"
"Thomas Durand","K1H","144.56","267.57","840.43","Finale A"
"Pierre - Louis Karim","K1HM","111.5","-","426.42","Finale A"
"Thomas Descotes","K1HM","112.14","-","434.44","Finale A"
"Djimy Kar","K1HM","114.23","-","460.61","Finale A"
"Nicolas Gallais","K1HM","123.18","-","572.69","Finale A"
"Quentin Henri","K1HM","126.77","-","-","Finale A"
"Loric Bertrand Delorme","K1HM","130.66","-","666.36","Finale A"
"Marvin Tulpin","K1HM","134.83","-","-","Finale A"
"Axelle Armanini","C1D","133.96","392.99","433.09","Finale B"
"Ilhame Siraj","C1D","144.68","-","544.97","Finale B"
"Louise Muller","C1D","162.53","-","731.25","Finale B"
"Alexis Pierlot","C1H","123.07","548.85","502.93","Finale B"
"Aymeric Dollat","C1H","124.47","530.96","519.62","Finale B"
"Antonin Dreit","C1H","127.64","494.81","557.43","Finale B"
"Gaetan Kieffert","C1H","138.59","-","688.02","Finale B"
"Kilian Henique","C1H","139.87","-","703.3","Finale B"
"Axel Godard","C1H","157.18","-","909.74","Finale B"
"Nicolas Castagnetti","C1H","184.25","-","1232.6","Finale B"
"Angelino Castagnetti","C1HM","168.58","-","-","Finale B"
"Anthony Dubois","C1HM","175.45","-","-","Finale B"
"Theo Filippi","C1HM","180.07","-","1182.74","Finale B"
"Fiona Gille","K1D","137.9","-","563.35","Finale B"
"Louise Muller","K1D","138.62","584.7","571.34","Finale B"
"Clothilde Charbeaux","K1D","160.1","-","809.38","Finale B"
"Patricia Pilard","K1D","185.25","-","1088.11","Finale B"
"Perrine Venot","K1D","193.86","-","1183.53","Finale B"
"Louison Tanet","K1H","98.77","-","272","Finale B"
"Alexis Pierlot","K1H","114.92","580.61","474.25","Finale B"
"Guillaume Cochut","K1H","116.13","523.47","489.4","Finale B"
"Hugo Thiery","K1H","117.41","570.11","505.43","Finale B"
"Antonin Dreit","K1H","118.43","522.51","518.21","Finale B"
"Renaud Henri","K1H","118.68","549.32","521.34","Finale B"
"Leonard Legroux","K1H","119.24","577.43","528.35","Finale B"
"Lucas Gamain","K1H","121.68","644.05","558.91","Finale B"
"Mickael Dubois","K1H","126.67","546.52","621.4","Finale B"
"Antoine Pas","K1H","127.32","740.14","629.54","Finale B"
"Olivier Vecten","K1H","128.75","-","647.44","Finale B"
"Damien Marat","K1H","129.47","915.27","656.46","Finale B"
"Alexis Loiseau","K1H","129.56","716","657.59","Finale B"
"Gerald Oudin","K1H","131.39","-","680.51","Finale B"
"Arnaud Geoffroy","K1H","131.8","-","685.64","Finale B"
"Kevin Ferrando","K1H","132.05","1403.15","688.77","Finale B"
"Florent Dubois","K1H","132.3","-","691.9","Finale B"
"Matthieu Hugot","K1H","132.36","-","692.65","Finale B"
"Kilian Henique","K1H","133.09","-","701.79","Finale B"
"Christophe Come","K1H","141.33","-","804.98","Finale B"
"Clement De Rouze","K1H","143.84","-","836.42","Finale B"
"Leonard Painteaux","K1HM","133.04","-","-","Finale B"
"Anthony Dubois","K1HM","142.93","-","-","Finale B"
"Angelino Castagnetti","K1HM","157.71","-","-","Finale B"
"Nicolas Chatelain","K1HM","158.39","-","-","Finale B"
"Pierre Boigas","K1HM","175.6","-","1234.15","Finale B"
"Thibault Chausson","K1HM","177.1","-","1252.93","Finale B"
"Valentin Richard","K1HM","248.69","-","2149.46","Finale B"
