"Sélectif régional SLALOM & Manche 2 sur A  - 10000 Troyes - Course n°1 | Finale - 2019-09-21","Course n°1 | Finale","2019-09-21","Régional","115"
"Gregory Menuat","C1H","135.63","537.73","648.57","Course n°1 | Finale B"
"Jacques Nardeau","C1H","137.2","594.3","667.25","Course n°1 | Finale B"
"Jerome Talbot","C1H","139.46","584.83","694.12","Course n°1 | Finale B"
"Boris Bonenfant","C1H","147.59","734.06","790.79","Course n°1 | Finale B"
"Remi Hervieux","C1H","148.78","2243.92","804.93","Course n°1 | Finale B"
"Antonin Robert","C1H","153.36","506.75","859.39","Course n°1 | Finale B"
"Antoine Leroy","C1H","170.99","873.48","1069.02","Course n°1 | Finale B"
"Romain Moret","C1HM","125.84","930.74","532.18","Course n°1 | Finale B"
"Hugo Bazin","C1HM","182.47","1171.02","1205.52","Course n°1 | Finale B"
"Mael Thierus","C1HM","185.92","1462.13","1246.54","Course n°1 | Finale B"
"Fiona Gille","K1D","141.33","565.01","597.39","Course n°1 | Finale B"
"Delhia Petiot","K1D","143.09","510.13","616.83","Course n°1 | Finale B"
"Katia Talbot","K1D","195.76","771.04","1198.75","Course n°1 | Finale B"
"Clementine Thierus","K1D","258.92","816.4","1896.57","Course n°1 | Finale B"
"Adrien Gaillot","K1H","115.83","558.71","482.02","Course n°1 | Finale B"
"Loic Bourgeois","K1H","116.82","446.78","494.38","Course n°1 | Finale B"
"Nicolas Castagnetti","K1H","120.05","449.59","534.7","Course n°1 | Finale B"
"Arnaud Cote","K1H","123.28","608.81","575.03","Course n°1 | Finale B"
"Theophile Vincent","K1H","124.76","699.14","593.5","Course n°1 | Finale B"
"Loic Merat","K1H","125.31","1042.02","600.37","Course n°1 | Finale B"
"Valentin Oudin","K1H","125.33","699.26","600.62","Course n°1 | Finale B"
"Philippe Valeri","K1H","127.49","583.19","627.59","Course n°1 | Finale B"
"Philippe Piat","K1H","127.71","502.79","630.33","Course n°1 | Finale B"
"Gerard Lafargue","K1H","131.72","586.76","680.4","Course n°1 | Finale B"
"Guillaume Gonseth","K1H","135.34","715.49","725.59","Course n°1 | Finale B"
"Gauthier Lepolard","K1H","136.47","802.62","739.7","Course n°1 | Finale B"
"Remi Hervieux","K1H","137","789.76","746.32","Course n°1 | Finale B"
"Jacques Nardeau","K1H","141.29","784.8","799.88","Course n°1 | Finale B"
"Eric Pouradier","K1H","141.87","777.29","807.12","Course n°1 | Finale B"
"Barnabe Sennelier","K1H","154.58","955.35","965.8","Course n°1 | Finale B"
"Martin Francois","K1H","154.88","773.39","969.54","Course n°1 | Finale B"
"Erik Vallauri","K1H","160.02","1110.92","1033.71","Course n°1 | Finale B"
"Bruno Brousselle","K1H","160.69","1086.97","1042.08","Course n°1 | Finale B"
"Victor Cauet","K1H","163.15","1294.85","1072.79","Course n°1 | Finale B"
"Othis Dabin","K1H","171","1097.13","1170.8","Course n°1 | Finale B"
"SÉbastien Besnard","K1H","174.78","1279.75","1217.99","Course n°1 | Finale B"
"Julien Michelin","K1H","177.67","519.38","1254.07","Course n°1 | Finale B"
"Kylian Correia","K1H","215.45","2130.89","1725.74","Course n°1 | Finale B"
"Valentin Clement","K1H","332.75","1424.08","3190.19","Course n°1 | Finale B"
"Hugo Hernoux","K1HM","151.83","1080.97","931.46","Course n°1 | Finale B"
"Hugo Bazin","K1HM","156.96","1073.95","995.51","Course n°1 | Finale B"
"Jules Dolisy","K1HM","186.34","1780.76","1362.31","Course n°1 | Finale B"
"Axel Marchand","K1HM","202.91","1928.06","1569.18","Course n°1 | Finale B"
"Enzo Miholic","K1HM","465.56","4558.31","4848.28","Course n°1 | Finale B"
"Kevin Charlot","K1HM","Des","-","-","Course n°1 | Finale B"
