"Sélectif Régional Slalom (Double) - Cesson Sevigne - Course n°2 | Finale - 2018-04-22","Course n°2 | Finale","2018-04-22","Régional","211"
"Titouan Castryck","K1HM","105.63","322.22","403.58","Course n°2 | Finale A"
"Nicolas Bidault","K1HM","114.58","460.97","518.55","Course n°2 | Finale A"
"Noe Gorvo","K1HM","115.53","449.21","530.75","Course n°2 | Finale A"
"Thomas Heslouis","K1HM","117.22","515.96","552.46","Course n°2 | Finale A"
"Ylan Penvenne","K1HM","117.38","468.48","554.52","Course n°2 | Finale A"
"Brieuc Reucheron","K1HM","122.52","1098.55","620.55","Course n°2 | Finale A"
"ClÉment Louveau","K1HM","122.83","625.09","624.53","Course n°2 | Finale A"
"Romain Margerie","K1HM","123.46","687.63","632.62","Course n°2 | Finale A"
"Jules Brisson","K1HM","123.69","693.01","635.58","Course n°2 | Finale A"
"Timeo Cornic","K1HM","125.36","646.8","657.03","Course n°2 | Finale A"
"Tom Marchand","K1HM","125.63","493.4","660.5","Course n°2 | Finale A"
"Maxence Gautier Grall","K1HM","127.45","925.2","683.87","Course n°2 | Finale A"
"Kylian Guillemot","K1HM","128.32","746.47","695.05","Course n°2 | Finale A"
"Milio Le Touze","K1HM","130.04","863.01","717.15","Course n°2 | Finale A"
"Eva Marchand","C1D","137.63","515.16","524.99","Course n°2 | Finale B"
"Claire Chaussadas","C1D","138.66","582.23","536.01","Course n°2 | Finale B"
"Louna Beurel","C1D","140.13","472.9","551.75","Course n°2 | Finale B"
"Paul Gestin","C1H","113.58","396.93","441.22","Course n°2 | Finale B"
"Marin Salmon","C1H","114.08","445.9","447.35","Course n°2 | Finale B"
"Alan Mahe","C1H","114.26","313.08","449.55","Course n°2 | Finale B"
"Loan Queffelec","C1H","116.85","560.7","481.24","Course n°2 | Finale B"
"Julien Saliba","C1H","119.83","1064.3","517.69","Course n°2 | Finale B"
"Louis Beaumois","C1H","121.25","491.35","535.06","Course n°2 | Finale B"
"Thomas Ollivo","C1H","122.72","434.08","553.04","Course n°2 | Finale B"
"Julien Rocaboy","C1H","123.2","424.85","558.92","Course n°2 | Finale B"
"Mael Monjaret","C1H","124.36","614.72","573.11","Course n°2 | Finale B"
"Mathis Poree","C1H","127.09","605.93","606.51","Course n°2 | Finale B"
"Baptiste Loy","C1H","130.76","1060.58","651.4","Course n°2 | Finale B"
"Florian Lohezic","C1H","133.75","479.3","687.99","Course n°2 | Finale B"
"Guillaume Maillot","C1H","138.2","628.06","742.43","Course n°2 | Finale B"
"Yannick Courtay","C1H","145.46","658.36","831.24","Course n°2 | Finale B"
"Marin Guillouet","C1H","183.36","1827.35","1294.92","Course n°2 | Finale B"
"Jeremie Gouello","C1H","Abs","-","-","Course n°2 | Finale B"
"Martin Dubois-Camille Castryck","C2M","130.34","565.33","446.95","Course n°2 | Finale B"
"Eva Marchand","K1D","124.89","401.8","471.42","Course n°2 | Finale B"
"Celia Jodar","K1D","124.9","479.76","471.54","Course n°2 | Finale B"
"Louna Beurel","K1D","124.96","424.7","472.22","Course n°2 | Finale B"
"Veronique Vourch","K1D","125.91","392.04","483.02","Course n°2 | Finale B"
"Sylviane Quemerais","K1D","128.72","360.21","514.97","Course n°2 | Finale B"
"Christine Le Gall","K1D","128.97","396.33","517.81","Course n°2 | Finale B"
"Laurie Beaurepere","K1D","131.61","491.61","547.82","Course n°2 | Finale B"
"Aubane Leca","K1D","135.25","539.27","589.19","Course n°2 | Finale B"
"Claire Chaussadas","K1D","143.13","617.18","678.78","Course n°2 | Finale B"
"Zoe Marchand","K1D","149.3","734.92","748.92","Course n°2 | Finale B"
"Marine Clement","K1D","158.64","1146.49","855.08","Course n°2 | Finale B"
"Lucie Lemetayer","K1D","163.96","647","915.56","Course n°2 | Finale B"
"Lily Cochet","K1D","Des","-","-","Course n°2 | Finale B"
"Lilou Le Roux Divanac'h","K1DM","145.97","649.28","711.06","Course n°2 | Finale B"
"Enora Bagueste","K1DM","167.84","1024.01","959.67","Course n°2 | Finale B"
"Antigone Merot-hyrien","K1DM","183.77","1758.33","1140.76","Course n°2 | Finale B"
"Coline Beaudet","K1DM","302.21","4476.08","2487.17","Course n°2 | Finale B"
"Simon Cognard","K1H","101.47","283.07","355.14","Course n°2 | Finale B"
"Dorian Ollivier","K1H","104.19","315.37","390.08","Course n°2 | Finale B"
"Emmanuel Cosse","K1H","107.77","375.04","436.07","Course n°2 | Finale B"
"Armand Fougere","K1H","107.99","383.24","438.9","Course n°2 | Finale B"
"Max Derame","K1H","108.23","412.66","441.98","Course n°2 | Finale B"
"Thibault Lamour","K1H","108.9","366.96","450.59","Course n°2 | Finale B"
"Rafael Lerusse","K1H","109.35","434.32","456.37","Course n°2 | Finale B"
"Aubin Davaic","K1H","110.49","482.06","471.01","Course n°2 | Finale B"
"Glen Le Meur","K1H","110.92","466.63","476.54","Course n°2 | Finale B"
"Fabien Dulyse","K1H","111.24","435.77","480.65","Course n°2 | Finale B"
"Tom Milon","K1H","113.68","527.18","511.99","Course n°2 | Finale B"
"Loic Froissard","K1H","114.23","455.47","519.05","Course n°2 | Finale B"
"Alexis Pernelle","K1H","114.48","755.35","522.27","Course n°2 | Finale B"
"Stephane Debliquy","K1H","114.77","397.4","525.99","Course n°2 | Finale B"
"Louison Laumondais","K1H","115.41","424.23","534.21","Course n°2 | Finale B"
"Brieg Le Paih","K1H","115.58","513.96","536.4","Course n°2 | Finale B"
"Julien Mizzi","K1H","115.88","429.27","540.25","Course n°2 | Finale B"
"Adrien Pierre","K1H","116.08","413.05","542.82","Course n°2 | Finale B"
"Yann Curti","K1H","116.28","489.93","545.39","Course n°2 | Finale B"
"Malo Marquet","K1H","116.94","426.88","553.87","Course n°2 | Finale B"
"Corentin Beaumois","K1H","117.51","547.7","561.19","Course n°2 | Finale B"
"Tom Lallican","K1H","118.11","561.72","568.9","Course n°2 | Finale B"
"Maxime Lignereux","K1H","118.19","448.23","569.92","Course n°2 | Finale B"
"Vincent Salmon","K1H","118.88","513.18","578.79","Course n°2 | Finale B"
"Romain Foulon","K1H","120.68","592.15","601.91","Course n°2 | Finale B"
"Clement Ezanno","K1H","122.34","691.41","623.23","Course n°2 | Finale B"
"Olivier Brochard","K1H","124.36","550.99","649.18","Course n°2 | Finale B"
"Luc Le Diouron","K1H","125.01","607.76","657.53","Course n°2 | Finale B"
"Thomas Hado","K1H","126.04","739.85","670.76","Course n°2 | Finale B"
"Valentin Soullard","K1H","126.14","544.27","672.05","Course n°2 | Finale B"
"Samuel Piton","K1H","126.87","568.6","681.42","Course n°2 | Finale B"
"Antoine Aubert","K1H","127.54","546.17","690.03","Course n°2 | Finale B"
"Deverig Cardiec","K1H","129.17","527.15","710.97","Course n°2 | Finale B"
"Matheo Courgeon","K1H","129.82","600.16","719.32","Course n°2 | Finale B"
"Benjamin Pagerie","K1H","130.83","641.95","732.29","Course n°2 | Finale B"
"Hugo Quistrebert","K1H","131.6","783.6","742.18","Course n°2 | Finale B"
"Christian Le Parc","K1H","134.23","729.02","775.97","Course n°2 | Finale B"
"Thibault Prono","K1H","135.03","781.95","786.24","Course n°2 | Finale B"
"Gerard Lemonnier","K1H","140.32","705.97","854.2","Course n°2 | Finale B"
"Mallory Brochard","K1H","140.85","781.31","861.01","Course n°2 | Finale B"
"Logan Toubel","K1H","146.74","644.82","936.67","Course n°2 | Finale B"
"Bertrand Henot","K1H","152.39","1532.75","1009.25","Course n°2 | Finale B"
"Ewen Ferey","K1H","153.15","1170.2","1019.01","Course n°2 | Finale B"
"Simon Seuru","K1H","157.92","335.37","1080.28","Course n°2 | Finale B"
"Thierry Dugue","K1H","160.7","1066.13","1115.99","Course n°2 | Finale B"
"Marin Guillouet","K1H","175.2","1313.45","1302.26","Course n°2 | Finale B"
"Axel Ternon","K1H","185.46","1018.84","1434.05","Course n°2 | Finale B"
"William Mouazan","K1HM","131.87","2086.82","745.65","Course n°2 | Finale B"
"Ismail Moumin","K1HM","133.05","997.96","760.81","Course n°2 | Finale B"
"Mael Calvez","K1HM","138.36","779.94","829.02","Course n°2 | Finale B"
"Valentin Rolland","K1HM","141.64","1139.71","871.15","Course n°2 | Finale B"
"Maxence Quillere","K1HM","141.71","980.28","872.05","Course n°2 | Finale B"
"Brieuc Bignon","K1HM","143.72","1219.67","897.87","Course n°2 | Finale B"
"Roman Souffez","K1HM","144.26","1078.89","904.81","Course n°2 | Finale B"
"Marwan Bazot","K1HM","145.56","1000.11","921.51","Course n°2 | Finale B"
"Thomas Le Devehat","K1HM","151.52","1345.34","998.07","Course n°2 | Finale B"
"Nino Laronce Renard","K1HM","158.05","1626.49","1081.95","Course n°2 | Finale B"
"Ambroise Perier","K1HM","162.12","1214.64","1134.23","Course n°2 | Finale B"
"Mael Segaud","K1HM","178.79","884.09","1348.37","Course n°2 | Finale B"
"Romain Jean","K1HM","205.89","1584.43","1696.49","Course n°2 | Finale B"
