"SÈlectif RÈgional de Slalom - Jarnac - Qualifications - 2018-09-30","Qualifications","2018-09-30","RÈgional","245"
"Baptiste Vinet","K1HM","141.43","1233.37","793.19",""
"Gaetan Rousseau","K1HM","141.55","949.87","794.68",""
"Pierre-louis Hitier","K1HM","141.65","-","795.92",""
"Clement Turgis","K1HM","145.34","1103.78","841.68",""
"Theo Lebastard","K1HM","146.12","2656.37","851.35",""
"Louison Masse","K1HM","149.93","3042.67","898.59",""
"Theo Haulbert","K1HM","150.15","-","901.32",""
"Geraud Gallais","K1HM","161.6","-","1043.3",""
"Alexandre Lambert","K1HM","165","-","1085.46",""
"Vincent Meuter","K1HM","166.92","-","1109.27",""
"Baptiste Le Gal-dutheil","K1HM","169.09","-","1136.17",""
"Emilien Courtiade","K1HM","200.36","295.07","1523.92",""
"Audrys Barinaga Stauskas","K1HM","238.69","-","1999.21",""
"Amaury Sokolik","K1HM","238.81","-","2000.7",""
"Mathis Gomez","K1HM","250.44","-","2144.91",""
"Victorien Thomas","K1HM","261.67","-","2284.16",""
"Mael Sicard","K1HM","350.54","-","3386.15",""
"Bastien Lusseault","K1HM","Abs","-","-",""
