"Sélectif Régional - Asfeld - 2013-05-09","Course 2","2013-05-09","Régional","110"
"Guillaume Lourette","K1H","118.61","362.26","505.05",""
"Mehdi Nedjma","K1H","119.93","-","521.94",""
"Emile Gousselot","K1H","122.81","381.86","558.79",""
"Bastien Moreaux","K1H","123.84","361.97","571.98",""
"Timothe Collet","K1H","124.78","-","584.01",""
"Thomas Quennehen","K1H","125.56","-","593.99",""
"Batiste Morin","K1H","126.16","-","601.66",""
"Guillaume Cochut","K1H","126.3","-","603.45",""
"Paul Beteille","K1H","126.35","535.15","604.1",""
"Pierre Emmanuel Ravet","K1H","128.13","472.13","626.87",""
"Raphael Berwick","K1H","128.43","1494.5","630.71",""
"Alain Roger","K1H","129.42","-","643.38",""
"Mickael Dubois","K1H","129.61","367.88","645.81",""
"Arthur Barrachin","K1H","130.22","-","653.62",""
"Jules Marchal","K1H","133.49","409.58","695.46",""
"Axel Godard","K1H","133.93","1492.4","701.09",""
"Juan Guerrero","K1H","134.2","379.33","704.54",""
"Nicolas Castagnetti","K1H","135.54","724.53","721.69",""
"Loic Durand","K1H","137.89","565.17","751.77",""
"Quentin Deparpe","K1H","144.53","-","836.74",""
"Christophe Come","K1H","146.5","-","861.95",""
"Quentin Moreaux","K1H","150.29","74.34","910.44",""
"Gaetan Kieffert","K1H","153.27","168.07","948.57",""
"Alexis Loiseau","K1H","159.66","-","1030.34",""
"Bastien Mougenot","K1H","179.2","-","1280.39",""
"Antoine Pas","K1H","193.6","-","1464.66",""
"Valentin Bonnot","K1H","198.17","415.54","1523.13",""
"Quentin Lenice","K1H","209.61","-","1669.53",""
"Kevin Ferrando","K1H","217.25","-","1767.29",""
"Amalric Nhem","K1H","218.63","-","1784.95",""
"Kevin Hennequin","K1H","260.22","-","2317.15",""
"Jean Christophe Boivin","K1H","Nt","-","-",""
"Alexis Pierlot","K1H","Nt","-","-",""
"Lucas Lelarge","K1H","Nt","-","-",""
"Antoine Harlaut","K1H","Nt","-","-",""
"Arnaud Guilleret","K1H","Nt","-","-",""
"Valentin Gertsch","K1H","Nt","-","-",""
"Lionel Fichot","K1H","Nt","-","-",""
"Anthony Desrousseaux","K1H","Nt","-","-",""
"Theo Da Mota","K1H","Nt","-","-",""
"Bastien Brouhez","K1H","Nt","-","-",""
"William Brasseur","K1H","Nt","-","-",""
