"ROAZHON CUP - Servon sur Vilaine et SEV Cesson SÈvignÈ Double SÈlectif RÈgional Slalom  - 35000 Rennes - Course n∞1 | Finale - 2019-11-23","Course n∞1 | Finale","2019-11-23","RÈgional","159"
"Morgane Quemerais","K1D","115.47","383.26","402.34","Course n∞1 | Finale A"
"Louna Beurel","K1D","117.66","379.89","428.58","Course n∞1 | Finale A"
"Jann Le Corre","K1D","121.52","420.48","474.84","Course n∞1 | Finale A"
"Veronique Vourch","K1D","123.48","461.72","498.32","Course n∞1 | Finale A"
"L…na Quemerais","K1DM","119.7","352.35","453.02","Course n∞1 | Finale A"
"Solale Merot-hyrien","K1DM","133.39","701.39","617.07","Course n∞1 | Finale A"
"Antigone Merot-hyrien","K1DM","138.56","1268.81","679.01","Course n∞1 | Finale A"
"Clara Perrot","K1DM","142.8","730.43","729.83","Course n∞1 | Finale A"
"Hugo Regnier","K1H","80.89","64.36","113.99","Course n∞1 | Finale A"
"Noe Perreau","K1H","82.99","88.18","142.42","Course n∞1 | Finale A"
"Yves Prigent","K1H","83.16","38.51","144.72","Course n∞1 | Finale A"
"Matheo Lebaindre","K1H","84.87","142.52","167.88","Course n∞1 | Finale A"
"Anthony Drouhin","K1H","86.71","177.61","192.79","Course n∞1 | Finale A"
"Killian Flegeau","K1H","88.06","207.97","211.07","Course n∞1 | Finale A"
"Timothee Cornu","K1H","88.7","199.57","219.74","Course n∞1 | Finale A"
"Paul Gestin","K1H","89.49","171.48","230.43","Course n∞1 | Finale A"
"Sebastien Routhier","K1H","90.03","200.68","237.75","Course n∞1 | Finale A"
"Luc Hellard","K1H","90.74","204.79","247.36","Course n∞1 | Finale A"
"Boris Pernelle","K1H","92.08","284.52","265.5","Course n∞1 | Finale A"
"Simon Cognard","K1H","92.44","289.62","270.38","Course n∞1 | Finale A"
"Pierre Audouin","K1H","93.52","271.09","285","Course n∞1 | Finale A"
"Melaine Pichard","K1H","94.15","280.01","293.53","Course n∞1 | Finale A"
"Ylan Penvenne","K1H","95.28","393.4","308.83","Course n∞1 | Finale A"
"Julien Dosse","K1H","95.39","299.22","310.32","Course n∞1 | Finale A"
"Noe Gorvo","K1H","96.18","329.17","321.02","Course n∞1 | Finale A"
"Antoine Hirbec","K1H","96.68","348.29","327.79","Course n∞1 | Finale A"
"Brice Derrien","K1H","96.97","325.4","331.72","Course n∞1 | Finale A"
"Elouan Le Fournis","K1H","98.28","412.67","349.45","Course n∞1 | Finale A"
"Titouan Aussant","K1H","98.35","344.98","350.4","Course n∞1 | Finale A"
"Eliott Reine","K1H","98.73","464.59","355.55","Course n∞1 | Finale A"
"Martin Magras","K1H","98.86","452.47","357.31","Course n∞1 | Finale A"
"Maxime Berthaut","K1H","99.75","295.69","369.36","Course n∞1 | Finale A"
"Bastien Demorieux","K1H","101.62","483.59","394.68","Course n∞1 | Finale A"
"Yann Le Bourser","K1H","102.39","483.33","405.11","Course n∞1 | Finale A"
"Gurvan Huet","K1H","102.72","339.81","409.57","Course n∞1 | Finale A"
"Tom Lallican","K1H","104.28","473.82","430.7","Course n∞1 | Finale A"
"Tom Milon","K1H","104.66","399.77","435.84","Course n∞1 | Finale A"
"Adrien Pierre","K1H","104.83","427.12","438.14","Course n∞1 | Finale A"
"Thomas Hado","K1H","109.03","501.54","495.01","Course n∞1 | Finale A"
"Rafael Lerusse","K1H","138.45","269.18","893.37","Course n∞1 | Finale A"
"Oscar Donval","K1H","147.25","372.57","1012.53","Course n∞1 | Finale A"
"Martin Cornu","K1HM","95.38","354.7","310.19","Course n∞1 | Finale A"
"Jules Brisson","K1HM","102.09","510.39","401.04","Course n∞1 | Finale A"
"Elouan Debliquy","K1HM","105.7","375.09","449.92","Course n∞1 | Finale A"
"Milio Le Touze","K1HM","106.11","541.11","455.48","Course n∞1 | Finale A"
"Maxence Gautier Grall","K1HM","108.42","543.76","486.75","Course n∞1 | Finale A"
"Celio Chevallier","K1HM","112.83","573.97","546.47","Course n∞1 | Finale A"
"Arthur Lescarmontier","K1HM","114.27","613.4","565.96","Course n∞1 | Finale A"
"Thomas Le Devehat","K1HM","114.55","881.34","569.76","Course n∞1 | Finale A"
"Lenny Derrien","K1HM","121.75","729.84","667.25","Course n∞1 | Finale A"
"Mat…o Delachair","K1HM","122.56","645.32","678.21","Course n∞1 | Finale A"
"Lubin Brionne","K1HM","123.25","827.28","687.56","Course n∞1 | Finale A"
"William Adeline","K1HM","124.07","734.29","698.66","Course n∞1 | Finale A"
"Yunis Delahaye","K1HM","124.67","758.74","706.78","Course n∞1 | Finale A"
"Maxence Quillere","K1HM","126.39","892.4","730.07","Course n∞1 | Finale A"
"Duncan Coppens","K1HM","127.96","806.73","751.33","Course n∞1 | Finale A"
"Lorenzo Caucheteux","K1HM","129.47","759.89","771.78","Course n∞1 | Finale A"
"Clement Le Naour","K1HM","135.47","819.49","853.02","Course n∞1 | Finale A"
"Nino Lechevallier","K1HM","140.18","977.87","916.8","Course n∞1 | Finale A"
"Louis Beaumois","C1H","109.79","474.24","439.52","Course n∞1 | Finale B"
"Morgan Vourch","C1H","110.16","461.53","444.28","Course n∞1 | Finale B"
"Killian Flegeau","C1H","112.36","480.99","472.66","Course n∞1 | Finale B"
"Joris Hello","C1H","120.95","507.73","583.42","Course n∞1 | Finale B"
"Noe Gorvo","C1H","122.24","777.59","600.06","Course n∞1 | Finale B"
"Nino Poisson","C1H","126.93","596.77","660.55","Course n∞1 | Finale B"
"Guillaume Maillot","C1H","131.9","710.34","724.63","Course n∞1 | Finale B"
"Marin Guillouet","C1H","145.96","1078.38","905.95","Course n∞1 | Finale B"
"Maxence Gautier Grall","C1HM","142.91","1140.07","866.62","Course n∞1 | Finale B"
"Yunis Delahaye","C1HM","159.5","1210.24","1080.56","Course n∞1 | Finale B"
"Nino Lechevallier","C1HM","159.51","1439.45","1080.68","Course n∞1 | Finale B"
"Lubin Brionne","C1HM","175.72","1281.04","1289.71","Course n∞1 | Finale B"
"Oscar Lapiche--dedun","C1HM","Abd","-","-","Course n∞1 | Finale B"
"Laurie Beaurepere","K1D","122.06","460.52","486.31","Course n∞1 | Finale B"
"Gwendoline Hall","K1D","126.19","502.04","535.8","Course n∞1 | Finale B"
"Elza Horlock","K1D","127.9","546.35","556.29","Course n∞1 | Finale B"
"Chlo… Jegoux","K1D","144.74","698.8","758.08","Course n∞1 | Finale B"
"Ilona Bluteau","K1D","146.31","829.86","776.89","Course n∞1 | Finale B"
"Bleuenn Le Foll","K1D","148.56","793.53","803.85","Course n∞1 | Finale B"
"GaÀtane Colmant","K1D","163.29","1102.59","980.34","Course n∞1 | Finale B"
"Aurelie Hall","K1DM","149.11","951.32","810.44","Course n∞1 | Finale B"
"Klara Lubin","K1DM","165.25","1636.31","1003.84","Course n∞1 | Finale B"
"Manon Ruz…","K1DM","174.19","1425.47","1110.95","Course n∞1 | Finale B"
"Salome Le Naour","K1DM","198.38","1800.44","1400.83","Course n∞1 | Finale B"
"Joris Hello","K1H","89.8","165.45","239.63","Course n∞1 | Finale B"
"Lorin Dumont","K1H","94.54","285.94","303.81","Course n∞1 | Finale B"
"Gwenole Noyalet","K1H","101.27","405.36","394.94","Course n∞1 | Finale B"
"Matheo Morin","K1H","101.73","505.17","401.17","Course n∞1 | Finale B"
"Simon Seuru","K1H","102.04","438.07","405.37","Course n∞1 | Finale B"
"Thibault Lamour","K1H","104.22","355.64","434.88","Course n∞1 | Finale B"
"Corentin Beaumois","K1H","105.24","430.19","448.7","Course n∞1 | Finale B"
"Emmanuel Cosse","K1H","106.36","449.31","463.86","Course n∞1 | Finale B"
"Logan Toubel","K1H","106.78","582.59","469.55","Course n∞1 | Finale B"
"Vincent Donval","K1H","108.57","547.96","493.78","Course n∞1 | Finale B"
"Florian Szabo","K1H","110.92","632.37","525.6","Course n∞1 | Finale B"
"Valentin Rault","K1H","112.45","784.71","546.32","Course n∞1 | Finale B"
"Matheo Courgeon","K1H","112.83","642.68","551.47","Course n∞1 | Finale B"
"Louis Beaumois","K1H","112.95","591.2","553.09","Course n∞1 | Finale B"
"Aubin Davaic","K1H","113.56","617.29","561.35","Course n∞1 | Finale B"
"Mael Calvez","K1H","114.41","627.59","572.86","Course n∞1 | Finale B"
"Romain Foulon","K1H","115.73","568.34","590.73","Course n∞1 | Finale B"
"Victor Perebaskine","K1H","117.74","927.73","617.95","Course n∞1 | Finale B"
"Valentin Soullard","K1H","119.13","879.38","636.77","Course n∞1 | Finale B"
"Jean Yves Prigent","K1H","122.83","621.95","686.87","Course n∞1 | Finale B"
"Julien Pommerol","K1H","126.44","728.99","735.75","Course n∞1 | Finale B"
"Elouan Da Costa Peixoto","K1H","126.81","587.33","740.76","Course n∞1 | Finale B"
"Jean Christophe Olivo","K1H","128.88","904","768.79","Course n∞1 | Finale B"
"Mael Crespel","K1H","129.76","573.82","780.71","Course n∞1 | Finale B"
"Denis Coppens","K1H","136.53","909.55","872.37","Course n∞1 | Finale B"
"Christian Le Parc","K1H","142.46","887.99","952.67","Course n∞1 | Finale B"
"Marin Guillouet","K1H","145.44","920.64","993.02","Course n∞1 | Finale B"
"Mael Maugain","K1H","151","1086.08","1068.3","Course n∞1 | Finale B"
"Antoine Aubert","K1H","162.24","561.26","1220.5","Course n∞1 | Finale B"
"Theo Le Roux","K1H","204.26","834.42","1789.46","Course n∞1 | Finale B"
"Mael Robic","K1H","Abs","-","-","Course n∞1 | Finale B"
"Jonas Le Guen","K1HM","97.55","369.71","344.57","Course n∞1 | Finale B"
"Victor Julou","K1HM","125.75","821.14","726.41","Course n∞1 | Finale B"
"Iwen Robic","K1HM","128.23","846.29","759.99","Course n∞1 | Finale B"
"Lucas Hado","K1HM","133.8","956.77","835.41","Course n∞1 | Finale B"
"Simon Le Nevez","K1HM","134.44","1480.82","844.07","Course n∞1 | Finale B"
"Enzo Lallican","K1HM","137.27","993.59","882.39","Course n∞1 | Finale B"
"Oscar Lapiche--dedun","K1HM","140.47","854.27","925.72","Course n∞1 | Finale B"
"Titouan Briand","K1HM","140.56","1153.21","926.94","Course n∞1 | Finale B"
"Mewen Coadou","K1HM","140.73","994.61","929.24","Course n∞1 | Finale B"
"Florian Manceau","K1HM","142.11","1042.19","947.93","Course n∞1 | Finale B"
"Melen Kervarec","K1HM","150.81","3890.94","1065.73","Course n∞1 | Finale B"
"Jonas Huet","K1HM","153.69","1044.24","1104.73","Course n∞1 | Finale B"
"Loan Beaucourt","K1HM","159.58","1315.13","1184.48","Course n∞1 | Finale B"
"Clement Hado","K1HM","162.38","1072.99","1222.39","Course n∞1 | Finale B"
"William Guevel Badou","K1HM","163.65","1285.97","1239.59","Course n∞1 | Finale B"
"Ewen Ulian","K1HM","229.72","974.74","2134.2","Course n∞1 | Finale B"
