"SÈlectif RÈgional Slalom (Double) - Montreuil Sur Mer Et Beaurainville - Course n∞1 | Qualification - 2016-09-17","Course n∞1 | Qualification","2016-09-17","RÈgional","217"
"Baptiste Duboc","C1H","145.03","-","873.27",""
"Remi Blaud","C1H","155.76","1000.06","1009.66",""
"Geoffroy Lauth","C1H","159.52","547.24","1057.46",""
"Louis Marescot","C1H","228.83","-","1938.47",""
"Maxime Savalle","C1H","255.99","657.49","2283.71",""
"Marvin Lescourant","C1H","275.3","-","2529.16",""
"Eric Lamour","C1H","Abs","-","-",""
"Anthony Dubois","C1H","Abs","-","-",""
"Simon Philibert","C1H","Des","-","-",""
"Isidore Dubuisson","C1H","Abs","-","-",""
"Hugo Baillet","C1HM","108.47","-","408.55",""
"Paul Cascarino","C1HM","111.78","476.09","450.62",""
"Loœc Pottier","C1HM","124.86","686.57","616.88",""
"Mewen Debliquy","C1HM","137.32","-","775.26",""
"Estephe Decarsin","C1HM","143.9","-","858.91",""
"Yohann Senechault","C1HM","151.67","299.12","957.68",""
"Paul Lecomte","C1HM","162.59","-","1096.48",""
"Manon Le Lay-Emma Leroux","C2DM","Abs","-","-",""
"Thibaud Vielliard-Martin Rohaut","C2H","106.22","314.65","318.57",""
"Gaspard Perrio-L…o Le Moigne","C2H","109.57","345.82","359.22",""
"Eloi Seemann-Charles Bre","C2H","123.82","329.73","532.12",""
"Simon Dubosc-Quentin Angot","C2H","124.84","517.4","544.5",""
"Alexis Vielliard-Amaury Vielliard","C2H","134.88","682.26","666.31",""
"Donatien Lamoureux-Wilhelm Heimburger","C2H","166.25","-","1046.94",""
"Lucas Jacob-Benoit Guernic","C2H","182.49","578.72","1243.99",""
"Arnaud Delattre-Stephane Debliquy","C2H","188.88","-","1321.52",""
"Camille Fleuret-Enzo Cozette","C2H","296.33","613.11","2625.27",""
"Alberic Carpentier-Lucien Louchez","C2H","297.94","1028.71","2644.81",""
"Mikael Maupin-Vincent Hannedouche","C2H","Abs","-","-",""
"Mathieu Dutendas-Francois Palant","C2H","Abs","-","-",""
"Hugo Baillet-Thibaut Evrard","C2HM","185.75","-","1283.55",""
"Nicolas Ducrocq-Tiphaine Duboc","C2M","113.72","300.13","294.59",""
"Bertrand Avril-Chloe Gatuingt","C2M","117.94","377.03","341.52",""
"Thibaud Vielliard-Noemie Ramet","C2M","120.89","-","374.34",""
"Catherine Boulan-Xavier Jourdain","C2M","131.37","415.84","490.9",""
"Yann Le Govic-Marion Pellen","C2M","134.54","-","526.16",""
"Geoffroy Lauth-Rachel Broin","C2M","185.73","618.33","1095.51",""
"Anthony Thuillier-Camille Andrieux","C2M","Abs","-","-",""
"Anne Lambert-Louison Laumondais","C2M","Des","-","-",""
"Tiphaine Duboc","K1D","99.73","205.79","207.7",""
"Anais Bernardy","K1D","105.84","167.66","279.86",""
"Emilie Delahaye","K1D","108.15","261.74","307.15",""
"Alina Rassel","K1D","111.03","323.2","341.17",""
"Leontine Dubuisson","K1D","114.3","377.66","379.78",""
"Sophie Dupas","K1D","119.12","346.95","436.72",""
"Chloe Gatuingt","K1D","121.87","318.43","469.21",""
"Anna Marvillet","K1D","127.87","583.64","540.07",""
"Mathilde Guillot-le Goff","K1D","140.98","465.16","694.92",""
"Catherine Boulan","K1D","185.84","535.57","1224.77",""
"Anne Lambert","K1D","205.4","568.61","1455.81",""
"Anouk Hadad","K1D","325.03","-","2868.8",""
"Louise Chauvary","K1D","335.29","773.79","2989.99",""
"Marion Matura","K1D","342.83","1289.13","3079.04",""
"Perrine Dachicourt","K1D","Abs","-","-",""
"Margaux Fabijan","K1DM","146.23","-","756.93",""
"Zoe Waeles","K1DM","163.99","-","966.7",""
"Elise Weilbach","K1DM","191.68","647.34","1293.75",""
"Mylene Despres","K1DM","193.49","-","1315.13",""
"Manon Le Lay","K1DM","206.65","1215.05","1470.57",""
"Dorine Mouillard","K1DM","214.18","-","1559.51",""
"Emma Leroux","K1DM","221.65","850.69","1647.73",""
"Albertine Binard","K1DM","236.34","-","1821.24",""
"Samuel Lhegu","K1H","84.7","111.05","160.23",""
"Eric Lamour","K1H","85.65","152.16","172.91",""
"Lucas Latimier","K1H","85.89","158.71","176.11",""
"Kendaor Le Huitou","K1H","86.23","98.74","180.65",""
"Bertrand Gutierrez","K1H","87.49","87.16","197.47",""
"Vincent Delahaye","K1H","88.08","179.84","205.34",""
"Hugo Regnier","K1H","88.62","202.9","212.55",""
"Nicolas Bernardy","K1H","88.73","164.89","214.02",""
"Jules Bevalot","K1H","88.86","182.55","215.75",""
"Nicolas Rouleaud","K1H","89.11","182.48","219.09",""
"Yann Le Govic","K1H","90.79","75.69","241.51",""
"Bertrand Avril","K1H","93.9","287.44","283.02",""
"Florian Gosselin","K1H","94.64","261.61","292.9",""
"Jeanmichel Regnier","K1H","95.18","264.19","300.1",""
"Samuel Lhote","K1H","95.23","364.74","300.77",""
"Simon Dubosc","K1H","95.32","271.48","301.97",""
"Yani Ferhaoui","K1H","95.55","215.25","305.04",""
"David Mingasson","K1H","95.61","214.37","305.84",""
"Tom Barthelemy","K1H","95.85","259.67","309.05",""
"Loan Queffelec","K1H","96.43","319.22","316.79",""
"Yvan Leblond","K1H","96.49","337.79","317.59",""
"Timothee Le Mort","K1H","97.61","263.92","332.54",""
"Louis Debureaux","K1H","97.9","372.59","336.41",""
"Romain Huguenin","K1H","98.36","311.32","342.55",""
"Leo Demazeau","K1H","98.49","393.45","344.28",""
"Teddy Poulard","K1H","99.19","416.59","353.62",""
"Maxime Poupart","K1H","99.5","426.94","357.76",""
"Fabien De Almeida","K1H","100.81","326.88","375.25",""
"Hector Combes","K1H","100.94","345.13","376.98",""
"Stephane Debliquy","K1H","101.26","327.11","381.25",""
"Arnaud Delattre","K1H","101.28","-","381.52",""
"Florent Bernard","K1H","101.38","358.71","382.85",""
"Lucas Jacob","K1H","102.07","289.62","392.06",""
"Vianney Tillier","K1H","102.12","457.98","392.73",""
"Enzo Cozette","K1H","102.66","376.38","399.94",""
"Isidore Dubuisson","K1H","103.04","393.43","405.01",""
"Quentin Angot","K1H","103.94","380.93","417.02",""
"Louison Laumondais","K1H","104.35","398.07","422.49",""
"Louis Vandeville","K1H","104.38","364.31","422.89",""
"Nicolas Candieu","K1H","104.69","362.42","427.03",""
"Gawaine Chikh","K1H","105.23","355.33","434.24",""
"Guillaume Maillot","K1H","106.04","313.5","445.05",""
"Alan Le Goff","K1H","106.41","463.65","449.99",""
"Charles Pain","K1H","106.89","474.54","456.39",""
"Remi Blaud","K1H","106.99","495.93","457.73",""
"Elie Scaglia Mennesson","K1H","107.55","506.98","465.2",""
"Martin Rohaut","K1H","107.6","473.43","465.87",""
"Amaury Vielliard","K1H","107.73","513.46","467.61",""
"Baptiste Duboc","K1H","108.49","574.5","477.75",""
"Theo Loury","K1H","110.07","441.33","498.84",""
"Arthur Guillot-le Goff","K1H","110.87","433.32","509.51",""
"Julien Duahaut","K1H","111.07","-","512.18",""
"Gerard Lafargue","K1H","111.21","455.54","514.05",""
"Jeanchristophe Laroque","K1H","111.27","431.35","514.85",""
"Philippe Valeri","K1H","111.6","469.59","519.26",""
"Eric Beaumont","K1H","116.52","-","584.92",""
"Alexis Vielliard","K1H","116.69","567.64","587.19",""
"Alexis Agent","K1H","117.52","567.1","598.27",""
"Vladimir Krsmanovic","K1H","117.97","548.9","604.28",""
"Amael Samson","K1H","120","483.65","631.37",""
"Nathan Saintobert","K1H","124.17","757.72","687.03",""
"Sebastien Masseline","K1H","124.34","625.48","689.3",""
"Wilhelm Heimburger","K1H","124.5","-","691.43",""
"Alain Regnier","K1H","124.67","-","693.7",""
"Baptiste Le Cocq","K1H","126.23","554.28","714.52",""
"Yann Castryck- -genereux","K1H","129","664.11","751.49",""
"Marvin Lescourant","K1H","132.08","569.25","792.6",""
"Th…o Laroque","K1H","136.35","-","849.59",""
"Nicolas Feuillard","K1H","143.63","186.63","946.76",""
"Clement Font-boinel","K1H","150.08","343.1","1032.85",""
"Noe Vannier","K1H","154.77","-","1095.44",""
"Michael Philibert","K1H","156.71","439.49","1121.33",""
"Mickael Dubois","K1H","158.95","808.45","1151.23",""
"Simon Philibert","K1H","159.28","473.95","1155.64",""
"Pierre Yves Tempier","K1H","160.34","-","1169.78",""
"Thibaud Collaert","K1H","162.77","731.35","1202.22",""
"Alberic Carpentier","K1H","164.03","577.99","1219.03",""
"Benoit Guernic","K1H","164.47","431.82","1224.91",""
"Johann Sacleux","K1H","167.85","682.24","1270.02",""
"Maxime Savalle","K1H","168.5","505.95","1278.69",""
"Tom Armand","K1H","264.91","-","2565.46",""
"Anthony Dubois","K1H","329.05","963.7","3421.53",""
"Bastien Belembert","K1H","433.03","365.37","4809.34",""
"Cyril Pottier","K1H","Abs","-","-",""
"Mikael Maupin","K1H","Abs","-","-",""
"Xavier Jourdain","K1H","Abs","-","-",""
"Killian Errot","K1H","Des","-","-",""
"Francois Palant","K1H","Abs","-","-",""
"Noe Perreau","K1HM","97.9","432.4","336.41",""
"Loœc Pottier","K1HM","98.15","479.04","339.74",""
"Yohann Senechault","K1HM","101.6","352.6","385.79",""
"Clement Hamel","K1HM","105.64","-","439.71",""
"Paul Cascarino","K1HM","120.32","557.76","635.64",""
"Guillaume Munoz","K1HM","120.59","-","639.25",""
"Fabien Bonvalet","K1HM","125.76","631.72","708.25",""
"Mathis Piepho","K1HM","128.36","-","742.95",""
"Thibaut Evrard","K1HM","128.45","751.49","744.15",""
"Paul Lecomte","K1HM","135.01","-","831.71",""
"Mewen Debliquy","K1HM","138.76","648.05","881.76",""
"Benjamin Georgin","K1HM","149.87","-","1030.04",""
"Jeremie Hepner","K1HM","170.31","693.7","1302.85",""
"Gabriel Benoit","K1HM","171.2","-","1314.73",""
"Gabriel Saul","K1HM","176.52","-","1385.74",""
"Dimitri Houlier","K1HM","183.87","-","1483.84",""
"Estephe Decarsin","K1HM","186.67","-","1521.21",""
"Lucas Ferloni","K1HM","188.85","-","1550.3",""
"Gauthier Palau","K1HM","213.82","-","1883.57",""
"Matteo Figueiredo Alves","K1HM","215.33","1157.3","1903.73",""
"Mathis Pomares","K1HM","318.44","-","3279.92",""
"Matthis Leroux","K1HM","Des","-","-",""
