"SEL REG FONTAINE DE VAUCLUSE - Fontaine De Vaucluse - 2001-10-21","Course 1","2001-10-21","Régional","123"
"Girard Adrien","K1H","237.72","179","227",""
"Domingo Benoit","K1H","240.88","235","244",""
"Ysern Renaud","K1H","241.98","206","250",""
"Bertrand Dubiez","K1H","242.45","230","252",""
"Palix Lorin","K1H","242.89","225","255",""
"Jeremy Wagner","K1H","243.81","245","260",""
"Louis Philippe Rigal","K1H","243.9","193","260",""
"Castel Cedric","K1H","243.93","264","260",""
"Riva Renaud","K1H","246.47","326","274",""
"Delphine Fabrice","K1H","248.24","378","284",""
"Carlino Antoine","K1H","248.76","296","286",""
"Daumas Jeremy","K1H","250.37","533","295",""
"Remi Dramard","K1H","250.42","245","295",""
"Bernhardt Christophe","K1H","250.95","242","298",""
"Lisbonne Denis","K1H","251.11","-","299",""
"Thomas Bersinger","K1H","251.2","346","300",""
"Olivier Blanc","K1H","252.35","238","306",""
"Mangeol Sebastien","K1H","252.99","337","309",""
"Gilles Flores","K1H","254.43","-","317",""
"Cadene Thierry","K1H","254.43","-","317",""
"Bertrand Lamy","K1H","254.62","265","318",""
"Balzeau Thomas","K1H","254.88","328","319",""
"Michel Yannick","K1H","255.12","355","321",""
"Cossa Jeanmarie","K1H","255.7","311","324",""
"Riou Sebastien","K1H","256.07","265","326",""
"Marinot Pascal","K1H","257.16","267","332",""
"Berthiaud Gregory","K1H","257.41","238","333",""
"Jacquot Ludovic","K1H","257.76","333","335",""
"Keller Paco","K1H","263.36","554","365",""
"Jeanluc Nitard","K1H","263.7","346","367",""
"Stephane Simonpietri","K1H","263.85","416","368",""
"Sylvain Follenfant","K1H","264.13","379","369",""
"Voltaire Pierre","K1H","266.21","387","381",""
"De Vathaire Arthur","K1H","268.05","-","391",""
"Lalauze Charly","K1H","269.8","448","400",""
"Jourdan Hadrien","K1H","270.35","429","403",""
"Prive Jeremy","K1H","271.42","387","409",""
"Despax Ghislain","K1H","272.04","442","412",""
"Cassin Emmanuel","K1H","274.57","-","426",""
"Nicolas Abbal","K1H","275.64","526","432",""
"Julien Vincent","K1H","276.68","616","437",""
"Champeau Laurent","K1H","276.89","514","438",""
"Cassin Nathanael","K1H","277.72","528","443",""
"Lisbonne Francois","K1H","277.84","466","443",""
"Tremeau Christophe","K1H","279.03","-","450",""
"Salomoni Alessio","K1H","280.21","539","456",""
"Dorlencourt Richard","K1H","281.38","536","463",""
"Dominique Kremer","K1H","281.65","547","464",""
"Despax Stephane","K1H","282.02","403","466",""
"Sicre Thomas","K1H","282.04","-","466",""
"Bersinger Sylvain","K1H","283.97","778","477",""
"Pierron David","K1H","284.17","516","478",""
"Piquet Marius","K1H","285.67","-","486",""
"Hogrel Jerome","K1H","286.84","531","492",""
"Signe Jeansebastien","K1H","287.38","1249","495",""
"Gouaze Janick","K1H","290.59","-","512",""
"Villemur Mickael","K1H","293.01","-","525",""
"Jouanneau Bertrand","K1H","294.72","-","535",""
"Petrau Gay Michel","K1H","295.51","-","539",""
"Mathieu Cataldo","K1H","295.82","-","541",""
"Guyon Cedrick","K1H","296.44","-","544",""
"Francius Alexandre","K1H","297.00","-","547",""
"Petrau Gay Benoit","K1H","300.04","750","563",""
"Samain David","K1H","302.09","-","575",""
"Wesoly Yannick","K1H","302.77","-","578",""
"Chesne Gregory","K1H","307.21","-","602",""
"Nadal Benoit","K1H","310.36","263","619",""
"Chabalier Fabien","K1H","342.86","-","795",""
