"SBELECTIF RBEGIONAL SLALOM - Pont Des Grottes - 2002-09-29","Course 1","2002-09-29","Régional","136"
"Thomas Jean Pascal","K1H","190.92","85","137",""
"Samuel Hernanz","K1H","191.91","125","142",""
"Deguil Eric","K1H","192.87","-","148",""
"Guillaume Picco","K1H","194.02","126","155",""
"Boris Neveu","K1H","194.15","143","155",""
"Nicolas Peschier","K1H","196.47","-","169",""
"Benoit Molinier","K1H","197.35","171","174",""
"Radureau Lionel","K1H","198.39","105","180",""
"Nicolas Durand","K1H","198.80","143","182",""
"Bibron Florian","K1H","199.07","168","184",""
"Bertrand Gourrat","K1H","201.71","202","199",""
"Sebastien Halilou","K1H","201.71","139","199",""
"Michael Guyon","K1H","203.11","165","207",""
"Portelli Yoann","K1H","203.17","184","208",""
"Florian Berail","K1H","203.73","220","211",""
"Girard Adrien","K1H","204.41","167","215",""
"Chabannes Erwan","K1H","206.01","260","224",""
"Duquet Guillaume","K1H","206.22","282","225",""
"Aurelien Leroy","K1H","206.57","266","227",""
"Barbaglia Remi","K1H","207.59","214","233",""
"Bastien Dantin","K1H","207.87","238","235",""
"Veronel Patrice","K1H","208.94","225","241",""
"Regis Bonato","K1H","209.56","203","245",""
"Roques Fabien","K1H","209.76","216","246",""
"Frederic Lascourreges","K1H","210.30","255","249",""
"Nicolas Masson","K1H","210.84","194","252",""
"Benjamin Reig","K1H","213.62","280","268",""
"Florent Boulet","K1H","214.59","265","274",""
"Julien Lenaour","K1H","214.96","208","276",""
"Gregory Ponassie","K1H","215.07","281","277",""
"Molinier Vincent","K1H","215.23","293","278",""
"Hayet Julien","K1H","215.38","204","279",""
"Yoan Minvielle","K1H","215.65","211","280",""
"Canovas Cedric","K1H","217.12","189","289",""
"Colin Molinier","K1H","217.18","278","289",""
"Adrien Ponassie","K1H","219.75","364","304",""
"Pascal Dongarra","K1H","221.07","250","311",""
"Marc Laborde","K1H","221.88","331","316",""
"Josselin Bertrand","K1H","221.90","319","316",""
"Manuel Legros","K1H","222.92","398","322",""
"Pomies Raphael","K1H","223.69","258","327",""
"Franck Guarderia","K1H","224.08","314","329",""
"Gregoire Cayez","K1H","224.27","311","330",""
"Julien Billaut","K1H","225.18","30","335",""
"Francois Giondini","K1H","226.11","304","341",""
"Christophe Lacave","K1H","226.91","-","345",""
"Barthes Julien","K1H","227.57","370","349",""
"Faugeres Jonathan","K1H","231.84","-","374",""
"Lapeze Edouard","K1H","232.28","275","376",""
"Jose Pereira","K1H","233.82","316","385",""
"Calmette Philippe","K1H","234.22","423","388",""
"Aguiar Jimmy","K1H","234.79","369","391",""
"Jonathan Delagnes","K1H","235.70","-","396",""
"Picco Pierre","K1H","235.93","-","398",""
"Cadiran Didier","K1H","240.22","-","422",""
"Alain Minvielle","K1H","242.37","389","435",""
"Dhrarie Benyounes","K1H","242.41","-","435",""
"Causse Julien","K1H","242.76","-","437",""
"Louis Georges Lafont","K1H","242.83","-","438",""
"Lay Matthieu","K1H","243.50","412","442",""
"Hugo Biso","K1H","244.17","-","445",""
"Geffroy Stephen","K1H","246.62","411","460",""
"Chicane Guylain","K1H","250.15","466","480",""
"Jonot Anthony","K1H","251.51","513","488",""
"Eftekhari Boris","K1H","252.73","-","495",""
"Valerian Boulet","K1H","252.97","666","496",""
"Rodriguez Stephane","K1H","255.80","-","513",""
"Clerc Pierrealain","K1H","256.08","-","514",""
"Doat Fabien","K1H","263.03","522","555",""
"Lismonde Alexandre","K1H","265.56","148","569",""
"Mouyen Bie Sebastien","K1H","265.66","-","570",""
"Nicolas Neveu","K1H","275.02","-","624",""
"Coldebella Mathieu","K1H","281.41","-","661",""
"Pourtau Stephane","K1H","290.47","498","714",""
"Doat Francois","K1H","296.52","-","749",""
"Fabbris Sandro","K1H","309.55","-","824",""
"Maxime Mitaut","K1H","318.32","-","875",""
"Heime Ludovic","K1H","318.63","-","877",""
"Poli Gaetan","K1H","358.56","-","1108",""
"Bermond Freddy","K1H","376.38","-","1212",""
"Francois Cauchi","K1H","383.87","-","1255",""
"Anderson Diego","K1H","386.33","-","1269",""
"Payrastre Guillaume","K1H","389.33","1108","1287",""
"Heime Jeremie","K1H","466.84","-","1737",""
"Pinatel Paul","K1H","671.40","-","2923",""
"Jeannerot Guillaume","K1H","796.50","-","3648",""
"Peyregne Fabien","K1H","1156.40","-","5735",""
